time,event
0.0,0
0.0,10
90.39,100
90.39,200
132.67,100
134.86,100
137.13,100
137.13,200
145.18,100
146.28,100
147.94,100
150.6,100
166.86,100
166.86,200
171.63,100
173.94,100
177.03,100
179.32,100
181.98,100
201.06,100
203.46,100
203.46,200
206.91,100
208.86,100
218.3,100
220.33,100
220.96,100
222.75,100
226.23,100
227.88,100
230.39,100
230.39,200
235.58,100
236.53,100
262.67,100
264.73,100
266.54,100
268.16,100
270.34,100
273.56,100
284.73,100
312.46,100
313.79,100
313.79,200
319.96,100
327.82,100
361.1,100
362.56,100
367.2,100
378.98,100
380.14,100
446.56,100
454.79,100
456.92,100
479.06,100
502.88,100
506.26,100
506.26,200
519.11,100
527.73,100
529.92,100
531.42,100
534.39,100
536.8,100
538.48,100
540.91,100
544.12,100
545.45,100
549.53,100
551.75,100
567.43,100
568.99,100
569.76,100
569.76,200
584.02,100
585.92,100
592.77,100
594.33,100
597.99,100
602.22,100
605.3,100
607.6,100
609.95,100
620.13,100
635.41,100
656.42,100
659.28,100
661.12,100
662.91,100
666.58,100
678.56,100
678.56,200
685.81,100
686.52,100
696.02,100
698.19,100
700.83,100
702.44,100
705.31,100
708.43,100
723.65,100
736.05,100
740.13,100
752.17,100
759.48,100
761.21,100
762.76,100
765.29,100
766.59,100
768.6,100
772.61,100
772.61,200
778.43,100
800.49,100
834.09,100
835.97,100
836.58,100
851.35,100
855.67,100
865.95,100
867.53,100
870.03,100
871.17,100
875.08,100
876.46,100
881.39,100
883.54,100
896.97,100
898.65,100
900.44,100
906.53,100
907.33,100
951.4,100
951.4,200
959.03,100
961.1,100
965.46,100
999.7,100
1000.38,100
1011.05,100
1015.01,100
1016.73,100
1018.52,100
1019.95,100
1021.87,100
1023.85,100
1025.2,100
1029.32,100
1030.77,100
1031.9,100
1033.24,100
1033.84,100
1068.49,100
1071.7,100
1083.86,100
1086.39,100
1102.04,100
1102.04,200
1119.65,100
1122.17,100
1124.29,100
1127.86,100
1129.28,100
1129.86,100
1132.95,100
1134.56,100
1136.57,100
1149.13,100
1150.28,100
1158.45,100
1162.05,100
1164.6,100
1168.07,100
1170.46,100
1171.83,100
1177.59,100
1179.45,100
1188.31,100
1227.9,100
1235.14,100
1252.43,100
1254.37,100
1257.73,100
1257.73,200
1262.36,100
1265.34,100
1270.36,100
1275.6,100
1277.33,100
1281.5,100
1283.51,100
1284.48,100
1285.9,100
1339.25,100
1356.75,100
1359.02,100
1363.18,100
1382.59,100
1383.52,100
1386.16,100
1388.56,100
1390.93,100
1393.28,100
1395.36,100
1397.14,100
1405.8,100
1407.53,100
1412.46,100
1417.39,100
1427.95,100
1429.67,100
1429.67,200
1431.99,100
1432.58,100
1433.65,100
1468.61,100
1508.91,100
1512.23,100
1525.78,100
1543.42,100
1545.13,100
1560.1,100
1629.25,100
1638.59,100
1647.36,100
1650.77,100
1658.24,100
1663.69,100
1666.68,100
1668.1,100
1670.58,100
1674.06,100
1682.84,100
1692.2,100
1721.33,100
1723.21,100
1725.71,100
1728.63,100
1730.97,100
1735.87,100
1739.37,100
1739.37,200
1752.49,100
1755.05,100
1757.79,100
1763.28,100
1764.09,100
1765.16,100
1769.8,100
1771.58,100
1778.07,100
1784.08,100
1787.5,100
1802.14,100
1821.17,100
1821.9,100
1830.3,100
1834.91,100
1836.13,100
1838.59,100
1842.02,100
1849.41,100
1859.02,100
1861.01,100
1891.15,100
1935.84,100
1937.77,100
1948.57,100
1958.38,100
1968.69,100
1977.91,100
2021.81,100
2034.17,100
2034.17,200
2055.6,100
2077.65,100
2094.12,100
2096.34,100
2104.75,100
2116.53,100
2129.36,100
2148.25,100
2151.67,100
2155.18,100
2157.07,100
2159.02,100
2161.79,100
2163.2,100
2164.76,100
2169.61,100
2171.5,100
2184.8,100
2192.15,100
2198.38,100
2199.82,100
2212.12,100
2222.01,100
2236.12,100
2241.37,100
2241.97,100
2246.44,100
2248.66,100
2250.54,100
2253.65,100
2255.5,100
2258.02,100
2260.13,100
2260.13,200
2267.92,100
2271.08,100
2274.2,100
2286.9,100
2291.67,100
2295.03,100
2296.98,100
2300.34,100
2303.55,100
2306.44,100
2308.41,100
2311.34,100
2313.75,100
2318.18,100
2321.5,100
2325.71,100
2331.7,100
2340.22,100
2342.04,100
2343.44,100
2345.41,100
2354.73,100
2357.14,100
2359.73,100
2361.84,100
2363.45,100
2366.52,100
2368.24,100
2370.58,100
2372.8,100
2374.35,100
2376.76,100
2378.17,100
2389.1,100
2398.33,100
2398.33,200
2407.07,100
2408.78,100
2410.7,100
2412.37,100
2414.32,100
2419.16,100
2422.64,100
2427.27,100
2428.04,100
2444.39,100
2446.27,100
2447.65,100
2456.2,100
2458.13,100
2471.05,100
2485.75,100
2518.99,100
2521.6,100
2523.81,100
2527.81,100
2533.29,100
2536.23,100
2537.61,100
2545.41,100
2554.88,100
2567.01,100
2573.74,100
2575.98,100
2578.33,100
2580.27,100
2581.75,100
2593.9,100
2595.59,100
2597.48,100
2598.97,100
2602.83,100
2604.31,100
2604.31,200
2616.83,100
2618.98,100
2622.47,100
2623.94,100
2625.74,100
2628.99,100
2632.28,100
2635.18,100
2636.68,100
2674.12,100
2681.73,100
2684.11,100
2686.89,100
2690.07,100
2692.62,100
2695.67,100
2698.18,100
2702.3,100
2705.37,100
2707.51,100
2709.24,100
2711.08,100
2712.99,100
2714.49,100
2720.18,100
2721.36,100
2724.21,100
2727.12,100
2742.0,100
2744.15,100
2746.27,100
2749.76,100
2751.12,100
2751.72,100
2752.4,100
2754.07,100
2755.45,100
2763.14,100
2765.07,100
2765.07,200
2773.55,100
2781.82,100
2794.14,100
2812.24,100
2813.75,100
2822.87,100
2825.58,100
2827.81,100
2830.15,100
2835.39,100
2837.76,100
2842.6,100
2846.28,100
2850.03,100
2851.61,100
2860.52,100
2863.52,100
2864.17,100
2864.41,100
2866.44,100
2868.31,100
2871.14,100
2873.67,100
2875.56,100
2876.87,100
2879.97,100
2886.78,100
2888.73,100
2890.37,100
2893.85,100
2896.14,100
2901.57,100
2913.22,100
2924.19,100
2924.97,100
2926.2,100
2932.68,100
2939.51,100
2941.82,100
2943.45,100
2945.34,100
2945.34,200
2951.06,100
2954.13,100
2956.68,100
2960.51,100
2969.38,100
2974.53,100
2982.59,100
2983.99,100
2985.23,100
2987.89,100
2991.38,100
2993.41,100
2993.98,100
2996.05,100
3000.33,100
3002.49,100
3008.48,100
3009.5,100
3010.76,100
3012.11,100
3022.49,100
3030.14,100
3032.22,100
3034.33,100
3035.62,100
3050.06,100
3066.17,100
3083.65,100
3086.21,100
3089.34,100
3091.71,100
3093.37,100
3109.13,100
3113.06,100
3115.93,100
3117.6,100
3120.29,100
3126.29,100
3144.73,100
3146.58,100
3150.02,100
3154.87,100
3185.7,100
3185.7,200
3198.51,100
3202.62,100
3204.52,100
3214.26,100
3217.49,100
3227.5,100
3230.11,100
3231.93,100
3233.87,100
3238.11,100
3244.14,100
3246.39,100
3247.97,100
3259.1,100
3265.35,100
3267.24,100
3269.12,100
3270.88,100
3273.77,100
3274.65,100
3279.09,100
3281.52,100
3286.61,100
3288.91,100
3302.88,100
3303.89,100
3307.29,100
3309.91,100
3312.14,100
3316.98,100
3321.07,100
3327.92,100
3329.86,100
3331.36,100
3354.95,100
3362.19,100
3364.04,100
3370.63,100
3372.81,100
3375.68,100
3377.49,100
3379.79,100
3381.24,100
3384.06,100
3386.51,100
3386.51,200
3395.87,100
3396.82,100
3398.73,100
3400.41,100
3406.09,100
3411.46,100
3413.3,100
3415.65,100
3416.97,100
3419.96,100
3420.86,100
3435.55,100
3438.39,100
3439.1,100
3441.21,100
3443.71,100
3446.2,100
3452.83,100
3454.33,100
3474.51,100
3477.48,100
3489.07,100
3491.63,100
3493.62,100
3496.22,100
3498.65,100
3500.93,100
3503.16,100
3505.11,100
3507.59,100
3509.62,100
3523.2,100
3527.46,100
3552.37,100
3566.15,100
3569.05,100
3574.44,100
3576.5,100
3578.14,100
3600.56,100
3605.01,100
3610.56,100
3614.07,100
3617.53,100
3620.01,100
3621.99,100
3622.38,100
3622.38,200
3634.04,100
3634.97,100
3637.96,100
3668.06,100
3671.08,100
3674.62,100
3682.67,100
3683.47,100
3685.32,100
3688.49,100
3691.48,100
3691.73,100
3693.71,100
3697.62,100
3698.11,100
3699.16,100
3701.81,100
3706.28,100
3708.58,100
3709.19,100
