Date,Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 -,A2 -,A[1],A[2]
101117,BA1652,AG,18,1,0,0,1,0,0,0,0,0
101117,BA1652,AG,18,1,50,1,2,0,0,0,0,0
101117,BA1652,AG,18,1,51,2,3,0,0,0,0,0
101117,BA1652,AG,18,1,459,3,5,1,1,0,0,0
101117,BA1652,AG,18,1,469,5,4,0,0,0,0,0
101117,BA1652,AG,18,1,471,4,0,0,0,0,1,0
101117,BA1652,AG,18,1,482,4,5,1,1,0,0,0
101117,BA1652,AG,18,1,492,5,4,0,0,0,0,0
101117,BA1652,AG,18,1,497,4,0,0,0,0,1,0
101117,BA1652,AG,18,1,504,4,5,1,1,0,0,0
101117,BA1652,AG,18,1,510,5,0,0,0,0,1,0
101117,BA1652,AG,18,1,514,5,4,0,0,0,0,0
101117,BA1652,AG,18,1,602,4,5,1,1,0,0,0
101117,BA1652,AG,18,1,607,5,0,0,0,0,1,0
101117,BA1652,AG,18,1,612,5,4,0,0,0,0,0
101117,BA1652,AG,18,1,613,4,5,1,1,0,0,0
101117,BA1652,AG,18,1,621,5,0,0,0,0,1,0
101117,BA1652,AG,18,1,623,5,9,0,1,0,0,0
101117,BA1652,AG,18,1,629,9,0,0,0,0,1,0
101117,BA1652,AG,18,1,630,9,0,0,1,0,0,0
101117,BA1652,AG,18,1,633,9,10,0,0,0,1,0
101117,BA1652,AG,18,1,708,10,2,0,0,0,0,0
101117,BA1652,AG,18,1,709,2,3,0,0,0,0,0
101117,BA1652,AG,18,1,740,3,5,1,1,0,0,0
101117,BA1652,AG,18,1,750,5,4,0,0,0,0,0
101117,BA1652,AG,18,1,751,4,0,0,0,0,1,0
101117,BA1652,AG,18,1,758,4,5,1,1,0,0,0
101117,BA1652,AG,18,1,765,5,0,0,0,0,1,0
101117,BA1652,AG,18,1,768,5,4,0,0,0,0,0
101117,BA1652,AG,18,1,771,4,5,1,1,0,0,0
101117,BA1652,AG,18,1,781,5,4,0,0,0,0,0
101117,BA1652,AG,18,1,798,4,0,0,0,0,1,0
101117,BA1652,AG,18,1,808,4,5,1,1,0,0,0
101117,BA1652,AG,18,1,812,5,0,0,0,0,1,0
101117,BA1652,AG,18,1,818,5,4,0,0,0,0,0
101117,BA1652,AG,18,1,852,4,5,1,1,0,0,0
101117,BA1652,AG,18,1,854,5,0,0,0,0,1,0
101117,BA1652,AG,18,1,862,5,9,0,0,0,0,0
101117,BA1652,AG,18,1,872,9,10,0,0,0,0,0
101117,BA1652,AG,18,1,947,10,2,0,0,0,0,0
101117,BA1652,AG,18,1,948,2,3,0,0,0,0,0
101117,BA1652,AG,18,1,999,3,5,1,1,0,0,0
101117,BA1652,AG,18,1,1009,5,4,0,0,0,0,0
101117,BA1652,AG,18,1,1012,4,0,0,0,0,1,0
101117,BA1652,AG,18,1,1018,4,5,1,1,0,0,0
101117,BA1652,AG,18,1,1028,5,4,0,0,0,1,0
101117,BA1652,AG,18,1,1042,4,5,1,1,0,0,0
101117,BA1652,AG,18,1,1050,5,0,0,0,0,1,0
101117,BA1652,AG,18,1,1052,5,4,0,0,0,0,0
101117,BA1652,AG,18,1,1057,4,5,1,1,0,0,0
101117,BA1652,AG,18,1,1063,5,0,0,0,0,1,0
101117,BA1652,AG,18,1,1067,5,4,0,0,0,0,0
101117,BA1652,AG,18,1,1071,4,5,1,1,0,0,0
101117,BA1652,AG,18,1,1074,5,0,0,0,0,1,0
101117,BA1652,AG,18,1,1078,5,0,0,1,0,0,0
101117,BA1652,AG,18,1,1081,5,9,0,0,0,1,0
101117,BA1652,AG,18,1,1091,9,10,0,0,0,0,0
101117,BA1652,AG,18,1,1092,10,0,0,1,0,0,0
101117,BA1652,AG,18,1,1094,10,0,0,0,0,1,0
101117,BA1652,AG,18,1,1166,10,2,0,0,0,0,0
101117,BA1652,AG,18,1,1167,2,6,0,0,0,0,0
101117,BA1652,AG,18,1,1591,6,8,2,0,1,0,0
101117,BA1652,AG,18,1,1601,8,7,0,0,0,0,0
101117,BA1652,AG,18,1,1617,7,0,0,0,0,0,1
101117,BA1652,AG,18,1,1619,7,8,2,0,1,0,0
101117,BA1652,AG,18,1,1629,8,7,0,0,0,0,0
101117,BA1652,AG,18,1,1639,7,0,0,0,0,0,1
101117,BA1652,AG,18,1,1710,7,8,2,0,1,0,0
101117,BA1652,AG,18,1,1720,8,7,0,0,0,0,0
101117,BA1652,AG,18,1,1739,7,0,0,0,0,0,1
101117,BA1652,AG,18,1,1806,7,8,2,0,1,0,0
