Date,Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 -,A2 -,A[1],A[2]
101117,BA1653,AG,17,1,0,0,1,0,0,0,0,0
101117,BA1653,AG,17,1,50,1,2,0,0,0,0,0
101117,BA1653,AG,17,1,51,2,3,0,0,0,0,0
101117,BA1653,AG,17,1,533,3,5,1,1,0,0,0
101117,BA1653,AG,17,1,543,5,4,0,0,0,0,0
101117,BA1653,AG,17,1,546,4,0,0,0,0,1,0
101117,BA1653,AG,17,1,685,4,5,1,1,0,0,0
101117,BA1653,AG,17,1,692,5,0,0,0,0,1,0
101117,BA1653,AG,17,1,695,5,4,0,0,0,0,0
101117,BA1653,AG,17,1,703,4,5,1,1,0,0,0
101117,BA1653,AG,17,1,708,5,0,0,0,0,1,0
101117,BA1653,AG,17,1,713,5,4,0,0,0,0,0
101117,BA1653,AG,17,1,787,4,5,1,1,0,0,0
101117,BA1653,AG,17,1,797,5,4,0,0,0,0,0
101117,BA1653,AG,17,1,820,4,0,0,0,0,1,0
101117,BA1653,AG,17,1,842,4,5,1,1,0,0,0
101117,BA1653,AG,17,1,851,5,0,0,0,0,1,0
101117,BA1653,AG,17,1,852,5,9,0,0,0,0,0
101117,BA1653,AG,17,1,862,9,10,0,0,0,0,0
101117,BA1653,AG,17,1,937,10,2,0,0,0,0,0
101117,BA1653,AG,17,1,938,2,3,0,0,0,0,0
101117,BA1653,AG,17,1,1010,3,5,1,1,0,0,0
101117,BA1653,AG,17,1,1020,5,4,0,0,0,0,0
101117,BA1653,AG,17,1,1064,4,0,0,0,0,1,0
101117,BA1653,AG,17,1,1166,4,5,1,1,0,0,0
101117,BA1653,AG,17,1,1176,5,4,0,0,0,0,0
101117,BA1653,AG,17,1,1216,4,0,0,0,0,1,0
101117,BA1653,AG,17,1,1253,4,5,1,1,0,0,0
101117,BA1653,AG,17,1,1263,5,4,0,0,0,0,0
101117,BA1653,AG,17,1,1271,4,0,0,0,0,1,0
101117,BA1653,AG,17,1,1321,4,5,1,1,0,0,0
101117,BA1653,AG,17,1,1331,5,4,0,0,0,0,0
101117,BA1653,AG,17,1,1357,4,0,0,0,0,1,0
101117,BA1653,AG,17,1,1381,4,5,1,1,0,0,0
101117,BA1653,AG,17,1,1391,5,9,0,0,0,0,0
101117,BA1653,AG,17,1,1401,9,10,0,0,0,0,0
101117,BA1653,AG,17,1,1403,10,0,0,0,0,1,0
101117,BA1653,AG,17,1,1476,10,2,0,0,0,0,0
101117,BA1653,AG,17,1,1477,2,3,0,0,0,0,0
101117,BA1653,AG,17,1,1562,3,5,1,1,0,0,0
101117,BA1653,AG,17,1,1572,5,4,0,0,0,0,0
101117,BA1653,AG,17,1,1611,4,0,0,0,0,1,0
101117,BA1653,AG,17,1,1644,4,5,1,1,0,0,0
101117,BA1653,AG,17,1,1654,5,4,0,0,0,0,0
101117,BA1653,AG,17,1,1655,4,0,0,0,0,1,0
101117,BA1653,AG,17,1,1673,4,5,1,1,0,0,0
101117,BA1653,AG,17,1,1682,5,0,0,0,0,1,0
101117,BA1653,AG,17,1,1683,5,4,0,0,0,0,0
101117,BA1653,AG,17,1,1692,4,5,1,1,0,0,0
101117,BA1653,AG,17,1,1702,5,4,0,0,0,0,0
101117,BA1653,AG,17,1,1725,4,0,0,0,0,1,0
101117,BA1653,AG,17,1,1746,4,5,1,1,0,0,0
101117,BA1653,AG,17,1,1750,5,0,0,0,0,1,0
