date,runnum,FR25_Resp,FR100_Resp,FR25_rfr,FR100_rfr,FR25_Time,FR100_Time,FR25_Unobs,FR100_Unobs,p_BO|FR25,p_BO|FR100
12/28/17,2,670.0,1499.0,26.0,14.0,9000.0,9000.0,0.0,0.0,0.0,0.0
12/29/17,3,551.0,1047.0,21.0,10.0,9000.0,9000.0,0.0,1.0,0.0,0.0111111111111
12/30/17,4,415.0,1021.0,16.0,9.0,9000.0,9000.0,4.0,2.0,0.0444444444444,0.0222222222222
12/31/17,5,722.0,1299.0,28.0,11.0,9000.0,9000.0,0.0,0.0,0.0,0.0
01/01/18,6,696.0,1323.0,26.0,11.0,9000.0,9000.0,0.0,0.0,0.0,0.0
01/02/18,7,744.0,1405.0,28.0,12.0,9000.0,9000.0,0.0,2.0,0.0,0.0222222222222
01/04/18,8,632.0,983.0,25.0,9.0,9000.0,9000.0,0.0,2.0,0.0,0.0222222222222
01/05/18,9,568.0,597.0,22.0,4.0,9000.0,9000.0,0.0,6.0,0.0,0.0666666666667
01/06/18,10,570.0,727.0,20.0,5.0,9000.0,9000.0,2.0,5.0,0.0222222222222,0.0555555555556
01/07/18,11,615.0,861.0,24.0,7.0,9000.0,9000.0,2.0,6.0,0.0222222222222,0.0666666666667
01/08/18,12,518.0,914.0,19.0,5.0,9000.0,9000.0,1.0,3.0,0.0111111111111,0.0333333333333
01/09/18,13,535.0,637.0,20.0,3.0,9000.0,9000.0,1.0,1.0,0.0111111111111,0.0111111111111
01/10/18,14,725.0,822.0,29.0,3.0,9000.0,9000.0,0.0,1.0,0.0,0.0111111111111
01/11/18,15,741.0,797.0,28.0,5.0,9000.0,9000.0,1.0,9.0,0.0111111111111,0.1
01/12/18,16,563.0,531.0,21.0,2.0,9000.0,9000.0,2.0,6.0,0.0222222222222,0.0666666666667
01/13/18,17,650.0,495.0,26.0,2.0,9000.0,9000.0,2.0,4.0,0.0222222222222,0.0444444444444
