date,runnum,FR25_Resp,FR100_Resp,FR25_rfr,FR100_rfr,FR25_Time,FR100_Time,FR25_Unobs,FR100_Unobs,p_BO|FR25,p_BO|FR100
12/28/17,2,1268.0,1525.0,49.0,14.0,9000.0,9000.0,0.0,2.0,0.0,0.0222222222222
12/29/17,3,1245.0,1367.0,48.0,12.0,9000.0,9000.0,0.0,0.0,0.0,0.0
12/30/17,4,1267.0,1200.0,49.0,11.0,9000.0,9000.0,0.0,1.0,0.0,0.0111111111111
12/31/17,5,1412.0,1389.0,55.0,11.0,9000.0,9000.0,0.0,0.0,0.0,0.0
01/01/18,6,1610.0,1488.0,62.0,13.0,9000.0,9000.0,0.0,0.0,0.0,0.0
01/02/18,7,1474.0,1186.0,58.0,11.0,9000.0,9000.0,0.0,1.0,0.0,0.0111111111111
01/04/18,8,1466.0,1173.0,57.0,10.0,9000.0,9000.0,0.0,1.0,0.0,0.0111111111111
01/05/18,9,1508.0,1452.0,57.0,13.0,9000.0,9000.0,0.0,2.0,0.0,0.0222222222222
01/06/18,10,1350.0,1696.0,52.0,16.0,9000.0,9000.0,0.0,0.0,0.0,0.0
01/07/18,11,1406.0,1604.0,56.0,15.0,9000.0,9000.0,0.0,0.0,0.0,0.0
01/08/18,12,1523.0,1441.0,60.0,10.0,9000.0,9000.0,0.0,1.0,0.0,0.0111111111111
01/09/18,13,1430.0,1384.0,56.0,7.0,9000.0,9000.0,0.0,1.0,0.0,0.0111111111111
01/10/18,14,1513.0,1189.0,59.0,6.0,9000.0,9000.0,0.0,2.0,0.0,0.0222222222222
01/11/18,15,1545.0,1412.0,60.0,6.0,9000.0,9000.0,0.0,3.0,0.0,0.0333333333333
01/12/18,16,1556.0,1210.0,60.0,5.0,9000.0,9000.0,0.0,1.0,0.0,0.0111111111111
01/13/18,17,1534.0,1082.0,60.0,5.0,9000.0,9000.0,0.0,5.0,0.0,0.0555555555556
