Subject,UID,Protocol,Run,Time,curr_state,next_state,tx_event,l_lever,r_lever,l_lev_off,r_lev_off
BA1651,AG,6,1,642.74,6,0,0,1,0,0,0
BA1651,AG,6,1,643.64,6,0,0,0,0,1,0
BA1651,AG,6,1,835.98,6,0,0,1,0,0,0
BA1651,AG,6,1,836.54,6,0,0,0,0,1,0
BA1651,AG,6,1,839.88,6,0,0,1,0,0,0
BA1651,AG,6,1,841.36,6,0,0,0,0,1,0
BA1651,AG,6,1,843.38,6,0,0,1,0,0,0
BA1651,AG,6,1,845.86,6,0,0,0,0,1,0
BA1651,AG,6,1,847.62,6,0,0,1,0,0,0
BA1651,AG,6,1,848.56,6,0,0,0,0,1,0
BA1651,AG,6,1,909.72,6,0,0,1,0,0,0
BA1651,AG,6,1,911.02,6,0,0,0,0,1,0
BA1651,AG,6,1,6975.7,6,0,0,1,0,0,0
BA1651,AG,6,1,6976.86,6,0,0,0,0,1,0
BA1651,AG,6,1,6980.7,6,0,0,1,0,0,0
BA1651,AG,6,1,6981.06,6,0,0,0,0,1,0
BA1651,AG,6,1,7663.52,6,8,2,0,1,0,0
BA1651,AG,6,1,7663.72,8,9,0,0,0,0,0
BA1651,AG,6,1,7663.8,9,0,0,0,0,0,1
BA1651,AG,6,1,7663.92,9,10,0,0,0,0,0
BA1651,AG,6,1,7664.92,10,2,0,0,0,0,0
BA1651,AG,6,1,7664.94,2,6,0,0,0,0,0
BA1651,AG,6,1,7763.34,6,8,2,0,1,0,0
BA1651,AG,6,1,7763.54,8,9,0,0,0,0,0
BA1651,AG,6,1,7763.74,9,10,0,0,0,0,0
BA1651,AG,6,1,7763.84,10,0,0,0,1,0,1
BA1651,AG,6,1,7763.9,10,0,0,0,0,0,1
BA1651,AG,6,1,7764.74,10,2,0,0,0,0,0
BA1651,AG,6,1,7764.76,2,6,0,0,0,0,0
BA1651,AG,6,1,7766.52,6,8,2,0,1,0,0
BA1651,AG,6,1,7766.72,8,9,0,0,0,0,0
BA1651,AG,6,1,7766.92,9,10,0,0,0,0,0
BA1651,AG,6,1,7767.12,10,0,0,0,0,0,1
BA1651,AG,6,1,7767.92,10,2,0,0,0,0,0
BA1651,AG,6,1,7767.94,2,3,0,0,0,0,0
BA1651,AG,6,1,7770.72,3,0,0,0,1,0,0
BA1651,AG,6,1,7772.86,3,0,0,0,0,0,1
BA1651,AG,6,1,7785.02,3,0,0,0,1,0,0
BA1651,AG,6,1,7785.36,3,0,0,0,0,0,1
BA1651,AG,6,1,7795.54,3,0,0,0,1,0,0
BA1651,AG,6,1,7797.3,3,0,0,0,0,0,1
BA1651,AG,6,1,7800.94,3,0,0,0,1,0,0
BA1651,AG,6,1,7801.14,3,0,0,0,0,0,1
BA1651,AG,6,1,7801.56,3,0,0,0,1,0,0
BA1651,AG,6,1,7802.08,3,0,0,0,0,0,1
BA1651,AG,6,1,7802.46,3,0,0,0,1,0,0
BA1651,AG,6,1,7803.08,3,0,0,0,0,0,1
BA1651,AG,6,1,7809.32,3,0,0,0,1,0,0
BA1651,AG,6,1,7809.76,3,0,0,0,0,0,1
BA1651,AG,6,1,7824.36,3,0,0,0,1,0,0
BA1651,AG,6,1,7825.62,3,0,0,0,0,0,1
BA1651,AG,6,1,7830.2,3,0,0,0,1,0,0
BA1651,AG,6,1,7830.68,3,0,0,0,0,0,1
BA1651,AG,6,1,7833.9,3,0,0,0,1,0,0
BA1651,AG,6,1,7834.54,3,0,0,0,0,0,1
BA1651,AG,6,1,7834.64,3,0,0,0,1,0,0
BA1651,AG,6,1,7834.8,3,0,0,0,0,0,1
BA1651,AG,6,1,7837.52,3,0,0,0,1,0,0
BA1651,AG,6,1,7837.74,3,0,0,0,0,0,1
BA1651,AG,6,1,7841.92,3,0,0,0,1,0,0
BA1651,AG,6,1,7842.94,3,0,0,0,0,0,1
BA1651,AG,6,1,7845.98,3,0,0,0,1,0,0
BA1651,AG,6,1,7847.64,3,0,0,0,0,0,1
BA1651,AG,6,1,7859.02,3,0,0,0,1,0,0
BA1651,AG,6,1,7859.2,3,0,0,0,0,0,1
BA1651,AG,6,1,7860.9,3,0,0,0,1,0,0
BA1651,AG,6,1,7861.18,3,0,0,0,0,0,1
