Subject,UID,Protocol,Run,Time,curr_state,next_state,tx_event,l_lever,r_lever,l_lev_off,r_lev_off
BA1650,AG,6,1,0.0,0,1,0,0,0,0,0
BA1650,AG,6,1,1.0,1,2,0,0,0,0,0
BA1650,AG,6,1,1.02,2,6,0,0,0,0,0
BA1650,AG,6,1,56.86,6,8,2,0,1,0,0
BA1650,AG,6,1,57.06,8,9,0,0,0,0,0
BA1650,AG,6,1,57.26,9,10,0,0,0,0,0
BA1650,AG,6,1,57.3,10,0,0,0,0,0,1
BA1650,AG,6,1,58.26,10,2,0,0,0,0,0
BA1650,AG,6,1,58.28,2,6,0,0,0,0,0
BA1650,AG,6,1,70.22,6,0,0,1,0,0,0
BA1650,AG,6,1,70.44,6,0,0,0,0,1,0
BA1650,AG,6,1,71.12,6,0,0,1,0,0,0
BA1650,AG,6,1,71.38,6,0,0,0,0,1,0
BA1650,AG,6,1,71.94,6,0,0,1,0,0,0
BA1650,AG,6,1,72.02,6,0,0,0,0,1,0
BA1650,AG,6,1,72.86,6,0,0,1,0,0,0
BA1650,AG,6,1,73.06,6,0,0,0,0,1,0
BA1650,AG,6,1,78.06,6,8,2,0,1,0,0
BA1650,AG,6,1,78.26,8,9,0,0,0,0,0
BA1650,AG,6,1,78.28,9,0,0,0,0,0,1
BA1650,AG,6,1,78.46,9,10,0,0,1,0,0
BA1650,AG,6,1,78.5,10,0,0,0,0,0,1
BA1650,AG,6,1,79.46,10,2,0,0,0,0,0
BA1650,AG,6,1,79.48,2,6,0,0,0,0,0
BA1650,AG,6,1,82.54,6,0,0,1,0,0,0
BA1650,AG,6,1,82.78,6,0,0,0,0,1,0
BA1650,AG,6,1,85.04,6,8,2,0,1,0,0
BA1650,AG,6,1,85.24,8,9,0,0,0,0,0
BA1650,AG,6,1,85.38,9,0,0,0,0,0,1
BA1650,AG,6,1,85.44,9,10,0,0,0,0,0
BA1650,AG,6,1,86.44,10,2,0,0,0,0,0
BA1650,AG,6,1,86.46,2,3,0,0,0,0,0
BA1650,AG,6,1,88.32,3,5,1,1,0,0,0
BA1650,AG,6,1,88.52,5,9,0,0,0,0,0
BA1650,AG,6,1,88.66,9,0,0,0,0,1,0
BA1650,AG,6,1,88.72,9,10,0,0,0,0,0
BA1650,AG,6,1,89.72,10,2,0,0,0,0,0
BA1650,AG,6,1,89.74,2,6,0,0,0,0,0
BA1650,AG,6,1,95.82,6,8,2,0,1,0,0
BA1650,AG,6,1,96.02,8,9,0,0,0,0,0
BA1650,AG,6,1,96.16,9,0,0,0,0,0,1
BA1650,AG,6,1,96.22,9,10,0,0,0,0,0
BA1650,AG,6,1,97.22,10,2,0,0,0,0,0
BA1650,AG,6,1,97.24,2,6,0,0,0,0,0
BA1650,AG,6,1,104.8,6,0,0,1,0,0,0
BA1650,AG,6,1,104.84,6,0,0,0,0,1,0
BA1650,AG,6,1,108.28,6,8,2,0,1,0,0
BA1650,AG,6,1,108.48,8,9,0,0,0,0,0
BA1650,AG,6,1,108.62,9,0,0,0,0,0,1
BA1650,AG,6,1,108.68,9,10,0,0,0,0,0
BA1650,AG,6,1,109.68,10,2,0,0,0,0,0
BA1650,AG,6,1,109.7,2,3,0,0,0,0,0
BA1650,AG,6,1,111.36,3,5,1,1,0,0,0
BA1650,AG,6,1,111.56,5,9,0,0,0,0,0
BA1650,AG,6,1,111.72,9,0,0,0,0,1,0
BA1650,AG,6,1,111.76,9,10,0,0,0,0,0
BA1650,AG,6,1,112.76,10,2,0,0,0,0,0
BA1650,AG,6,1,112.78,2,6,0,0,0,0,0
BA1650,AG,6,1,123.9,6,0,0,1,0,0,0
BA1650,AG,6,1,124.16,6,0,0,0,0,1,0
BA1650,AG,6,1,129.56,6,0,0,1,0,0,0
BA1650,AG,6,1,130.08,6,0,0,0,0,1,0
BA1650,AG,6,1,140.32,6,0,0,1,0,0,0
BA1650,AG,6,1,140.48,6,0,0,0,0,1,0
BA1650,AG,6,1,151.54,6,8,2,0,1,0,0
BA1650,AG,6,1,151.74,8,9,0,0,0,0,0
BA1650,AG,6,1,151.78,9,0,0,0,0,0,1
BA1650,AG,6,1,151.94,9,10,0,0,0,0,0
BA1650,AG,6,1,152.94,10,2,0,0,0,0,0
BA1650,AG,6,1,152.96,2,6,0,0,0,0,0
BA1650,AG,6,1,155.2,6,0,0,1,0,0,0
BA1650,AG,6,1,155.64,6,0,0,0,0,1,0
BA1650,AG,6,1,156.7,6,0,0,1,0,0,0
BA1650,AG,6,1,156.86,6,0,0,0,0,1,0
BA1650,AG,6,1,160.18,6,8,2,0,1,0,0
BA1650,AG,6,1,160.38,8,9,0,0,0,0,0
BA1650,AG,6,1,160.58,9,10,0,0,0,0,1
BA1650,AG,6,1,161.58,10,2,0,0,0,0,0
BA1650,AG,6,1,161.6,2,3,0,0,0,0,0
BA1650,AG,6,1,166.72,3,5,1,1,0,0,0
BA1650,AG,6,1,166.92,5,9,0,0,0,0,0
BA1650,AG,6,1,167.06,9,0,0,0,0,1,0
BA1650,AG,6,1,167.12,9,10,0,0,0,0,0
BA1650,AG,6,1,168.12,10,2,0,0,0,0,0
BA1650,AG,6,1,168.14,2,3,0,0,0,0,0
BA1650,AG,6,1,170.9,3,5,1,1,0,0,0
BA1650,AG,6,1,171.1,5,9,0,0,0,0,0
BA1650,AG,6,1,171.18,9,0,0,0,0,1,0
BA1650,AG,6,1,171.3,9,-1,0,0,0,0,0
