runnum,date,subject,eventnum,time,event
5,091717,BA1658,0,0,300
5,091717,BA1658,1,563,100
5,091717,BA1658,2,3000,310
5,091717,BA1658,3,3200,100
5,091717,BA1658,4,3270,100
5,091717,BA1658,5,3339,100
5,091717,BA1658,6,3382,100
5,091717,BA1658,7,3446,100
5,091717,BA1658,8,3451,300
5,091717,BA1658,9,3932,100
5,091717,BA1658,10,4889,110
5,091717,BA1658,11,5477,100
5,091717,BA1658,12,6451,310
5,091717,BA1658,13,6642,100
5,091717,BA1658,14,6674,100
5,091717,BA1658,15,6725,100
5,091717,BA1658,16,6762,100
5,091717,BA1658,17,6801,100
5,091717,BA1658,18,6806,300
5,091717,BA1658,19,9506,100
5,091717,BA1658,20,9737,100
5,091717,BA1658,21,9806,100
5,091717,BA1658,22,9849,100
5,091717,BA1658,23,9916,100
5,091717,BA1658,24,9947,100
5,091717,BA1658,25,9996,100
5,091717,BA1658,26,10021,100
5,091717,BA1658,27,10272,110
5,091717,BA1658,28,10377,100
5,091717,BA1658,29,10740,100
5,091717,BA1658,30,11181,100
5,091717,BA1658,31,11681,310
5,091717,BA1658,32,11796,100
5,091717,BA1658,33,11850,100
5,091717,BA1658,34,11916,100
5,091717,BA1658,35,12013,100
5,091717,BA1658,36,12109,100
5,091717,BA1658,37,12114,300
5,091717,BA1658,38,15114,310
5,091717,BA1658,39,15246,100
5,091717,BA1658,40,15274,100
5,091717,BA1658,41,15415,100
5,091717,BA1658,42,15462,100
5,091717,BA1658,43,15533,100
5,091717,BA1658,44,15538,300
5,091717,BA1658,45,17426,100
5,091717,BA1658,46,18538,310
5,091717,BA1658,47,18541,100
5,091717,BA1658,48,18570,100
5,091717,BA1658,49,18641,100
5,091717,BA1658,50,18681,100
5,091717,BA1658,51,18723,100
5,091717,BA1658,52,18728,300
5,091717,BA1658,53,19581,100
5,091717,BA1658,54,19636,100
5,091717,BA1658,55,21728,310
5,091717,BA1658,56,22406,100
5,091717,BA1658,57,22426,100
5,091717,BA1658,58,22463,100
5,091717,BA1658,59,22494,100
5,091717,BA1658,60,22534,100
5,091717,BA1658,61,22539,300
5,091717,BA1658,62,24887,100
5,091717,BA1658,63,25539,310
5,091717,BA1658,64,25700,100
5,091717,BA1658,65,25749,100
5,091717,BA1658,66,25776,100
5,091717,BA1658,67,25816,100
5,091717,BA1658,68,25852,100
5,091717,BA1658,69,25857,300
5,091717,BA1658,70,27633,100
5,091717,BA1658,71,28857,310
5,091717,BA1658,72,29099,100
5,091717,BA1658,73,29150,100
5,091717,BA1658,74,29186,100
5,091717,BA1658,75,29220,100
5,091717,BA1658,76,29395,100
5,091717,BA1658,77,29400,300
5,091717,BA1658,78,29800,100
5,091717,BA1658,79,29816,100
5,091717,BA1658,80,31122,100
5,091717,BA1658,81,31828,100
5,091717,BA1658,82,32400,310
5,091717,BA1658,83,32422,110
5,091717,BA1658,84,32527,100
5,091717,BA1658,85,32571,100
5,091717,BA1658,86,32592,100
5,091717,BA1658,87,32630,100
5,091717,BA1658,88,32674,100
5,091717,BA1658,89,32679,300
5,091717,BA1658,90,32693,100
5,091717,BA1658,91,32919,100
5,091717,BA1658,92,34699,100
5,091717,BA1658,93,34810,100
5,091717,BA1658,94,35392,100
5,091717,BA1658,95,35892,310
5,091717,BA1658,96,36111,100
5,091717,BA1658,97,36222,100
5,091717,BA1658,98,36269,100
5,091717,BA1658,99,36432,100
5,091717,BA1658,100,36478,100
5,091717,BA1658,101,36483,300
5,091717,BA1658,102,36778,100
5,091717,BA1658,103,39483,310
5,091717,BA1658,104,39723,100
5,091717,BA1658,105,39758,100
5,091717,BA1658,106,39788,100
5,091717,BA1658,107,39812,100
5,091717,BA1658,108,39862,100
5,091717,BA1658,109,39867,300
5,091717,BA1658,110,40501,100
5,091717,BA1658,111,40537,100
5,091717,BA1658,112,42475,100
5,091717,BA1658,113,42517,100
