runnum,date,subject,eventnum,time,event
1,091317,BA1657,0,0,300
1,091317,BA1657,1,634,100
1,091317,BA1657,2,903,100
1,091317,BA1657,3,1039,100
1,091317,BA1657,4,1199,100
1,091317,BA1657,5,1322,100
1,091317,BA1657,6,1508,100
1,091317,BA1657,7,1527,100
1,091317,BA1657,8,1747,100
1,091317,BA1657,9,1898,100
1,091317,BA1657,10,2091,100
1,091317,BA1657,11,3000,310
1,091317,BA1657,12,6972,110
1,091317,BA1657,13,7160,110
1,091317,BA1657,14,7190,110
1,091317,BA1657,15,8839,110
1,091317,BA1657,16,8943,110
1,091317,BA1657,17,10707,100
1,091317,BA1657,18,10864,100
1,091317,BA1657,19,10997,100
1,091317,BA1657,20,11210,100
1,091317,BA1657,21,11447,100
1,091317,BA1657,22,11452,300
1,091317,BA1657,23,12162,110
1,091317,BA1657,24,12780,100
1,091317,BA1657,25,12974,100
1,091317,BA1657,26,13120,100
1,091317,BA1657,27,13608,100
1,091317,BA1657,28,13775,100
1,091317,BA1657,29,13973,100
1,091317,BA1657,30,14473,310
1,091317,BA1657,31,14625,100
1,091317,BA1657,32,15873,100
1,091317,BA1657,33,16026,100
1,091317,BA1657,34,16086,100
1,091317,BA1657,35,16236,100
1,091317,BA1657,36,16241,300
1,091317,BA1657,37,17355,100
1,091317,BA1657,38,19241,310
1,091317,BA1657,39,19394,100
1,091317,BA1657,40,19511,100
1,091317,BA1657,41,19673,100
1,091317,BA1657,42,19891,100
1,091317,BA1657,43,20095,100
1,091317,BA1657,44,20100,300
1,091317,BA1657,45,20916,110
1,091317,BA1657,46,21047,110
1,091317,BA1657,47,23100,310
1,091317,BA1657,48,23955,100
1,091317,BA1657,49,24170,100
1,091317,BA1657,50,24281,100
1,091317,BA1657,51,24460,100
1,091317,BA1657,52,24607,100
1,091317,BA1657,53,24612,300
1,091317,BA1657,54,24956,110
1,091317,BA1657,55,27602,100
1,091317,BA1657,56,27904,100
1,091317,BA1657,57,28204,100
1,091317,BA1657,58,28348,100
1,091317,BA1657,59,28408,100
1,091317,BA1657,60,28669,100
1,091317,BA1657,61,28826,100
1,091317,BA1657,62,29037,100
1,091317,BA1657,63,29502,100
1,091317,BA1657,64,29685,100
1,091317,BA1657,65,29871,100
1,091317,BA1657,66,30097,100
1,091317,BA1657,67,30217,100
1,091317,BA1657,68,30300,100
1,091317,BA1657,69,30318,100
1,091317,BA1657,70,30468,100
1,091317,BA1657,71,30968,310
1,091317,BA1657,72,31622,110
1,091317,BA1657,73,33040,100
1,091317,BA1657,74,33190,100
1,091317,BA1657,75,33332,100
1,091317,BA1657,76,33587,100
1,091317,BA1657,77,33754,100
1,091317,BA1657,78,33759,300
1,091317,BA1657,79,34924,100
1,091317,BA1657,80,35027,100
1,091317,BA1657,81,35160,100
1,091317,BA1657,82,35289,100
1,091317,BA1657,83,35402,100
1,091317,BA1657,84,35573,100
1,091317,BA1657,85,35689,100
1,091317,BA1657,86,35792,100
1,091317,BA1657,87,36122,100
1,091317,BA1657,88,36534,100
1,091317,BA1657,89,37034,310
1,091317,BA1657,90,37143,110
1,091317,BA1657,91,37337,100
1,091317,BA1657,92,37525,100
1,091317,BA1657,93,37643,100
1,091317,BA1657,94,38182,100
1,091317,BA1657,95,38360,100
1,091317,BA1657,96,38365,300
1,091317,BA1657,97,38979,100
1,091317,BA1657,98,39645,100
1,091317,BA1657,99,39807,100
1,091317,BA1657,100,41365,310
1,091317,BA1657,101,41694,100
1,091317,BA1657,102,41845,100
1,091317,BA1657,103,41956,100
1,091317,BA1657,104,42164,100
1,091317,BA1657,105,42330,100
1,091317,BA1657,106,42335,300
1,091317,BA1657,107,42693,100
1,091317,BA1657,108,42824,100
1,091317,BA1657,109,42870,100
1,091317,BA1657,110,43082,100
1,091317,BA1657,111,43332,100
1,091317,BA1657,112,44904,100
1,091317,BA1657,113,45404,310
1,091317,BA1657,114,45772,100
1,091317,BA1657,115,45929,100
1,091317,BA1657,116,46125,100
1,091317,BA1657,117,46307,100
1,091317,BA1657,118,46524,100
1,091317,BA1657,119,46529,300
1,091317,BA1657,120,46983,100
1,091317,BA1657,121,47865,100
1,091317,BA1657,122,48050,100
1,091317,BA1657,123,48195,100
1,091317,BA1657,124,48328,100
1,091317,BA1657,125,49529,310
1,091317,BA1657,126,49530,100
1,091317,BA1657,127,49709,100
1,091317,BA1657,128,49887,100
1,091317,BA1657,129,50063,100
1,091317,BA1657,130,50323,100
1,091317,BA1657,131,50328,300
1,091317,BA1657,132,50588,100
1,091317,BA1657,133,51611,110
1,091317,BA1657,134,51752,110
1,091317,BA1657,135,52095,100
1,091317,BA1657,136,52298,100
