runnum,date,subject,eventnum,time,event
2,091417,BA1656,0,0,300
2,091417,BA1656,1,3000,310
2,091417,BA1656,2,3200,110
2,091417,BA1656,3,3232,110
2,091417,BA1656,4,3370,110
2,091417,BA1656,5,4452,100
2,091417,BA1656,6,4624,100
2,091417,BA1656,7,4808,100
2,091417,BA1656,8,4874,100
2,091417,BA1656,9,5881,110
2,091417,BA1656,10,5939,110
2,091417,BA1656,11,6309,100
2,091417,BA1656,12,6314,300
2,091417,BA1656,13,7496,100
2,091417,BA1656,14,7960,100
2,091417,BA1656,15,8654,100
2,091417,BA1656,16,8823,110
2,091417,BA1656,17,9057,110
2,091417,BA1656,18,9314,310
2,091417,BA1656,19,9694,100
2,091417,BA1656,20,9791,100
2,091417,BA1656,21,10041,100
2,091417,BA1656,22,10168,100
2,091417,BA1656,23,10262,100
2,091417,BA1656,24,10267,300
2,091417,BA1656,25,11022,100
2,091417,BA1656,26,12187,100
2,091417,BA1656,27,12297,100
2,091417,BA1656,28,12380,100
2,091417,BA1656,29,12511,100
2,091417,BA1656,30,12709,100
2,091417,BA1656,31,12890,110
2,091417,BA1656,32,12960,110
2,091417,BA1656,33,13267,310
2,091417,BA1656,34,13560,100
2,091417,BA1656,35,13629,100
2,091417,BA1656,36,13792,100
2,091417,BA1656,37,14017,100
2,091417,BA1656,38,14139,100
2,091417,BA1656,39,14144,300
2,091417,BA1656,40,16400,100
2,091417,BA1656,41,16482,100
2,091417,BA1656,42,16567,100
2,091417,BA1656,43,16654,100
2,091417,BA1656,44,16704,100
2,091417,BA1656,45,16787,100
2,091417,BA1656,46,16939,100
2,091417,BA1656,47,17059,100
2,091417,BA1656,48,17071,100
2,091417,BA1656,49,17162,110
2,091417,BA1656,50,17173,110
2,091417,BA1656,51,17199,110
2,091417,BA1656,52,17217,110
2,091417,BA1656,53,17307,110
2,091417,BA1656,54,17369,110
2,091417,BA1656,55,17512,100
2,091417,BA1656,56,17588,100
2,091417,BA1656,57,17704,100
2,091417,BA1656,58,17790,100
2,091417,BA1656,59,18050,100
2,091417,BA1656,60,18550,310
2,091417,BA1656,61,19414,100
2,091417,BA1656,62,19571,100
2,091417,BA1656,63,19819,100
2,091417,BA1656,64,19980,100
2,091417,BA1656,65,20101,100
2,091417,BA1656,66,20106,300
2,091417,BA1656,67,22324,100
2,091417,BA1656,68,22356,100
2,091417,BA1656,69,22549,100
2,091417,BA1656,70,22840,110
2,091417,BA1656,71,23052,110
2,091417,BA1656,72,23073,110
2,091417,BA1656,73,23106,310
2,091417,BA1656,74,23235,100
2,091417,BA1656,75,23305,100
2,091417,BA1656,76,23417,100
2,091417,BA1656,77,23514,100
2,091417,BA1656,78,23732,100
2,091417,BA1656,79,23737,300
2,091417,BA1656,80,25864,100
2,091417,BA1656,81,25998,100
2,091417,BA1656,82,26737,310
2,091417,BA1656,83,27884,100
2,091417,BA1656,84,27962,100
2,091417,BA1656,85,28085,100
2,091417,BA1656,86,28322,100
2,091417,BA1656,87,28781,100
2,091417,BA1656,88,28786,300
2,091417,BA1656,89,30251,100
2,091417,BA1656,90,30312,100
2,091417,BA1656,91,30374,100
2,091417,BA1656,92,31786,310
2,091417,BA1656,93,31951,100
2,091417,BA1656,94,32029,100
2,091417,BA1656,95,32152,100
2,091417,BA1656,96,32202,100
2,091417,BA1656,97,32308,100
2,091417,BA1656,98,32313,300
2,091417,BA1656,99,32636,110
2,091417,BA1656,100,32754,110
2,091417,BA1656,101,33300,110
2,091417,BA1656,102,33337,110
2,091417,BA1656,103,33636,100
2,091417,BA1656,104,35313,310
2,091417,BA1656,105,35509,100
2,091417,BA1656,106,35649,100
2,091417,BA1656,107,35783,100
2,091417,BA1656,108,35918,100
2,091417,BA1656,109,36006,100
2,091417,BA1656,110,36011,300
2,091417,BA1656,111,38776,100
2,091417,BA1656,112,38933,100
2,091417,BA1656,113,39322,110
2,091417,BA1656,114,39332,110
2,091417,BA1656,115,39433,310
2,091417,BA1656,116,39504,100
2,091417,BA1656,117,39648,100
2,091417,BA1656,118,39751,100
2,091417,BA1656,119,39862,100
2,091417,BA1656,120,39983,100
2,091417,BA1656,121,39988,300
2,091417,BA1656,122,42171,100
2,091417,BA1656,123,42335,100
2,091417,BA1656,124,42383,100
2,091417,BA1656,125,42988,310
2,091417,BA1656,126,43288,100
2,091417,BA1656,127,43425,100
2,091417,BA1656,128,43539,100
2,091417,BA1656,129,43650,100
2,091417,BA1656,130,43721,100
2,091417,BA1656,131,43726,300
2,091417,BA1656,132,45198,100
2,091417,BA1656,133,45407,100
2,091417,BA1656,134,45542,100
2,091417,BA1656,135,46726,310
2,091417,BA1656,136,46841,100
2,091417,BA1656,137,46914,100
2,091417,BA1656,138,47013,100
2,091417,BA1656,139,47071,100
2,091417,BA1656,140,47172,100
2,091417,BA1656,141,47177,300
2,091417,BA1656,142,47916,100
2,091417,BA1656,143,48166,100
2,091417,BA1656,144,48307,100
2,091417,BA1656,145,48372,100
2,091417,BA1656,146,48429,100
2,091417,BA1656,147,49284,110
2,091417,BA1656,148,49342,110
2,091417,BA1656,149,49417,110
2,091417,BA1656,150,49440,110
2,091417,BA1656,151,49568,110
2,091417,BA1656,152,49984,100
2,091417,BA1656,153,50103,100
2,091417,BA1656,154,50162,100
2,091417,BA1656,155,50241,100
2,091417,BA1656,156,50460,100
2,091417,BA1656,157,50550,100
2,091417,BA1656,158,50645,100
2,091417,BA1656,159,50777,100
2,091417,BA1656,160,50928,100
2,091417,BA1656,161,51030,100
2,091417,BA1656,162,51202,100
2,091417,BA1656,163,51702,310
2,091417,BA1656,164,52055,100
2,091417,BA1656,165,52115,100
2,091417,BA1656,166,52190,100
2,091417,BA1656,167,52253,100
2,091417,BA1656,168,52330,100
2,091417,BA1656,169,52335,300
2,091417,BA1656,170,52777,110
2,091417,BA1656,171,54400,100
2,091417,BA1656,172,55314,110
2,091417,BA1656,173,55322,110
2,091417,BA1656,174,55335,310
2,091417,BA1656,175,55344,110
2,091417,BA1656,176,55594,100
2,091417,BA1656,177,55670,100
2,091417,BA1656,178,55726,100
2,091417,BA1656,179,55840,100
2,091417,BA1656,180,55873,100
2,091417,BA1656,181,55878,300
2,091417,BA1656,182,56162,100
2,091417,BA1656,183,56284,110
2,091417,BA1656,184,56328,110
2,091417,BA1656,185,56349,110
2,091417,BA1656,186,56368,110
2,091417,BA1656,187,56380,110
2,091417,BA1656,188,56540,110
2,091417,BA1656,189,57413,110
2,091417,BA1656,190,57690,100
2,091417,BA1656,191,57786,100
2,091417,BA1656,192,58276,100
2,091417,BA1656,193,58337,100
2,091417,BA1656,194,58385,100
2,091417,BA1656,195,58437,100
2,091417,BA1656,196,58471,100
2,091417,BA1656,197,58539,100
2,091417,BA1656,198,59039,310
2,091417,BA1656,199,59111,110
2,091417,BA1656,200,59513,100
2,091417,BA1656,201,59596,100
2,091417,BA1656,202,59762,100
2,091417,BA1656,203,59846,100
2,091417,BA1656,204,59908,100
2,091417,BA1656,205,59913,300
2,091417,BA1656,206,61385,100
2,091417,BA1656,207,61418,100
2,091417,BA1656,208,61498,100
2,091417,BA1656,209,61517,100
2,091417,BA1656,210,62754,100
2,091417,BA1656,211,62802,100
2,091417,BA1656,212,62907,100
2,091417,BA1656,213,63407,310
2,091417,BA1656,214,63655,100
2,091417,BA1656,215,63751,100
2,091417,BA1656,216,63789,100
2,091417,BA1656,217,63877,100
2,091417,BA1656,218,63961,100
2,091417,BA1656,219,63966,300
2,091417,BA1656,220,65831,100
2,091417,BA1656,221,65993,100
2,091417,BA1656,222,66170,110
2,091417,BA1656,223,66187,110
2,091417,BA1656,224,66507,100
2,091417,BA1656,225,66552,100
2,091417,BA1656,226,66612,100
2,091417,BA1656,227,66734,110
2,091417,BA1656,228,66806,110
2,091417,BA1656,229,66819,110
2,091417,BA1656,230,66932,110
2,091417,BA1656,231,67112,310
2,091417,BA1656,232,67317,100
2,091417,BA1656,233,67428,100
2,091417,BA1656,234,67481,100
2,091417,BA1656,235,67553,100
2,091417,BA1656,236,67680,100
2,091417,BA1656,237,67685,300
2,091417,BA1656,238,69810,110
2,091417,BA1656,239,69845,110
2,091417,BA1656,240,69887,110
2,091417,BA1656,241,69926,110
2,091417,BA1656,242,69963,110
2,091417,BA1656,243,70158,100
2,091417,BA1656,244,70233,100
2,091417,BA1656,245,70393,110
2,091417,BA1656,246,70702,110
2,091417,BA1656,247,70733,310
2,091417,BA1656,248,70799,110
2,091417,BA1656,249,70941,100
2,091417,BA1656,250,71160,100
2,091417,BA1656,251,71175,100
2,091417,BA1656,252,71242,100
2,091417,BA1656,253,71332,100
2,091417,BA1656,254,71337,300
2,091417,BA1656,255,73963,110
2,091417,BA1656,256,73980,110
2,091417,BA1656,257,74337,310
2,091417,BA1656,258,74655,100
2,091417,BA1656,259,74751,100
2,091417,BA1656,260,74847,100
2,091417,BA1656,261,74880,100
2,091417,BA1656,262,74973,100
2,091417,BA1656,263,74978,300
2,091417,BA1656,264,75483,110
2,091417,BA1656,265,76366,110
2,091417,BA1656,266,76734,110
2,091417,BA1656,267,77030,110
2,091417,BA1656,268,77978,310
2,091417,BA1656,269,78156,100
2,091417,BA1656,270,78250,100
2,091417,BA1656,271,78468,100
2,091417,BA1656,272,78545,100
2,091417,BA1656,273,78596,100
2,091417,BA1656,274,78601,300
2,091417,BA1656,275,78611,100
2,091417,BA1656,276,79651,110
2,091417,BA1656,277,79679,110
2,091417,BA1656,278,80046,100
2,091417,BA1656,279,80189,100
2,091417,BA1656,280,80327,110
2,091417,BA1656,281,80344,110
2,091417,BA1656,282,80371,110
2,091417,BA1656,283,80744,100
2,091417,BA1656,284,80826,100
2,091417,BA1656,285,80844,100
2,091417,BA1656,286,80918,100
2,091417,BA1656,287,80993,100
2,091417,BA1656,288,81032,100
2,091417,BA1656,289,81094,100
2,091417,BA1656,290,81182,100
2,091417,BA1656,291,81349,100
2,091417,BA1656,292,81477,100
2,091417,BA1656,293,81856,100
2,091417,BA1656,294,82356,310
2,091417,BA1656,295,83476,100
2,091417,BA1656,296,83552,100
2,091417,BA1656,297,83705,100
2,091417,BA1656,298,83773,100
2,091417,BA1656,299,83845,100
2,091417,BA1656,300,83850,300
2,091417,BA1656,301,84986,110
2,091417,BA1656,302,85016,110
2,091417,BA1656,303,85033,110
2,091417,BA1656,304,85054,110
2,091417,BA1656,305,85077,110
2,091417,BA1656,306,85097,110
2,091417,BA1656,307,85516,110
2,091417,BA1656,308,85531,110
2,091417,BA1656,309,85554,110
2,091417,BA1656,310,85763,110
2,091417,BA1656,311,85791,110
2,091417,BA1656,312,85881,110
2,091417,BA1656,313,86125,110
2,091417,BA1656,314,86356,100
2,091417,BA1656,315,86412,100
2,091417,BA1656,316,86501,100
2,091417,BA1656,317,86609,110
2,091417,BA1656,318,86633,110
2,091417,BA1656,319,86650,110
2,091417,BA1656,320,86687,110
2,091417,BA1656,321,86694,110
2,091417,BA1656,322,87001,310
2,091417,BA1656,323,87110,100
2,091417,BA1656,324,87187,100
2,091417,BA1656,325,87257,100
2,091417,BA1656,326,87305,100
2,091417,BA1656,327,87331,100
2,091417,BA1656,328,87336,300
2,091417,BA1656,329,87994,100
2,091417,BA1656,330,90336,310
2,091417,BA1656,331,90782,100
2,091417,BA1656,332,90903,100
2,091417,BA1656,333,90942,100
2,091417,BA1656,334,90977,100
2,091417,BA1656,335,91015,100
2,091417,BA1656,336,91020,300
2,091417,BA1656,337,93039,110
2,091417,BA1656,338,93057,110
2,091417,BA1656,339,93078,110
2,091417,BA1656,340,93270,100
2,091417,BA1656,341,93329,100
2,091417,BA1656,342,93364,100
2,091417,BA1656,343,93507,100
2,091417,BA1656,344,94020,310
2,091417,BA1656,345,94659,100
2,091417,BA1656,346,94723,100
2,091417,BA1656,347,94771,100
2,091417,BA1656,348,94819,100
2,091417,BA1656,349,94892,100
2,091417,BA1656,350,94897,300
2,091417,BA1656,351,94916,100
2,091417,BA1656,352,96009,100
2,091417,BA1656,353,96251,100
2,091417,BA1656,354,97252,110
2,091417,BA1656,355,97280,110
2,091417,BA1656,356,97897,310
2,091417,BA1656,357,97954,100
2,091417,BA1656,358,98087,100
2,091417,BA1656,359,98151,100
2,091417,BA1656,360,98231,100
2,091417,BA1656,361,98286,100
2,091417,BA1656,362,98291,300
2,091417,BA1656,363,98624,100
2,091417,BA1656,364,100507,100
2,091417,BA1656,365,100557,100
2,091417,BA1656,366,100606,100
2,091417,BA1656,367,100625,100
2,091417,BA1656,368,100799,100
2,091417,BA1656,369,100828,100
2,091417,BA1656,370,100879,100
2,091417,BA1656,371,100925,100
2,091417,BA1656,372,101249,110
2,091417,BA1656,373,101322,110
2,091417,BA1656,374,101425,310
2,091417,BA1656,375,101430,100
2,091417,BA1656,376,101504,100
2,091417,BA1656,377,101562,100
2,091417,BA1656,378,101651,100
2,091417,BA1656,379,101757,100
2,091417,BA1656,380,101762,300
2,091417,BA1656,381,102250,100
2,091417,BA1656,382,102656,100
2,091417,BA1656,383,102690,100
2,091417,BA1656,384,103471,100
2,091417,BA1656,385,103558,100
2,091417,BA1656,386,103676,100
2,091417,BA1656,387,103754,100
2,091417,BA1656,388,103827,100
2,091417,BA1656,389,104762,310
2,091417,BA1656,390,105168,100
2,091417,BA1656,391,105239,100
2,091417,BA1656,392,105365,100
2,091417,BA1656,393,105418,100
2,091417,BA1656,394,105548,100
2,091417,BA1656,395,105553,300
2,091417,BA1656,396,106981,100
2,091417,BA1656,397,107092,100
2,091417,BA1656,398,107205,100
2,091417,BA1656,399,107283,100
2,091417,BA1656,400,107317,100
2,091417,BA1656,401,107340,100
2,091417,BA1656,402,108145,100
2,091417,BA1656,403,108314,110
2,091417,BA1656,404,108645,310
2,091417,BA1656,405,108710,100
2,091417,BA1656,406,108905,100
2,091417,BA1656,407,108960,100
2,091417,BA1656,408,108986,100
2,091417,BA1656,409,109042,100
2,091417,BA1656,410,109047,300
2,091417,BA1656,411,109411,110
2,091417,BA1656,412,109509,110
2,091417,BA1656,413,110278,110
2,091417,BA1656,414,110361,110
2,091417,BA1656,415,110832,110
2,091417,BA1656,416,111132,110
2,091417,BA1656,417,111635,100
2,091417,BA1656,418,111706,100
2,091417,BA1656,419,111815,100
2,091417,BA1656,420,111926,110
2,091417,BA1656,421,112228,110
2,091417,BA1656,422,112264,110
2,091417,BA1656,423,112315,310
2,091417,BA1656,424,112419,100
2,091417,BA1656,425,112511,100
2,091417,BA1656,426,112549,100
2,091417,BA1656,427,112608,100
2,091417,BA1656,428,112680,100
2,091417,BA1656,429,112685,300
2,091417,BA1656,430,113834,110
2,091417,BA1656,431,113865,110
2,091417,BA1656,432,115399,100
2,091417,BA1656,433,115453,100
2,091417,BA1656,434,115475,100
2,091417,BA1656,435,115975,310
2,091417,BA1656,436,116000,100
2,091417,BA1656,437,116235,100
2,091417,BA1656,438,116300,100
2,091417,BA1656,439,116335,100
2,091417,BA1656,440,116431,100
2,091417,BA1656,441,116436,300
2,091417,BA1656,442,116735,100
2,091417,BA1656,443,117442,110
2,091417,BA1656,444,117467,110
2,091417,BA1656,445,117519,110
2,091417,BA1656,446,117607,110
2,091417,BA1656,447,117746,100
2,091417,BA1656,448,117844,100
2,091417,BA1656,449,117921,100
2,091417,BA1656,450,118024,100
2,091417,BA1656,451,118174,110
2,091417,BA1656,452,118521,110
2,091417,BA1656,453,118967,110
2,091417,BA1656,454,119089,110
2,091417,BA1656,455,119109,110
2,091417,BA1656,456,119397,100
2,091417,BA1656,457,119534,100
2,091417,BA1656,458,119783,100
2,091417,BA1656,459,119978,100
2,091417,BA1656,460,120106,100
2,091417,BA1656,461,120606,310
2,091417,BA1656,462,121361,100
2,091417,BA1656,463,121404,100
2,091417,BA1656,464,121441,100
2,091417,BA1656,465,121537,100
2,091417,BA1656,466,121797,100
2,091417,BA1656,467,121802,300
2,091417,BA1656,468,123959,100
2,091417,BA1656,469,124013,100
2,091417,BA1656,470,124143,100
2,091417,BA1656,471,124802,310
2,091417,BA1656,472,125123,100
2,091417,BA1656,473,125195,100
2,091417,BA1656,474,125267,100
2,091417,BA1656,475,125321,100
2,091417,BA1656,476,125345,100
2,091417,BA1656,477,125350,300
2,091417,BA1656,478,127177,100
2,091417,BA1656,479,128248,100
2,091417,BA1656,480,128434,110
2,091417,BA1656,481,128621,100
2,091417,BA1656,482,128782,100
2,091417,BA1656,483,128873,100
2,091417,BA1656,484,128995,110
2,091417,BA1656,485,129151,100
2,091417,BA1656,486,129289,110
2,091417,BA1656,487,129651,310
2,091417,BA1656,488,129941,100
2,091417,BA1656,489,130014,100
2,091417,BA1656,490,130065,100
2,091417,BA1656,491,130172,100
2,091417,BA1656,492,130208,100
2,091417,BA1656,493,130213,300
2,091417,BA1656,494,130712,110
2,091417,BA1656,495,132073,110
2,091417,BA1656,496,132104,110
2,091417,BA1656,497,132827,110
2,091417,BA1656,498,133213,310
2,091417,BA1656,499,133659,100
2,091417,BA1656,500,133751,100
2,091417,BA1656,501,133853,100
2,091417,BA1656,502,133884,100
2,091417,BA1656,503,133918,100
2,091417,BA1656,504,133923,300
2,091417,BA1656,505,134462,110
2,091417,BA1656,506,135329,110
2,091417,BA1656,507,136923,310
2,091417,BA1656,508,137025,100
2,091417,BA1656,509,137094,100
2,091417,BA1656,510,137179,100
2,091417,BA1656,511,137252,100
2,091417,BA1656,512,137299,100
2,091417,BA1656,513,137304,300
2,091417,BA1656,514,138017,110
2,091417,BA1656,515,140003,100
2,091417,BA1656,516,140155,100
2,091417,BA1656,517,140596,100
2,091417,BA1656,518,140993,100
2,091417,BA1656,519,141102,100
2,091417,BA1656,520,141602,310
2,091417,BA1656,521,141897,100
2,091417,BA1656,522,142114,100
2,091417,BA1656,523,142168,100
2,091417,BA1656,524,142199,100
2,091417,BA1656,525,142246,100
2,091417,BA1656,526,142251,300
2,091417,BA1656,527,145251,310
2,091417,BA1656,528,145476,100
2,091417,BA1656,529,145525,100
2,091417,BA1656,530,145556,100
2,091417,BA1656,531,145606,100
2,091417,BA1656,532,145641,100
2,091417,BA1656,533,145646,300
2,091417,BA1656,534,147365,100
2,091417,BA1656,535,148342,100
2,091417,BA1656,536,148386,100
2,091417,BA1656,537,148613,100
2,091417,BA1656,538,148870,110
2,091417,BA1656,539,148982,100
2,091417,BA1656,540,149108,100
2,091417,BA1656,541,149195,100
2,091417,BA1656,542,149586,110
2,091417,BA1656,543,149695,310
2,091417,BA1656,544,149734,100
2,091417,BA1656,545,150072,100
2,091417,BA1656,546,150174,100
2,091417,BA1656,547,150215,100
2,091417,BA1656,548,150274,100
2,091417,BA1656,549,150279,300
2,091417,BA1656,550,150582,100
2,091417,BA1656,551,150908,110
2,091417,BA1656,552,151055,110
2,091417,BA1656,553,151205,110
2,091417,BA1656,554,151259,110
2,091417,BA1656,555,151652,110
2,091417,BA1656,556,151692,110
2,091417,BA1656,557,151897,100
2,091417,BA1656,558,151962,100
2,091417,BA1656,559,152122,110
2,091417,BA1656,560,152669,110
2,091417,BA1656,561,152819,100
2,091417,BA1656,562,153319,310
2,091417,BA1656,563,153483,100
2,091417,BA1656,564,153626,100
2,091417,BA1656,565,153693,100
2,091417,BA1656,566,153786,100
2,091417,BA1656,567,153818,100
2,091417,BA1656,568,153823,300
2,091417,BA1656,569,154572,100
2,091417,BA1656,570,154650,100
2,091417,BA1656,571,155765,100
2,091417,BA1656,572,155855,100
2,091417,BA1656,573,155935,100
2,091417,BA1656,574,155968,100
2,091417,BA1656,575,156015,100
2,091417,BA1656,576,156823,310
2,091417,BA1656,577,157145,100
2,091417,BA1656,578,157194,100
2,091417,BA1656,579,157222,100
2,091417,BA1656,580,157272,100
2,091417,BA1656,581,157410,100
2,091417,BA1656,582,157415,300
2,091417,BA1656,583,158610,100
2,091417,BA1656,584,159642,110
2,091417,BA1656,585,159731,110
2,091417,BA1656,586,160415,310
2,091417,BA1656,587,160554,100
2,091417,BA1656,588,160598,100
2,091417,BA1656,589,160656,100
2,091417,BA1656,590,160745,100
2,091417,BA1656,591,160987,100
2,091417,BA1656,592,160992,300
2,091417,BA1656,593,162140,110
2,091417,BA1656,594,162178,110
2,091417,BA1656,595,162340,100
2,091417,BA1656,596,163992,310
2,091417,BA1656,597,164697,100
2,091417,BA1656,598,164762,100
2,091417,BA1656,599,164825,100
2,091417,BA1656,600,164885,100
2,091417,BA1656,601,164998,100
2,091417,BA1656,602,165003,300
2,091417,BA1656,603,165509,100
2,091417,BA1656,604,166290,110
2,091417,BA1656,605,166318,110
2,091417,BA1656,606,166870,110
2,091417,BA1656,607,167640,110
2,091417,BA1656,608,167709,110
2,091417,BA1656,609,167895,100
2,091417,BA1656,610,167932,100
2,091417,BA1656,611,167957,100
2,091417,BA1656,612,168030,100
2,091417,BA1656,613,168460,110
2,091417,BA1656,614,168530,310
2,091417,BA1656,615,168938,100
2,091417,BA1656,616,169026,100
2,091417,BA1656,617,169081,100
2,091417,BA1656,618,169139,100
2,091417,BA1656,619,169285,100
2,091417,BA1656,620,169290,300
2,091417,BA1656,621,170470,110
2,091417,BA1656,622,172290,310
2,091417,BA1656,623,172617,100
2,091417,BA1656,624,172723,100
2,091417,BA1656,625,172761,100
2,091417,BA1656,626,172804,100
2,091417,BA1656,627,172839,100
2,091417,BA1656,628,172844,300
2,091417,BA1656,629,175261,100
2,091417,BA1656,630,175844,310
2,091417,BA1656,631,176106,100
2,091417,BA1656,632,176134,100
2,091417,BA1656,633,176191,100
2,091417,BA1656,634,176248,100
2,091417,BA1656,635,176283,100
2,091417,BA1656,636,176288,300
2,091417,BA1656,637,177070,110
2,091417,BA1656,638,177151,110
2,091417,BA1656,639,177625,110
2,091417,BA1656,640,177644,110
2,091417,BA1656,641,178043,110
2,091417,BA1656,642,178293,100
2,091417,BA1656,643,178540,100
2,091417,BA1656,644,178712,100
2,091417,BA1656,645,178761,100
2,091417,BA1656,646,178818,100
2,091417,BA1656,647,178934,100
2,091417,BA1656,648,179434,310
2,091417,BA1656,649,179648,100
2,091417,BA1656,650,179714,100
2,091417,BA1656,651,179756,100
2,091417,BA1656,652,179887,100
2,091417,BA1656,653,179935,100
2,091417,BA1656,654,179940,300
2,091417,BA1656,655,182168,100
2,091417,BA1656,656,182317,110
2,091417,BA1656,657,182414,110
2,091417,BA1656,658,182773,100
2,091417,BA1656,659,182814,110
2,091417,BA1656,660,182891,110
2,091417,BA1656,661,183273,310
2,091417,BA1656,662,183422,100
2,091417,BA1656,663,183517,100
2,091417,BA1656,664,183587,100
2,091417,BA1656,665,183620,100
2,091417,BA1656,666,183664,100
