runnum,date,subject,eventnum,time,event
7,091917,BA1657,0,0,300
7,091917,BA1657,1,1167,100
7,091917,BA1657,2,1193,100
7,091917,BA1657,3,1327,100
7,091917,BA1657,4,1373,100
7,091917,BA1657,5,3000,310
7,091917,BA1657,6,3444,100
7,091917,BA1657,7,3689,100
7,091917,BA1657,8,3920,100
7,091917,BA1657,9,3985,100
7,091917,BA1657,10,4170,100
7,091917,BA1657,11,4175,300
7,091917,BA1657,12,5200,100
7,091917,BA1657,13,7175,310
7,091917,BA1657,14,7290,100
7,091917,BA1657,15,7517,100
7,091917,BA1657,16,7773,100
7,091917,BA1657,17,8085,100
7,091917,BA1657,18,8173,100
7,091917,BA1657,19,8178,300
7,091917,BA1657,20,10707,100
7,091917,BA1657,21,10910,100
7,091917,BA1657,22,11028,100
7,091917,BA1657,23,11528,310
7,091917,BA1657,24,11770,100
7,091917,BA1657,25,11907,100
7,091917,BA1657,26,12096,100
7,091917,BA1657,27,12325,100
7,091917,BA1657,28,12476,100
7,091917,BA1657,29,12481,300
7,091917,BA1657,30,14926,100
7,091917,BA1657,31,15356,110
7,091917,BA1657,32,15481,310
7,091917,BA1657,33,16225,100
7,091917,BA1657,34,16433,100
7,091917,BA1657,35,16597,100
7,091917,BA1657,36,16876,100
7,091917,BA1657,37,17064,100
7,091917,BA1657,38,17069,300
7,091917,BA1657,39,20069,310
7,091917,BA1657,40,21179,100
7,091917,BA1657,41,21250,100
7,091917,BA1657,42,21435,100
7,091917,BA1657,43,21701,100
7,091917,BA1657,44,21768,100
7,091917,BA1657,45,21773,300
7,091917,BA1657,46,22527,100
7,091917,BA1657,47,24773,310
7,091917,BA1657,48,24900,100
7,091917,BA1657,49,25149,100
7,091917,BA1657,50,25345,100
7,091917,BA1657,51,25478,100
7,091917,BA1657,52,25720,100
7,091917,BA1657,53,25725,300
7,091917,BA1657,54,27065,100
7,091917,BA1657,55,28725,310
7,091917,BA1657,56,28865,100
7,091917,BA1657,57,29009,100
7,091917,BA1657,58,29055,100
7,091917,BA1657,59,29191,100
7,091917,BA1657,60,29294,100
7,091917,BA1657,61,29299,300
7,091917,BA1657,62,32299,310
7,091917,BA1657,63,32664,100
7,091917,BA1657,64,32912,100
7,091917,BA1657,65,33257,100
7,091917,BA1657,66,33400,100
7,091917,BA1657,67,33675,100
7,091917,BA1657,68,33680,300
7,091917,BA1657,69,34264,100
7,091917,BA1657,70,36680,310
7,091917,BA1657,71,36796,100
7,091917,BA1657,72,37286,100
7,091917,BA1657,73,37555,100
7,091917,BA1657,74,37803,100
7,091917,BA1657,75,38094,100
7,091917,BA1657,76,38099,300
7,091917,BA1657,77,38558,100
7,091917,BA1657,78,39311,100
7,091917,BA1657,79,39800,100
7,091917,BA1657,80,39888,100
7,091917,BA1657,81,41099,310
7,091917,BA1657,82,42431,100
7,091917,BA1657,83,42684,100
7,091917,BA1657,84,42828,100
7,091917,BA1657,85,43146,100
7,091917,BA1657,86,43402,100
7,091917,BA1657,87,43407,300
7,091917,BA1657,88,46407,310
7,091917,BA1657,89,46594,100
7,091917,BA1657,90,46847,100
7,091917,BA1657,91,46936,100
7,091917,BA1657,92,47363,100
7,091917,BA1657,93,47826,100
7,091917,BA1657,94,47831,300
7,091917,BA1657,95,50831,310
7,091917,BA1657,96,50944,100
7,091917,BA1657,97,51408,100
7,091917,BA1657,98,52014,100
7,091917,BA1657,99,52355,100
7,091917,BA1657,100,52557,100
7,091917,BA1657,101,52562,300
7,091917,BA1657,102,55562,310
7,091917,BA1657,103,56488,100
7,091917,BA1657,104,57207,100
7,091917,BA1657,105,57371,100
7,091917,BA1657,106,57651,100
7,091917,BA1657,107,57831,100
7,091917,BA1657,108,57836,300
7,091917,BA1657,109,59533,110
7,091917,BA1657,110,60836,310
7,091917,BA1657,111,61255,100
7,091917,BA1657,112,61463,100
7,091917,BA1657,113,61842,100
7,091917,BA1657,114,62030,100
7,091917,BA1657,115,62129,100
7,091917,BA1657,116,62134,300
7,091917,BA1657,117,65134,310
7,091917,BA1657,118,65850,100
7,091917,BA1657,119,66070,100
7,091917,BA1657,120,66196,100
7,091917,BA1657,121,66302,100
7,091917,BA1657,122,66461,100
7,091917,BA1657,123,66466,300
7,091917,BA1657,124,69319,100
7,091917,BA1657,125,69427,100
7,091917,BA1657,126,69927,310
7,091917,BA1657,127,70353,100
7,091917,BA1657,128,70669,100
7,091917,BA1657,129,70743,100
7,091917,BA1657,130,70806,100
7,091917,BA1657,131,70922,100
7,091917,BA1657,132,70927,300
7,091917,BA1657,133,72020,110
7,091917,BA1657,134,73927,310
7,091917,BA1657,135,74237,100
7,091917,BA1657,136,74576,100
7,091917,BA1657,137,74752,100
7,091917,BA1657,138,74981,100
