date,trial,fr,fr_prp,uo_prp,uo_resps,uo_fr_resps,uo_uo_resps,localrate,timeouts,p_to,p_to_sr,sr_rate,iri,max_fr
12/11/17,1.0,25,,5.21,0,0,0,123.66,1,0.1429,0.14286,34.625,1.733,175
12/11/17,2.0,50,5.4400000000000004,,0,0,0,158.311,0,0.0,0.0,22.164,2.707,175
12/11/17,3.0,75,8.5199999999999996,,0,0,0,156.359,0,0.0,0.0,14.593,4.111,175
12/11/17,4.0,100,9.8200000000000003,,0,0,0,165.38,0,0.0,0.0,11.577,5.183,175
12/11/17,5.0,125,10.94,,0,0,0,150.693,0,0.0,0.0,8.439,7.11,175
12/11/17,6.0,150,7.7000000000000002,,0,0,0,102.798,0,0.0,0.0,4.797,12.507,175
12/11/17,7.0,175,22.57,5.5899999999999999,0,0,0,106.642,2,0.2857,0.28571,3.831,15.663,175
12/11/17,8.0,200,*,*,*,*,*,*,*,*,*,*,*,175
12/11/17,9.0,225,*,*,*,*,*,*,*,*,*,*,*,175
12/12/17,1.0,25,,,0,0,0,93.052,0,0.0,0.0,26.055,2.303,200
12/12/17,2.0,50,5.1600000000000001,,0,0,0,175.541,0,0.0,0.0,24.576,2.441,200
12/12/17,3.0,75,5.8700000000000001,,0,0,0,162.221,0,0.0,0.0,15.141,3.963,200
12/12/17,4.0,100,6.21,,0,0,0,99.668,0,0.0,0.0,6.977,8.6,200
12/12/17,5.0,125,16.649999999999999,,0,0,0,92.547,0,0.0,0.0,5.183,11.577,200
12/12/17,6.0,150,7.9299999999999997,,0,0,0,90.653,0,0.0,0.0,4.23,14.183,200
12/12/17,7.0,175,6.0199999999999996,4.0499999999999998,1,0,1,83.453,3,0.375,0.42857,3.234,18.553,200
12/12/17,8.0,200,98.049999999999997,,0,0,0,42.372,1,0.125,0.14286,4.708,12.744,200
12/12/17,9.0,225,*,*,*,*,*,*,*,*,*,*,*,200
12/13/17,1.0,25,,,0,0,0,103.95,0,0.0,0.0,16.632,3.608,100
12/13/17,2.0,50,5.3099999999999996,,0,0,0,149.925,0,0.0,0.0,11.994,5.003,100
12/13/17,3.0,75,13.98,,0,0,0,57.013,0,0.0,0.0,3.041,19.732,100
12/13/17,4.0,100,38.0,,0,0,0,152.4,0,0.0,0.0,6.096,9.842,100
12/13/17,5.0,125,*,*,*,*,*,*,*,*,*,*,*,100
12/13/17,6.0,150,*,*,*,*,*,*,*,*,*,*,*,100
12/13/17,7.0,175,*,*,*,*,*,*,*,*,*,*,*,100
12/13/17,8.0,200,*,*,*,*,*,*,*,*,*,*,*,100
12/13/17,9.0,225,*,*,*,*,*,*,*,*,*,*,*,100
12/14/17,1.0,25,,,0,0,0,155.28,0,0.0,0.0,24.845,2.415,125
12/14/17,2.0,50,4.5099999999999998,,0,0,0,194.679,0,0.0,0.0,15.574,3.853,125
12/14/17,3.0,75,11.890000000000001,,0,0,0,167.286,0,0.0,0.0,8.922,6.725,125
12/14/17,4.0,100,16.579999999999998,,0,0,0,60.508,0,0.0,0.0,2.42,24.79,125
12/14/17,5.0,125,6.6500000000000004,,0,0,0,151.261,0,0.0,0.0,67.227,0.892,125
12/14/17,6.0,150,*,*,*,*,*,*,*,*,*,*,*,125
12/14/17,7.0,175,*,*,*,*,*,*,*,*,*,*,*,125
12/14/17,8.0,200,*,*,*,*,*,*,*,*,*,*,*,125
12/14/17,9.0,225,*,*,*,*,*,*,*,*,*,*,*,125
12/15/17,1.0,25,,,0,0,0,77.801,0,0.0,0.0,24.896,2.41,225
12/15/17,2.0,50,5.0499999999999998,,0,0,0,175.336,0,0.0,0.0,28.054,2.139,225
12/15/17,3.0,75,24.719999999999999,,0,0,0,137.112,0,0.0,0.0,14.625,4.103,225
12/15/17,4.0,100,5.6500000000000004,,0,0,0,59.547,0,0.0,0.0,4.764,12.595,225
12/15/17,5.0,125,25.449999999999999,,0,0,0,61.05,0,0.0,0.0,3.907,15.356,225
12/15/17,6.0,150,15.880000000000001,,0,0,0,67.583,0,0.0,0.0,3.604,16.646,225
12/15/17,7.0,175,19.379999999999999,,0,0,0,142.721,0,0.0,0.0,6.524,9.196,225
12/15/17,8.0,200,26.07,,0,0,0,80.841,0,0.0,0.0,3.234,18.555,225
12/15/17,9.0,225,56.789999999999999,,0,0,0,75.395,1,0.1111,0.125,19.457,3.084,225
12/16/17,1.0,25,,2.5499999999999998,1,1,0,139.925,1,0.1667,0.2,27.985,2.144,150
12/16/17,2.0,50,3.9399999999999999,,0,0,0,143.062,0,0.0,0.0,14.306,4.194,150
12/16/17,3.0,75,19.73,,0,0,0,133.412,0,0.0,0.0,8.894,6.746,150
12/16/17,4.0,100,4.9299999999999997,,0,0,0,136.924,0,0.0,0.0,6.846,8.764,150
12/16/17,5.0,125,9.3599999999999994,0.83999999999999997,0,0,0,34.594,1,0.1667,0.2,1.378,43.528,150
12/16/17,6.0,150,,14.57,0,0,0,31.866,1,0.1667,0.2,22.762,2.636,150
12/16/17,7.0,175,*,*,*,*,*,*,*,*,*,*,*,150
12/16/17,8.0,200,*,*,*,*,*,*,*,*,*,*,*,150
12/16/17,9.0,225,*,*,*,*,*,*,*,*,*,*,*,150
12/17/17,1.0,25,,,0,0,0,185.874,0,0.0,0.0,44.61,1.345,175
12/17/17,2.0,50,2.2599999999999998,,0,0,0,203.528,0,0.0,0.0,24.423,2.457,175
12/17/17,3.0,75,3.7799999999999998,,0,0,0,183.225,0,0.0,0.0,14.658,4.093,175
12/17/17,4.0,100,5.9500000000000002,,0,0,0,163.488,0,0.0,0.0,9.809,6.117,175
12/17/17,5.0,125,7.75,2.6899999999999999,0,0,0,143.157,1,0.1429,0.16667,6.536,9.18,175
12/17/17,6.0,150,18.899999999999999,160.19999999999999,0,0,0,137.531,1,0.1429,0.16667,1.595,37.607,175
12/17/17,7.0,175,*,*,*,*,*,*,*,*,*,*,*,175
12/17/17,8.0,200,*,*,*,*,*,*,*,*,*,*,*,175
12/17/17,9.0,225,*,*,*,*,*,*,*,*,*,*,*,175
12/18/17,1.0,25,,,0,0,0,117.555,0,0.0,0.0,28.213,2.127,150
12/18/17,2.0,50,11.59,,0,0,0,208.478,0,0.0,0.0,25.017,2.398,150
12/18/17,3.0,75,12.69,,0,0,0,172.811,0,0.0,0.0,13.825,4.34,150
12/18/17,4.0,100,27.940000000000001,,0,0,0,137.143,0,0.0,0.0,8.229,7.292,150
