date,trial,fr,fr_prp,uo_prp,uo_resps,uo_fr_resps,uo_uo_resps,localrate,timeouts,p_to,p_to_sr,sr_rate,iri,max_fr
12/17/17,5.0,125,58.630000000000003,0.089999999999999997,1,1,0,87.423,1,0.1429,0.16667,4.192,14.313,175
12/17/17,6.0,150,20.190000000000001,,0,0,0,172.712,0,0.0,0.0,6.908,8.685,175
12/17/17,7.0,175,37.270000000000003,,0,0,0,128.378,0,0.0,0.0,40.541,1.48,175
12/17/17,8.0,200,*,*,*,*,*,*,*,*,*,*,*,175
12/17/17,9.0,225,*,*,*,*,*,*,*,*,*,*,*,175
12/17/17,10.0,250,*,*,*,*,*,*,*,*,*,*,*,175
12/18/17,1.0,25,,,0,0,0,59.642,0,0.0,0.0,7.157,8.383,100
12/18/17,2.0,50,11.27,,0,0,0,58.708,0,0.0,0.0,3.523,17.033,100
12/18/17,3.0,75,34.600000000000001,2.8799999999999999,1,1,0,93.129,1,0.25,0.33333,3.516,17.067,100
12/18/17,4.0,100,31.129999999999999,20.715,2,0,2,3.932,3,0.75,1.0,1.101,54.497,100
12/18/17,5.0,125,*,*,*,*,*,*,*,*,*,*,*,100
12/18/17,6.0,150,*,*,*,*,*,*,*,*,*,*,*,100
12/18/17,7.0,175,*,*,*,*,*,*,*,*,*,*,*,100
12/18/17,8.0,200,*,*,*,*,*,*,*,*,*,*,*,100
12/18/17,9.0,225,*,*,*,*,*,*,*,*,*,*,*,100
12/18/17,10.0,250,*,*,*,*,*,*,*,*,*,*,*,100
12/19/17,1.0,25,,,0,0,0,41.118,0,0.0,0.0,13.158,4.56,225
12/19/17,2.0,50,13.31,,0,0,0,91.463,0,0.0,0.0,14.634,4.1,225
12/19/17,3.0,75,45.229999999999997,,0,0,0,59.024,0,0.0,0.0,6.296,9.53,225
12/19/17,4.0,100,55.390000000000001,4.0899999999999999,2,1,1,61.312,2,0.2222,0.25,4.708,12.744,225
12/19/17,5.0,125,209.21000000000001,,0,0,0,98.853,0,0.0,0.0,6.327,9.484,225
12/19/17,6.0,150,47.149999999999999,47.933333333333337,6,1,5,27.509,4,0.4444,0.5,1.019,58.87,225
12/19/17,7.0,175,22.41,,0,0,0,185.512,0,0.0,0.0,8.481,7.075,225
12/19/17,8.0,200,1.5700000000000001,,0,0,0,126.302,0,0.0,0.0,5.052,11.876,225
12/19/17,9.0,225,37.469999999999999,,0,0,0,30.445,0,0.0,0.0,4.776,12.564,225
12/19/17,10.0,250,*,*,*,*,*,*,*,*,*,*,*,225
12/20/17,1.0,25,,,0,0,0,77.479,0,0.0,0.0,15.496,3.872,150
12/20/17,2.0,50,19.170000000000002,,0,0,0,102.076,0,0.0,0.0,10.208,5.878,150
12/20/17,3.0,75,52.329999999999998,,0,0,0,102.18,0,0.0,0.0,6.812,8.808,150
12/20/17,4.0,100,35.979999999999997,1.47,1,1,0,102.162,1,0.1667,0.2,4.983,12.04,150
