Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 - LEFT,A2 - RIGHT,A[1] LEFT,A[2] RIGHT
BA1651,BL,3,1,0,0,1,0,0,0,0,0
BA1651,BL,3,1,50,1,2,0,0,0,0,0
BA1651,BL,3,1,51,2,3,0,0,0,0,0
BA1651,BL,3,1,1068,3,5,1,1,0,0,0
BA1651,BL,3,1,1078,5,4,0,0,0,0,0
BA1651,BL,3,1,1115,4,0,0,0,0,1,0
BA1651,BL,3,1,1125,4,5,1,1,0,0,0
BA1651,BL,3,1,1135,5,4,0,0,0,0,0
BA1651,BL,3,1,1188,4,0,0,0,0,1,0
BA1651,BL,3,1,1204,4,5,1,1,0,0,0
BA1651,BL,3,1,1214,5,4,0,0,0,0,0
BA1651,BL,3,1,1225,4,0,0,0,0,1,0
BA1651,BL,3,1,1232,4,5,1,1,0,0,0
BA1651,BL,3,1,1242,5,4,0,0,0,0,0
BA1651,BL,3,1,1279,4,0,0,0,0,1,0
BA1651,BL,3,1,1303,4,5,1,1,0,0,0
BA1651,BL,3,1,1313,5,9,0,0,0,0,0
BA1651,BL,3,1,1323,9,10,0,0,0,0,0
BA1651,BL,3,1,1330,10,0,0,0,0,1,0
BA1651,BL,3,1,1398,10,2,0,0,0,0,0
BA1651,BL,3,1,1399,2,6,0,0,0,0,0
BA1651,BL,3,1,1458,6,0,0,1,0,0,0
BA1651,BL,3,1,1479,6,0,0,0,0,1,0
BA1651,BL,3,1,1489,6,0,0,1,0,0,0
BA1651,BL,3,1,1524,6,0,0,1,0,1,0
BA1651,BL,3,1,1543,6,0,0,0,0,1,0
BA1651,BL,3,1,1593,6,8,2,0,1,0,0
BA1651,BL,3,1,1603,8,7,0,0,0,0,0
BA1651,BL,3,1,1608,7,0,0,0,0,0,1
BA1651,BL,3,1,1611,7,8,2,0,1,0,0
BA1651,BL,3,1,1615,8,0,0,0,0,0,1
BA1651,BL,3,1,1621,8,7,0,0,0,0,0
BA1651,BL,3,1,1630,7,8,2,0,1,0,0
BA1651,BL,3,1,1640,8,7,0,0,0,0,0
BA1651,BL,3,1,1645,7,0,0,0,0,0,1
BA1651,BL,3,1,1655,7,8,2,0,1,0,0
BA1651,BL,3,1,1663,8,0,0,0,0,0,1
BA1651,BL,3,1,1665,8,7,0,0,0,0,0
BA1651,BL,3,1,1688,7,8,2,0,1,0,0
BA1651,BL,3,1,1698,8,7,0,0,0,0,0
BA1651,BL,3,1,1702,7,0,0,0,0,0,1
BA1651,BL,3,1,1704,7,8,2,0,1,0,0
BA1651,BL,3,1,1707,8,0,0,0,0,0,1
BA1651,BL,3,1,1712,8,0,0,0,1,0,0
BA1651,BL,3,1,1714,8,7,0,0,0,0,0
BA1651,BL,3,1,1717,7,0,0,0,0,0,1
BA1651,BL,3,1,1723,7,8,2,0,1,0,0
BA1651,BL,3,1,1733,8,7,0,0,0,0,0
BA1651,BL,3,1,1755,7,0,0,0,0,0,1
BA1651,BL,3,1,1793,7,8,2,0,1,0,0
BA1651,BL,3,1,1803,8,7,0,0,0,0,0
BA1651,BL,3,1,1820,7,0,0,0,0,0,1
BA1651,BL,3,1,1835,7,8,2,0,1,0,0
BA1651,BL,3,1,1845,8,7,0,0,0,0,0
BA1651,BL,3,1,1859,7,0,0,0,0,0,1
BA1651,BL,3,1,1864,7,8,2,0,1,0,0
BA1651,BL,3,1,1874,8,7,0,0,0,0,0
BA1651,BL,3,1,1892,7,0,0,0,0,0,1
BA1651,BL,3,1,1908,7,8,2,0,1,0,0
BA1651,BL,3,1,1909,8,0,0,0,0,0,1
BA1651,BL,3,1,1912,8,0,0,0,1,0,0
BA1651,BL,3,1,1918,8,7,0,0,0,0,0
BA1651,BL,3,1,1932,7,0,0,0,0,0,1
BA1651,BL,3,1,1952,7,8,2,0,1,0,0
BA1651,BL,3,1,1962,8,7,0,0,0,0,0
BA1651,BL,3,1,1972,7,0,0,0,0,0,1
BA1651,BL,3,1,1975,7,8,2,0,1,0,0
BA1651,BL,3,1,1985,8,7,0,0,0,0,0
BA1651,BL,3,1,2009,7,0,0,0,0,0,1
BA1651,BL,3,1,2021,7,8,2,0,1,0,0
BA1651,BL,3,1,2031,8,7,0,0,0,0,0
BA1651,BL,3,1,2035,7,0,0,0,0,0,1
BA1651,BL,3,1,2048,7,8,2,0,1,0,0
BA1651,BL,3,1,2055,8,0,0,0,0,0,1
BA1651,BL,3,1,2058,8,7,0,0,0,0,0
BA1651,BL,3,1,2066,7,8,2,0,1,0,0
BA1651,BL,3,1,2068,8,0,0,0,0,0,1
BA1651,BL,3,1,2070,8,0,0,0,1,0,0
BA1651,BL,3,1,2076,8,7,0,0,0,0,0
BA1651,BL,3,1,2078,7,0,0,0,0,0,1
BA1651,BL,3,1,2079,7,8,2,0,1,0,0
BA1651,BL,3,1,2089,8,7,0,0,0,0,0
BA1651,BL,3,1,2102,7,0,0,0,0,0,1
BA1651,BL,3,1,2108,7,8,2,0,1,0,0
BA1651,BL,3,1,2115,8,0,0,0,0,0,1
BA1651,BL,3,1,2118,8,7,0,0,0,0,0
BA1651,BL,3,1,2140,7,8,2,0,1,0,0
BA1651,BL,3,1,2150,8,7,0,0,0,0,0
BA1651,BL,3,1,2177,7,0,0,0,0,0,1
BA1651,BL,3,1,2189,7,8,2,0,1,0,0
BA1651,BL,3,1,2199,8,9,0,0,0,0,0
BA1651,BL,3,1,2204,9,0,0,0,0,0,1
BA1651,BL,3,1,2209,9,10,0,0,0,0,0
BA1651,BL,3,1,2284,10,2,0,0,0,0,0
BA1651,BL,3,1,2285,2,6,0,0,0,0,0
BA1651,BL,3,1,2288,6,8,2,0,1,0,0
BA1651,BL,3,1,2298,8,7,0,0,0,0,1
BA1651,BL,3,1,2300,7,8,2,0,1,0,0
BA1651,BL,3,1,2310,8,7,0,0,0,0,0
BA1651,BL,3,1,2324,7,0,0,0,0,0,1
BA1651,BL,3,1,2332,7,8,2,0,1,0,0
BA1651,BL,3,1,2340,8,0,0,0,0,0,1
BA1651,BL,3,1,2342,8,7,0,0,0,0,0
BA1651,BL,3,1,2354,7,8,2,0,1,0,0
BA1651,BL,3,1,2355,8,0,0,0,0,0,1
BA1651,BL,3,1,2364,8,7,0,0,0,0,0
BA1651,BL,3,1,2365,7,8,2,0,1,0,0
BA1651,BL,3,1,2371,8,0,0,0,0,0,1
BA1651,BL,3,1,2375,8,7,0,0,0,0,0
BA1651,BL,3,1,2384,7,8,2,0,1,0,0
BA1651,BL,3,1,2394,8,7,0,0,0,0,0
BA1651,BL,3,1,2432,7,0,0,0,0,0,1
BA1651,BL,3,1,2433,7,8,2,0,1,0,0
BA1651,BL,3,1,2443,8,7,0,0,0,0,0
BA1651,BL,3,1,2454,7,0,0,0,0,0,1
BA1651,BL,3,1,2461,7,8,2,0,1,0,0
BA1651,BL,3,1,2468,8,0,0,0,0,0,1
BA1651,BL,3,1,2471,8,7,0,0,0,0,0
BA1651,BL,3,1,2479,7,8,2,0,1,0,0
BA1651,BL,3,1,2489,8,7,0,0,0,0,0
BA1651,BL,3,1,2495,7,0,0,0,0,0,1
BA1651,BL,3,1,2525,7,8,2,0,1,0,0
BA1651,BL,3,1,2535,8,7,0,0,0,0,0
BA1651,BL,3,1,2566,7,0,0,0,0,0,1
BA1651,BL,3,1,2575,7,8,2,0,1,0,0
BA1651,BL,3,1,2585,8,7,0,0,0,0,0
BA1651,BL,3,1,2591,7,0,0,0,0,0,1
BA1651,BL,3,1,2594,7,8,2,0,1,0,0
BA1651,BL,3,1,2604,8,7,0,0,0,0,0
BA1651,BL,3,1,2637,7,0,0,0,0,0,1
BA1651,BL,3,1,2668,7,8,2,0,1,0,0
BA1651,BL,3,1,2678,8,7,0,0,0,0,0
BA1651,BL,3,1,2692,7,0,0,0,0,0,1
BA1651,BL,3,1,2701,7,8,2,0,1,0,0
