Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 - LEFT,A2 - RIGHT,A[1] LEFT,A[2] RIGHT
BA1650,BL,3,1,0,0,1,0,0,0,0,0
BA1650,BL,3,1,50,1,2,0,0,0,0,0
BA1650,BL,3,1,51,2,3,0,0,0,0,0
BA1650,BL,3,1,538,3,5,1,1,0,0,0
BA1650,BL,3,1,548,5,4,0,0,0,0,0
BA1650,BL,3,1,570,4,0,0,0,0,1,0
BA1650,BL,3,1,610,4,5,1,1,0,0,0
BA1650,BL,3,1,620,5,4,0,0,0,0,0
BA1650,BL,3,1,633,4,0,0,0,0,1,0
BA1650,BL,3,1,696,4,5,1,1,0,0,0
BA1650,BL,3,1,706,5,4,0,0,0,0,0
BA1650,BL,3,1,715,4,0,0,0,0,1,0
BA1650,BL,3,1,724,4,5,1,1,0,0,0
BA1650,BL,3,1,726,5,0,0,0,0,1,0
BA1650,BL,3,1,733,5,0,0,1,0,0,0
BA1650,BL,3,1,734,5,4,0,0,0,0,0
BA1650,BL,3,1,747,4,0,0,0,0,1,0
BA1650,BL,3,1,755,4,5,1,1,0,0,0
BA1650,BL,3,1,761,5,0,0,0,0,1,0
BA1650,BL,3,1,764,5,0,0,1,0,0,0
BA1650,BL,3,1,765,5,9,0,0,0,0,0
BA1650,BL,3,1,775,9,10,0,0,0,0,0
BA1650,BL,3,1,778,10,0,0,0,0,1,0
BA1650,BL,3,1,850,10,2,0,0,0,0,0
BA1650,BL,3,1,851,2,6,0,0,0,0,0
BA1650,BL,3,1,1235,6,8,2,0,1,0,0
BA1650,BL,3,1,1238,8,0,0,0,0,0,1
BA1650,BL,3,1,1245,8,7,0,0,0,0,0
BA1650,BL,3,1,1263,7,8,2,0,1,0,0
BA1650,BL,3,1,1273,8,7,0,0,0,0,0
BA1650,BL,3,1,1275,7,0,0,0,0,0,1
BA1650,BL,3,1,1362,7,8,2,0,1,0,0
BA1650,BL,3,1,1372,8,7,0,0,0,0,0
BA1650,BL,3,1,1385,7,0,0,0,0,0,1
BA1650,BL,3,1,1390,7,8,2,0,1,0,0
BA1650,BL,3,1,1400,8,7,0,0,0,0,0
BA1650,BL,3,1,1406,7,0,0,0,0,0,1
BA1650,BL,3,1,1408,7,8,2,0,1,0,0
BA1650,BL,3,1,1418,8,7,0,0,0,0,0
BA1650,BL,3,1,1424,7,0,0,0,0,0,1
BA1650,BL,3,1,1439,7,8,2,0,1,0,0
BA1650,BL,3,1,1445,8,0,0,0,0,0,1
BA1650,BL,3,1,1449,8,7,0,0,0,0,0
BA1650,BL,3,1,1455,7,8,2,0,1,0,0
BA1650,BL,3,1,1458,8,0,0,0,0,0,1
BA1650,BL,3,1,1462,8,0,0,0,1,0,0
BA1650,BL,3,1,1465,8,7,0,0,0,0,0
BA1650,BL,3,1,1477,7,0,0,0,0,0,1
BA1650,BL,3,1,1503,7,8,2,0,1,0,0
BA1650,BL,3,1,1513,8,7,0,0,0,0,0
BA1650,BL,3,1,1531,7,0,0,0,0,0,1
BA1650,BL,3,1,1534,7,8,2,0,1,0,0
BA1650,BL,3,1,1544,8,7,0,0,0,0,0
BA1650,BL,3,1,1552,7,0,0,0,0,0,1
