Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 - LEFT,A2 - RIGHT,A[1] LEFT,A[2] RIGHT
BA1652,BL,4,1,0,0,1,0,0,0,0,0
BA1652,BL,4,1,50,1,2,0,0,0,0,0
BA1652,BL,4,1,51,2,3,0,0,0,0,0
BA1652,BL,4,1,255,3,5,1,1,0,0,0
BA1652,BL,4,1,258,5,0,0,0,0,1,0
BA1652,BL,4,1,265,5,4,0,0,0,0,0
BA1652,BL,4,1,277,4,5,1,1,0,0,0
BA1652,BL,4,1,280,5,0,0,0,0,1,0
BA1652,BL,4,1,283,5,0,0,1,0,0,0
BA1652,BL,4,1,286,5,0,0,0,0,1,0
BA1652,BL,4,1,287,5,4,0,0,0,0,0
BA1652,BL,4,1,318,4,5,1,1,0,0,0
BA1652,BL,4,1,328,5,4,0,0,0,0,0
BA1652,BL,4,1,333,4,0,0,0,0,1,0
BA1652,BL,4,1,348,4,5,1,1,0,0,0
BA1652,BL,4,1,358,5,4,0,0,0,0,0
BA1652,BL,4,1,371,4,0,0,0,0,1,0
BA1652,BL,4,1,377,4,5,1,1,0,0,0
BA1652,BL,4,1,387,5,9,0,0,0,0,0
BA1652,BL,4,1,396,9,0,0,0,0,1,0
BA1652,BL,4,1,397,9,10,0,0,0,0,0
BA1652,BL,4,1,472,10,2,0,0,0,0,0
BA1652,BL,4,1,473,2,6,0,0,0,0,0
BA1652,BL,4,1,571,6,8,2,0,1,0,0
BA1652,BL,4,1,579,8,0,0,0,0,0,1
BA1652,BL,4,1,581,8,7,0,0,0,0,0
BA1652,BL,4,1,621,7,8,2,0,1,0,0
BA1652,BL,4,1,631,8,7,0,0,0,0,0
BA1652,BL,4,1,635,7,0,0,0,0,0,1
BA1652,BL,4,1,785,7,0,0,1,0,0,0
BA1652,BL,4,1,788,7,0,0,0,0,1,0
BA1652,BL,4,1,833,7,0,0,1,0,0,0
BA1652,BL,4,1,852,7,0,0,0,0,1,0
BA1652,BL,4,1,856,7,0,0,1,0,0,0
BA1652,BL,4,1,860,7,0,0,0,0,1,0
BA1652,BL,4,1,863,7,0,0,1,0,0,0
BA1652,BL,4,1,886,7,0,0,0,0,1,0
BA1652,BL,4,1,909,7,0,0,1,0,0,0
BA1652,BL,4,1,980,7,0,0,0,0,1,0
BA1652,BL,4,1,1025,7,8,2,0,1,0,0
BA1652,BL,4,1,1035,8,7,0,0,0,0,0
BA1652,BL,4,1,1040,7,0,0,0,0,0,1
BA1652,BL,4,1,1050,7,8,2,0,1,0,0
BA1652,BL,4,1,1060,8,7,0,0,0,0,0
BA1652,BL,4,1,1078,7,0,0,0,0,0,1
BA1652,BL,4,1,1138,7,0,0,1,0,0,0
BA1652,BL,4,1,1146,7,0,0,0,0,1,0
BA1652,BL,4,1,1156,7,0,0,1,0,0,0
BA1652,BL,4,1,1227,7,0,0,0,0,1,0
BA1652,BL,4,1,1230,7,0,0,1,0,0,0
