date,subject,ratio,runnum,trial,frpointer,borpointer,bolpointer,time,fr_irt,prp,fr_prp,uo_prp,event
11/12/17,BA1657,25,1,3,15,0,0,41.04,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,3,16,0,0,41.37,0.33,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,3,17,0,0,41.6,0.23,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,3,18,0,0,41.79,0.19,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,3,19,0,0,42.23,0.44,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,3,20,0,0,42.75,0.52,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,3,21,0,0,43.39,0.64,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,3,22,0,0,43.77,0.38,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,3,23,0,0,44.05,0.28,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,3,24,0,0,44.34,0.29,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,3,25,0,0,44.48,0.14,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,0,-1,0,0,44.49,0.0,0.0,0.0,0.0,200
11/12/17,BA1657,25,1,0,0,0,0,46.54,2.05,0.0,0.0,0.0,300
11/12/17,BA1657,25,1,4,1,0,0,48.4,1.86,0.19,0.19,0.0,120
11/12/17,BA1657,25,1,4,2,0,0,48.61,0.21,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,3,0,0,49.14,0.53,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,4,0,0,49.52,0.38,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,5,0,0,49.84,0.32,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,6,0,0,50.28,0.44,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,7,0,0,50.77,0.49,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,8,0,0,51.36,0.59,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,9,0,0,51.71,0.35,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,10,0,0,51.92,0.21,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,11,0,0,52.12,0.2,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,12,0,0,52.31,0.19,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,13,0,0,52.57,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,14,0,0,53.03,0.46,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,15,0,0,53.38,0.35,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,16,0,0,53.58,0.2,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,17,0,0,53.79,0.21,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,18,0,0,54.21,0.42,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,19,0,0,54.46,0.25,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,20,0,0,54.7,0.24,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,21,0,0,54.97,0.27,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,22,0,0,55.23,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,23,0,0,55.45,0.22,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,24,0,0,55.93,0.48,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,4,25,0,0,56.06,0.13,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,0,-1,0,0,56.07,0.0,0.0,0.0,0.0,200
11/12/17,BA1657,25,1,0,0,0,0,58.12,2.05,0.0,0.0,0.0,300
11/12/17,BA1657,25,1,5,1,0,0,59.49,1.37,0.68,0.68,0.0,120
11/12/17,BA1657,25,1,5,2,0,0,59.78,0.29,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,3,0,0,60.11,0.33,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,4,0,0,60.33,0.22,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,5,0,0,61.06,0.73,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,6,0,0,61.3,0.24,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,7,0,0,61.56,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,8,0,0,61.81,0.25,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,9,0,0,62.61,0.8,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,10,0,0,62.84,0.23,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,11,0,0,63.13,0.29,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,12,0,0,63.53,0.4,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,13,0,0,63.87,0.34,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,14,0,0,64.34,0.47,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,15,0,0,65.18,0.84,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,16,0,0,65.54,0.36,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,17,0,0,65.8,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,18,0,0,65.98,0.18,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,19,0,0,66.14,0.16,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,20,0,0,66.2,0.06,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,21,0,0,67.34,1.14,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,22,0,0,67.79,0.45,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,23,0,0,68.21,0.42,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,24,0,0,68.56,0.35,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,5,25,0,0,68.91,0.35,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,0,-1,0,0,68.92,0.0,0.0,0.0,0.0,200
11/12/17,BA1657,25,1,0,0,0,0,70.97,2.05,0.0,0.0,0.0,300
11/12/17,BA1657,25,1,6,1,0,0,72.95,1.98,0.07,0.07,0.0,120
11/12/17,BA1657,25,1,6,2,0,0,73.69,0.74,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,3,0,0,73.97,0.28,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,4,0,0,74.91,0.94,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,5,0,0,75.19,0.28,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,6,0,0,75.48,0.29,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,7,0,0,75.67,0.19,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,8,0,0,75.9,0.23,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,9,0,0,76.11,0.21,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,10,0,0,76.19,0.08,0.0,0.0,0.0,120
