Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGHT	A3 - 	A4 - 	A[1] LEFT	A[2] RIGHT	A[3] 	A[4] 
A	BL	2	83	9	1	BA1653	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	51	2	6	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1176	6	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1186	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1200	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1247	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1257	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1270	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1281	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1285	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1291	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1355	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1361	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1363	8	0	0	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1365	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1369	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1372	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1375	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1380	8	0	0	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1382	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1384	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1430	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1440	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1452	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1459	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1460	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1469	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1471	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1477	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1481	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1518	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1528	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1539	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1586	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1596	8	9	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1604	9	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1606	9	10	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1681	10	2	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1682	2	6	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1733	6	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1738	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1743	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1752	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1753	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1756	8	0	0	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1762	8	7	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1773	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1776	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1779	8	0	0	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1783	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1791	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1792	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1797	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1801	8	0	0	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1802	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1805	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1806	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1816	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1818	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1829	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1835	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	1837	8	0	0	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1839	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	1919	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	2216	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	2226	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	2234	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	2235	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	2237	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	83	9	1	BA1653	2245	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	2255	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	83	9	1	BA1653	2258	8	0	0	0	0	0	0	0	1	0	0
