Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGHT	A3 - 	A4 - 	A[1] LEFT	A[2] RIGHT	A[3] 	A[4] 
A	BL	2	79	1	1	BA1652	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	51	2	6	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	295	6	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	305	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	338	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	377	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	387	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	392	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	403	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	407	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	413	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	418	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	428	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	435	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	445	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	455	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	480	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	484	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	489	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	494	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	629	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	635	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	639	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	641	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	643	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	651	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	652	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	662	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	721	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	755	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	765	8	9	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	766	9	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	767	9	0	0	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	775	9	10	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	776	10	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	779	10	0	0	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	787	10	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	850	10	2	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	851	2	6	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	916	6	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	926	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	934	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	940	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	946	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	949	8	0	0	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	950	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	965	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	990	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	992	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	1000	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	1016	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	1026	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	1035	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	1043	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	1053	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	1096	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	1123	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	1132	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	79	1	1	BA1652	1133	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	1171	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	79	1	1	BA1652	1180	8	0	0	0	0	0	0	0	1	0	0
