Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	BL	1	68	9	1	BA1651	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	51	2	3	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	145	3	5	1	1	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	155	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	163	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	68	9	1	BA1651	342	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	352	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	389	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	68	9	1	BA1651	396	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	406	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	439	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	68	9	1	BA1651	445	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	455	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	512	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	68	9	1	BA1651	516	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	526	5	9	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	536	9	10	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	609	10	0	0	0	0	0	0	1	0	0	0
A	BL	1	68	9	1	BA1651	611	10	2	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	612	2	6	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	858	6	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	862	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	868	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	939	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	940	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	945	8	0	0	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	947	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	949	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	983	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	985	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	987	8	0	0	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	993	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1021	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	1034	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1036	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	1038	8	0	0	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1042	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	1044	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1056	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1066	8	9	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1067	9	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	1076	9	10	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1151	10	2	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1152	2	6	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1195	6	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1205	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1214	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	1218	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1224	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	1228	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1243	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1253	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1266	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	1278	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1288	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1293	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	1298	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1308	8	9	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1318	9	10	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1327	10	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	1393	10	2	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1394	2	6	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1490	6	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1500	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1530	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	1533	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1543	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1550	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	1557	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1563	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	1564	8	0	0	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1567	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1578	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	68	9	1	BA1651	1610	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1620	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	68	9	1	BA1651	1660	7	0	0	0	0	0	0	0	1	0	0
