Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGHT	A3 - 	A4 - 	A[1] LEFT	A[2] RIGHT	A[3] 	A[4] 
A	AG	4	87	1	1	BA1652	0	0	1	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	50	1	2	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	51	2	3	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	279	3	5	1	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	289	5	4	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	315	4	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	371	4	5	1	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	381	5	4	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	397	4	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	426	4	5	1	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	432	5	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	436	5	4	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	447	4	5	1	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	457	5	4	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	469	4	5	1	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	479	5	9	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	482	9	0	0	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	485	9	0	0	1	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	489	9	10	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	492	10	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	493	10	0	0	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	495	10	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	564	10	2	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	565	2	6	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	594	6	0	0	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	604	6	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	633	6	8	2	0	1	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	635	8	0	0	0	0	0	0	0	1	0	0
A	AG	4	87	1	1	BA1652	643	8	7	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	784	7	0	0	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	786	7	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	788	7	0	0	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	791	7	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	794	7	0	0	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	798	7	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	803	7	0	0	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	810	7	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	823	7	0	0	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	841	7	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	874	7	0	0	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	892	7	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	957	7	8	2	0	1	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	962	8	0	0	0	0	0	0	0	1	0	0
A	AG	4	87	1	1	BA1652	966	8	0	0	0	1	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	967	8	7	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	970	7	0	0	0	0	0	0	0	1	0	0
A	AG	4	87	1	1	BA1652	1001	7	8	2	0	1	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1011	8	7	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1049	7	0	0	0	0	0	0	0	1	0	0
A	AG	4	87	1	1	BA1652	1052	7	8	2	0	1	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1058	8	0	0	0	0	0	0	0	1	0	0
A	AG	4	87	1	1	BA1652	1062	8	7	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1116	7	8	2	0	1	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1119	8	0	0	0	0	0	0	0	1	0	0
A	AG	4	87	1	1	BA1652	1120	8	0	0	0	1	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1126	8	7	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1161	7	0	0	0	0	0	0	0	1	0	0
A	AG	4	87	1	1	BA1652	1298	7	0	0	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1331	7	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	1356	7	0	0	1	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1376	7	0	0	0	0	0	0	1	0	0	0
A	AG	4	87	1	1	BA1652	1607	7	8	2	0	1	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1617	8	7	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1666	7	0	0	0	0	0	0	0	1	0	0
A	AG	4	87	1	1	BA1652	1681	7	8	2	0	1	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1687	8	0	0	0	0	0	0	0	1	0	0
A	AG	4	87	1	1	BA1652	1691	8	7	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1734	7	8	2	0	1	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1744	8	7	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1769	7	0	0	0	0	0	0	0	1	0	0
A	AG	4	87	1	1	BA1652	1798	7	8	2	0	1	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1808	8	7	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1824	7	0	0	0	0	0	0	0	1	0	0
A	AG	4	87	1	1	BA1652	1868	7	8	2	0	1	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1878	8	7	0	0	0	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1913	7	0	0	0	0	0	0	0	1	0	0
A	AG	4	87	1	1	BA1652	1917	7	8	2	0	1	0	0	0	0	0	0
A	AG	4	87	1	1	BA1652	1927	8	7	0	0	0	0	0	0	0	0	0
