Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	BL	1	80	9	2	BA1651	1948	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	1982	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2011	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2021	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2067	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2101	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2111	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2144	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2150	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2160	8	7	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2169	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2179	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2182	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2224	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2234	8	9	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2244	9	10	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2246	10	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2319	10	2	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2320	2	6	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2575	6	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2585	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2612	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2617	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2623	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2627	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2633	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2643	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2677	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2682	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2692	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2707	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2713	7	8	2	0	1	0	0	0	0	0	0
