Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGHT	A3 - 	A4 - 	A[1] LEFT	A[2] RIGHT	A[3] 	A[4] 
A	BL	3	88	9	1	BA1651	1381	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1391	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1399	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1446	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1456	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1496	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1499	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1509	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1512	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1519	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1529	8	9	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1538	9	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1539	9	10	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1546	10	0	0	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1558	10	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1614	10	2	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1615	2	6	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1648	6	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1658	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1678	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1757	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1767	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1778	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1781	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1791	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1797	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1808	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1810	8	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1816	8	0	0	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1818	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1833	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1836	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1846	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1886	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1888	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1898	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1906	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1908	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1916	8	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1918	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1930	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1940	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1943	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1949	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1955	8	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1959	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1961	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1962	8	0	0	0	1	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1971	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1981	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1987	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	1992	8	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	1997	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2010	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2020	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2060	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	2063	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2073	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2085	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	2098	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2108	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2130	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	2148	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2158	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2177	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	2204	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2214	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2216	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	2230	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2240	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2247	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	2256	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2266	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2290	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	2382	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2391	8	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	2392	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2403	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2406	8	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	2413	8	9	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2423	9	10	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2498	10	2	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2499	2	6	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2514	6	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2524	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2558	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	2651	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2661	8	7	0	0	0	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2666	7	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	2672	7	8	2	0	1	0	0	0	0	0	0
A	BL	3	88	9	1	BA1651	2677	8	0	0	0	0	0	0	0	1	0	0
A	BL	3	88	9	1	BA1651	2678	8	0	0	0	1	0	0	0	0	0	0
