Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGHT	A3 - 	A4 - 	A[1] LEFT	A[2] RIGHT	A[3] 	A[4] 
A	BL	2	81	9	1	BA1653	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	51	2	6	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	360	6	8	2	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	370	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	392	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	503	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	513	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	538	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	586	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	596	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	610	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	657	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	667	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	690	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	734	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	744	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	766	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	769	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	771	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	775	8	0	0	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	779	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	795	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	981	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	991	8	7	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	1033	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1043	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1062	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	1066	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1076	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1099	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	1105	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1113	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	1115	8	9	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1125	9	10	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1200	10	2	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1201	2	6	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1368	6	8	2	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1375	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	1378	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1380	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1382	8	0	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	1387	8	0	0	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1390	8	7	0	0	0	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1391	7	0	0	0	0	0	0	0	1	0	0
A	BL	2	81	9	1	BA1653	1397	7	8	2	0	1	0	0	0	0	0	0
A	BL	2	81	9	1	BA1653	1407	8	7	0	0	0	0	0	0	0	0	0
