date,fr,runnum,pellets,fr_irt,uor_irt,uol_irt,fr_resps,uo_resps,resps,r_SR,fr_rate,uo_total,prp,fr_prp,uo_prp,fr_total_Rate
09/30/17,25,1,75,0.665,0.0,96.754,1875,23,1898,25.307,93.956,3,6.308,6.442,3.147,67.918
10/01/17,25,2,75,0.738,0.0,0.0,1875,2,1877,25.027,84.656,2,7.175,7.139,8.49,60.488
10/02/17,25,3,75,0.597,0.0,0.0,1875,0,1875,25.0,104.652,0,3.553,3.553,,83.933
10/03/17,25,4,75,0.64,0.0,0.0,1875,0,1875,25.0,97.614,0,2.45,2.45,,84.28
10/04/17,25,5,75,0.606,0.0,0.0,1875,0,1875,25.0,103.081,0,1.383,1.383,,94.229
10/05/17,25,6,75,0.475,0.0,0.0,1875,1,1876,25.013,131.482,1,1.209,1.145,5.95,119.547
10/06/17,25,7,75,0.568,0.0,0.0,1875,0,1875,25.0,109.979,0,1.638,1.638,,98.25
10/07/17,25,8,75,0.422,0.0,0.0,1875,0,1875,25.0,147.941,0,1.306,1.306,,131.254
10/08/17,25,9,75,0.499,0.0,0.0,1875,0,1875,25.0,125.245,0,1.388,1.388,,112.219
10/09/17,25,10,75,0.474,0.0,0.0,1875,0,1875,25.0,131.753,0,1.662,1.662,,115.163
10/10/17,25,11,75,0.406,0.0,0.0,1875,0,1875,25.0,153.846,0,1.376,1.376,,134.921
10/11/17,50,12,75,0.438,0.0,0.0,3750,0,3750,50.0,139.634,0,2.716,2.716,,124.14
10/12/17,50,13,75,0.517,0.0,0.0,3750,0,3750,50.0,118.51,0,2.049,2.049,,109.677
10/13/17,50,14,75,0.541,0.0,0.0,3750,2,3752,50.027,113.152,1,3.874,3.853,5.42,99.129
10/14/17,50,15,75,0.705,0.0,0.0,3750,0,3750,50.0,86.79,0,3.588,3.588,,78.718
10/15/17,50,16,75,0.498,0.0,0.0,3750,0,3750,50.0,122.933,0,3.169,3.169,,108.866
10/16/17,50,17,75,0.617,0.0,0.0,3750,0,3750,50.0,99.264,0,3.683,3.683,,88.505
10/17/17,50,18,75,0.558,0.0,0.0,3750,0,3750,50.0,109.79,0,2.323,2.323,,99.582
10/18/17,75,19,75,0.673,0.0,0.0,5625,0,5625,75.0,90.384,0,7.336,7.336,,78.897
10/19/17,75,20,70,0.801,0.0,0.0,5273,1,5274,75.343,75.968,1,12.441,12.323,20.73,62.933
10/21/17,75,21,75,0.726,0.0,0.0,5625,0,5625,75.0,83.802,0,9.16,9.16,,70.543
10/22/17,75,22,75,0.688,0.0,0.0,5625,0,5625,75.0,88.368,0,11.311,11.311,,71.512
10/23/17,75,23,75,0.66,0.0,0.0,5625,0,5625,75.0,92.126,0,8.719,8.719,,77.556
10/24/17,75,24,75,0.618,0.0,0.0,5625,1,5626,75.013,98.337,1,7.4,7.41,6.65,84.79
10/25/17,75,25,75,0.72,0.0,0.0,5625,0,5625,75.0,84.478,0,9.322,9.322,,70.229
10/26/17,75,26,75,0.632,0.0,0.0,5625,0,5625,75.0,96.191,0,7.0,7.0,,81.585
10/27/17,100,27,57,0.651,0.0,0.0,5702,0,5702,100.035,93.088,0,23.088,23.088,,68.47
10/28/17,100,28,49,0.637,0.0,0.0,4900,1,4901,100.02,95.178,1,16.894,16.344,43.3,75.901
10/29/17,100,29,50,0.71,0.0,0.0,5004,0,5004,100.08,85.371,0,30.237,30.237,,57.825
10/30/17,100,30,61,0.6,0.0,0.0,6162,4,6166,101.082,101.072,3,18.709,18.559,21.643,77.108
10/31/17,100,31,42,0.578,321.06,176.534,4201,24,4225,100.595,104.903,13,44.278,5.545,283.128,96.651
11/01/17,100,32,43,0.649,0.0,0.0,4313,13,4326,100.605,93.376,12,15.493,8.385,53.06,82.537
11/02/17,100,33,32,0.604,2.82,0.0,3202,9,3211,100.344,100.422,7,54.066,57.71,26.737,52.569
11/03/17,150,34,23,0.649,0.0,0.0,3524,10,3534,153.652,93.111,10,104.14,19.051,529.58,79.732
11/04/17,150,35,29,1.02,0.0,0.0,4350,4,4354,150.138,59.222,4,25.809,18.753,73.442,53.119
11/05/17,150,36,28,0.592,0.0,0.0,4202,9,4211,150.393,102.114,8,60.913,66.611,38.12,61.249
11/06/17,150,37,25,0.57,0.0,0.0,3822,1,3823,152.92,105.923,1,64.854,32.181,849.0,78.021
11/07/17,150,38,25,0.639,0.0,0.0,3750,4,3754,150.16,94.507,4,108.322,113.927,67.223,46.014
11/09/17,150,39,20,0.604,7.321,0.0,3000,17,3017,150.85,100.043,8,25.415,25.092,28.49,72.208
11/10/17,150,40,20,0.728,0.0,0.0,3000,7,3007,150.35,83.004,6,39.011,36.31,54.317,63.457
11/11/17,150,41,19,0.662,0.0,0.0,2953,2,2955,155.526,91.237,2,152.611,35.94,1144.31,68.842
