date,fr,runnum,pellets,fr_irt,uor_irt,uol_irt,fr_resps,uo_resps,resps,r_SR,fr_rate,uo_total,prp,fr_prp,uo_prp,fr_total_Rate
9/30/17,25,1,75,0.744,0,19.789,1875,103,1978,26.373,84.024,8,2.619,2.264,5.589,75.431
10/1/17,25,2,75,0.661,0,28.88,1875,52,1927,25.693,94.621,2,3.059,3.106,1.345,79.458
10/2/17,25,3,75,0.635,0,0,1875,3,1878,25.04,98.392,1,2.408,2.331,8.07,85.482
10/3/17,25,4,75,0.568,0,0,1875,0,1875,25,110.097,0,2.512,2.512,,93.135
10/4/17,25,5,75,0.562,0,0,1875,3,1878,25.04,111.217,2,1.584,1.583,1.605,99.631
10/5/17,25,6,75,0.532,0,0,1875,0,1875,25,117.581,0,1.711,1.711,,103.791
10/6/17,25,7,75,0.459,0,0,1875,0,1875,25,136.09,0,1.426,1.426,,120.627
10/7/17,25,8,75,0.429,0,0,1875,0,1875,25,145.801,0,1.462,1.462,,127.777
10/8/17,25,9,75,0.444,0,0,1875,0,1875,25,140.923,0,1.626,1.626,,122.416
10/9/17,25,10,75,0.441,0,0,1875,0,1875,25,141.822,0,2.234,2.234,,117.24
10/10/17,25,11,75,0.484,0,0,1875,0,1875,25,129.048,0,1.413,1.413,,115.09
10/11/17,50,12,75,0.559,0,0,3750,2,3752,50.027,109.489,1,2.466,2.423,5.64,100.652
10/12/17,50,13,75,0.462,0,0,3750,0,3750,50,132.404,0,2.893,2.893,,117.567
10/13/17,50,14,75,0.49,0,0,3750,0,3750,50,124.971,0,2.06,2.06,,115.049
10/14/17,50,15,75,0.411,0,0,3750,0,3750,50,148.917,0,2.736,2.736,,131.281
10/15/17,50,16,75,0.454,0,0,3750,0,3750,50,134.838,0,1.959,1.959,,124.048
10/16/17,50,17,75,0.412,0,0,3750,0,3750,50,148.479,0,2.112,2.112,,134.435
10/17/17,50,18,75,0.45,0,0,3750,0,3750,50,136.01,0,2.819,2.819,,120.517
10/18/17,75,19,75,0.476,0,0,5625,0,5625,75,127.684,0,4.022,4.022,,114.686
10/19/17,75,20,75,0.564,0,0,5625,0,5625,75,107.849,0,6.443,6.443,,93.503
10/21/17,75,21,75,0.537,0,0,5625,2,5627,75.027,113.196,1,10.183,10.255,4.87,90.215
10/22/17,75,22,75,0.481,0,0,5625,3,5628,75.04,126.516,3,6.978,7.177,2.05,105.505
10/23/17,75,23,75,0.429,0,0,5625,0,5625,75,141.654,0,6.748,6.748,,116.857
10/24/17,75,24,75,0.502,0,0,5625,0,5625,75,121.179,0,7.505,7.505,,100.574
10/25/17,75,25,75,0.481,0,0,5625,0,5625,75,126.428,0,6.643,6.643,,106.717
10/26/17,75,26,75,0.49,0,0,5625,0,5625,75,124.17,0,6.324,6.324,,105.623
10/27/17,100,27,75,0.522,0,0,7500,0,7500,100,116.075,0,7.441,7.441,,101.622
10/28/17,100,28,75,0.491,0,0,7500,2,7502,100.027,123.374,1,12.769,12.799,10.53,97.845
10/29/17,100,29,75,0.49,0,0,7500,2,7502,100.027,123.561,1,14.564,14.633,9.45,95.055
10/30/17,100,30,75,0.505,0,0,7500,0,7500,100,119.921,0,17.828,17.828,,88.604
10/31/17,100,31,74,0.529,0,0.543,7432,10,7442,100.568,114.665,3,15.421,15.732,7.857,88.469
11/1/17,100,32,75,0.478,0,0.39,7500,3,7503,100.04,126.747,1,12.855,12.97,4.49,100.06
11/2/17,100,33,73,0.519,0,0,7336,1,7337,100.507,116.784,1,17.528,17.712,4.07,86.907
11/3/17,75,34,75,0.464,0,0,5625,0,5625,75,131.065,0,8.607,8.607,,105.034
11/4/17,150,35,42,0.594,0,0,6307,0,6307,150.167,101.783,0,32.62,32.62,,74.075
11/5/17,150,36,37,0.768,0,0,5567,0,5567,150.459,78.617,0,26.878,26.878,,63.677
11/6/17,150,37,11,1.928,0,0,1666,0,1666,151.455,31.34,0,129.932,129.932,,21.64
11/7/17,150,38,22,0.596,0,0,3300,0,3300,150,101.413,0,38.498,38.498,,71.612
11/9/17,150,39,11,1.124,0,0,1650,1,1651,150.091,53.724,1,311.171,338.858,34.3,18.71
11/10/17,150,40,15,1.681,0,0,2250,0,2250,150,35.937,0,100.161,100.161,,26.029
11/11/17,150,41,17,0.772,0,0,2550,1,2551,150.059,78.25,1,147.794,157.072,8.62,35.285
