Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - 	A2 - 	A3 - 	A4 - 	A[1] 	A[2] 	A[3] 	A[4] 
A	ef	19	118	9	2	BA1653	0	0	1	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	50	1	2	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	51	2	6	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3136	6	0	0	1	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3139	6	0	0	0	0	0	0	1	0	0	0
A	ef	19	118	9	2	BA1653	3143	6	0	0	1	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3171	6	0	0	0	0	0	0	1	0	0	0
A	ef	19	118	9	2	BA1653	3194	6	0	0	1	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3218	6	0	0	0	0	0	0	1	0	0	0
A	ef	19	118	9	2	BA1653	3221	6	0	0	1	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3233	6	0	0	0	0	0	0	1	0	0	0
A	ef	19	118	9	2	BA1653	3345	6	0	0	1	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3379	6	0	0	0	0	0	0	1	0	0	0
A	ef	19	118	9	2	BA1653	3400	6	0	0	1	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3438	6	0	0	0	0	0	0	1	0	0	0
A	ef	19	118	9	2	BA1653	3528	6	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3538	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3561	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3562	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3572	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3575	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3579	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3589	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3594	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3596	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3599	8	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3603	8	0	0	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3606	8	7	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3608	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3612	8	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3613	8	0	0	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3618	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3627	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3655	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3662	8	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3665	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3716	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3720	8	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3725	8	0	0	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3726	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3728	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3742	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3746	8	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3750	8	0	0	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3752	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3756	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3760	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3770	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3775	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3777	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3787	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3797	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3799	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3804	8	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3807	8	0	0	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3809	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3814	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3835	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3841	8	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3845	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3854	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3864	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3896	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3897	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3907	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3925	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	3929	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3939	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	3980	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	4046	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	4048	8	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	4052	8	0	0	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	4056	8	7	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	4060	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	4070	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	4090	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	4095	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	4105	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	4134	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	4135	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	4145	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	4169	7	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	4171	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	4172	8	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	4173	8	0	0	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	4178	8	0	0	0	0	0	0	0	1	0	0
A	ef	19	118	9	2	BA1653	4181	8	7	0	0	0	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	4182	7	8	2	0	1	0	0	0	0	0	0
A	ef	19	118	9	2	BA1653	4185	8	0	0	0	0	0	0	0	1	0	0
