Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - 	A2 - 	A3 - 	A4 - 	A[1] 	A[2] 	A[3] 	A[4] 
A	BL	20	106	1	2	BA1652	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	51	2	6	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4265	6	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4275	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4304	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4365	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4369	8	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4370	8	0	0	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4375	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4389	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4456	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4466	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4481	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4523	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4533	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4554	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4561	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4563	8	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4571	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4574	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4580	8	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4584	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4601	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4611	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4615	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4617	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4627	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4629	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4635	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4645	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4662	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4703	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4705	8	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4707	8	0	0	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4713	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4714	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4717	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4727	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4746	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4778	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4788	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4803	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4814	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4824	8	7	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4827	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4837	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4839	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4843	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4853	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4872	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4927	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4937	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4941	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	4945	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4955	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	4969	7	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	5002	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	5010	8	0	0	0	0	0	0	0	1	0	0
A	BL	20	106	1	2	BA1652	5012	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	5014	7	8	2	0	1	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	5024	8	7	0	0	0	0	0	0	0	0	0
A	BL	20	106	1	2	BA1652	5032	7	0	0	0	0	0	0	0	1	0	0
