Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	AG	23	122	9	1	BA1651	0	0	1	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	50	1	2	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	51	2	3	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	267	3	5	1	1	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	277	5	4	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	284	4	0	0	0	0	0	0	1	0	0	0
A	AG	23	122	9	1	BA1651	303	4	5	1	1	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	313	5	4	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	337	4	0	0	0	0	0	0	1	0	0	0
A	AG	23	122	9	1	BA1651	349	4	5	1	1	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	359	5	4	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	394	4	0	0	0	0	0	0	1	0	0	0
A	AG	23	122	9	1	BA1651	415	4	5	1	1	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	425	5	4	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	483	4	0	0	0	0	0	0	1	0	0	0
A	AG	23	122	9	1	BA1651	492	4	5	1	1	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	502	5	9	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	512	9	10	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	552	10	0	0	0	0	0	0	1	0	0	0
A	AG	23	122	9	1	BA1651	587	10	2	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	588	2	6	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	816	6	0	0	1	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	837	6	0	0	0	0	0	0	1	0	0	0
A	AG	23	122	9	1	BA1651	1603	6	8	2	0	1	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1613	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1634	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	122	9	1	BA1651	1653	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1663	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1664	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	122	9	1	BA1651	1668	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1678	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1679	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	122	9	1	BA1651	1733	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1743	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1780	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	122	9	1	BA1651	1783	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1793	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1799	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	122	9	1	BA1651	1805	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1807	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	122	9	1	BA1651	1815	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1816	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1821	8	0	0	0	1	0	0	0	1	0	0
A	AG	23	122	9	1	BA1651	1826	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1832	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	122	9	1	BA1651	1834	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1843	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	122	9	1	BA1651	1844	8	7	0	0	1	0	0	0	0	0	0
A	AG	23	122	9	1	BA1651	1863	7	0	0	0	0	0	0	0	1	0	0
