Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	AG	23	139	1	1	BA1650	2485	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2490	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2491	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2494	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2499	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2509	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2510	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2521	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2524	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2528	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2531	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2534	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2536	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2546	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2550	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2556	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2561	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2565	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2566	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2574	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2626	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2627	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2631	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2636	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2643	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2646	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2655	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2656	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2658	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2665	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2668	8	7	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2673	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2679	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2683	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2689	8	7	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2703	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2706	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2707	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2710	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2713	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2716	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2721	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2724	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2727	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2731	8	7	0	0	0	0	0	0	0	0	0
