Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	BL	28	145	1	1	BA1652	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	51	2	3	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	6761	3	5	1	1	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	6771	5	9	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	6781	9	10	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	6816	10	0	0	0	0	0	0	1	0	0	0
A	BL	28	145	1	1	BA1652	6856	10	2	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	6857	2	6	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	10306	6	8	2	0	1	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	10316	8	9	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	10323	9	0	0	0	0	0	0	0	1	0	0
A	BL	28	145	1	1	BA1652	10326	9	10	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	10401	10	2	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	10402	2	6	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	24386	6	8	2	0	1	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	24394	8	0	0	0	0	0	0	0	1	0	0
A	BL	28	145	1	1	BA1652	24396	8	9	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	24400	9	0	0	0	1	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	24404	9	0	0	0	0	0	0	0	1	0	0
A	BL	28	145	1	1	BA1652	24406	9	10	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	24481	10	2	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	24482	2	6	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	28193	6	8	2	0	1	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	28203	8	9	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	28209	9	0	0	0	0	0	0	0	1	0	0
A	BL	28	145	1	1	BA1652	28213	9	10	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	28288	10	2	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	28289	2	3	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	29772	3	5	1	1	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	29782	5	9	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	29792	9	10	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	29796	10	0	0	0	0	0	0	1	0	0	0
A	BL	28	145	1	1	BA1652	29867	10	2	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	29868	2	3	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	30015	3	5	1	1	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	30025	5	9	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	30035	9	10	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	30043	10	0	0	0	0	0	0	1	0	0	0
A	BL	28	145	1	1	BA1652	30048	10	0	0	1	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	30058	10	0	0	0	0	0	0	1	0	0	0
A	BL	28	145	1	1	BA1652	30110	10	2	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	30111	2	6	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	30139	6	0	0	1	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	30144	6	0	0	0	0	0	0	1	0	0	0
A	BL	28	145	1	1	BA1652	35913	6	8	2	0	1	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	35923	8	9	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	35930	9	0	0	0	0	0	0	0	1	0	0
A	BL	28	145	1	1	BA1652	35933	9	10	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	36008	10	2	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	36009	2	6	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	37467	6	8	2	0	1	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	37477	8	9	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	37483	9	0	0	0	0	0	0	0	1	0	0
A	BL	28	145	1	1	BA1652	37487	9	10	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	37562	10	2	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	37563	2	6	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	38836	6	8	2	0	1	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	38846	8	9	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	38848	9	0	0	0	0	0	0	0	1	0	0
A	BL	28	145	1	1	BA1652	38856	9	10	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	38931	10	2	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	38932	2	3	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	40158	3	5	1	1	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	40168	5	9	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	40173	9	0	0	0	0	0	0	1	0	0	0
A	BL	28	145	1	1	BA1652	40174	9	0	0	1	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	40176	9	0	0	0	0	0	0	1	0	0	0
A	BL	28	145	1	1	BA1652	40178	9	10	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	40253	10	2	0	0	0	0	0	0	0	0	0
A	BL	28	145	1	1	BA1652	40254	2	6	0	0	0	0	0	0	0	0	0
