Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - 	A2 - 	A3 - 	A4 - 	A[1] 	A[2] 	A[3] 	A[4] 
A	AG	19	117	9	1	BA1651	0	0	1	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	50	1	2	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	51	2	6	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	66	6	0	0	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	87	6	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	100	6	0	0	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	132	6	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	135	6	0	0	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	161	6	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	166	6	0	0	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	247	6	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	255	6	0	0	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	297	6	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	320	6	0	0	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	339	6	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	342	6	0	0	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	411	6	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	505	6	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	515	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	518	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	604	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	606	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	614	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	618	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	628	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	629	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	696	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	706	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	747	7	8	2	0	1	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	756	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	757	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	816	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	826	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	832	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	855	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	865	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	889	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	891	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	901	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	911	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	914	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	916	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	924	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1022	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1032	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1069	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1072	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1080	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1082	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1109	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1112	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1119	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1131	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1141	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1179	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1191	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1201	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1219	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1224	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1227	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1230	8	0	0	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1234	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1235	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1236	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1246	8	7	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1248	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1258	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1268	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1269	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1274	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1275	8	0	0	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1279	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1280	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1281	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1291	8	7	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1294	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1304	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1321	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1325	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1332	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1335	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1337	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1345	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1347	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1349	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1359	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1362	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1390	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1400	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1436	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1441	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1443	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1446	8	0	0	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1451	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1469	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1482	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1492	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1500	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1502	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1512	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1515	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1516	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1525	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1526	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1528	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1538	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1552	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1554	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1557	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1558	8	0	0	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1563	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1564	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1568	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1569	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1572	8	0	0	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1575	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1576	8	0	0	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1578	8	7	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1579	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1589	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1597	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1603	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1606	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1608	8	0	0	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1613	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1620	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1625	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1635	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1648	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1654	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1659	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1662	8	0	0	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1664	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1727	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1730	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1739	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1740	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1745	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1748	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1752	8	0	0	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1755	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1779	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1782	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1784	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1792	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1812	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1816	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1818	8	0	0	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1822	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1847	7	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1848	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1858	8	9	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1861	9	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	1868	9	10	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1943	10	2	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	1944	2	3	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2016	3	5	1	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2024	5	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	2026	5	4	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2047	4	5	1	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2054	5	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	2057	5	4	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2072	4	5	1	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2074	5	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	2081	5	0	0	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2082	5	4	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2096	4	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	2123	4	5	1	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2133	5	4	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2140	4	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	2150	4	5	1	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2160	5	9	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2170	9	10	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2174	10	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	2245	10	2	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2246	2	6	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2255	6	0	0	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2278	6	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	2302	6	0	0	1	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	2351	6	0	0	0	0	0	0	1	0	0	0
A	AG	19	117	9	1	BA1651	3052	6	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	3058	8	0	0	0	1	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	3061	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	3062	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	3063	7	8	2	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	3067	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	3069	8	0	0	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	3070	8	0	0	0	0	0	0	0	1	0	0
A	AG	19	117	9	1	BA1651	3071	8	0	0	0	1	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	3073	8	7	0	0	0	0	0	0	0	0	0
A	AG	19	117	9	1	BA1651	3079	7	0	0	0	0	0	0	0	1	0	0
