Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGHT	A3 - 	A4 - 	A[1] LEFT	A[2] RIGHT	A[3] 	A[4] 
A	AG	21	132	1	1	BA1650	0	0	1	0	0	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	50	1	2	0	0	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	51	2	3	0	0	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	699	3	5	1	1	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	705	5	0	0	0	0	0	0	1	0	0	0
A	AG	21	132	1	1	BA1650	709	5	4	0	0	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	752	4	5	1	1	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	760	5	0	0	0	0	0	0	1	0	0	0
A	AG	21	132	1	1	BA1650	762	5	4	0	0	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	763	4	5	1	1	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	770	5	0	0	0	0	0	0	1	0	0	0
A	AG	21	132	1	1	BA1650	773	5	4	0	0	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	789	4	5	1	1	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	794	5	0	0	0	0	0	0	1	0	0	0
A	AG	21	132	1	1	BA1650	798	5	0	0	1	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	799	5	4	0	0	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	805	4	0	0	0	0	0	0	1	0	0	0
A	AG	21	132	1	1	BA1650	836	4	5	1	1	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	846	5	9	0	0	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	856	9	10	0	0	0	0	0	1	0	0	0
A	AG	21	132	1	1	BA1650	931	10	2	0	0	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	932	2	6	0	0	0	0	0	0	0	0	0
A	AG	21	132	1	1	BA1650	1283	6	8	2	0	1	0	0	0	0	0	0
