date,passnum,pell25,pell100,fr_irt25,fr_irt100,fr_runrate25,fr_runrate100,prp25,prp100,propBOfr100,propBOfr25,sr_rate25,sr_rate100,resps25,resps100,uo_total25,uo_total100
12/28/17,0,39,12,0.558,0.561,107.614,106.953,8.724,20.056,0.0,0.0,69.892,21.39,1022,1278,0,0
12/29/17,0,40,11,0.586,0.584,102.376,102.766,7.647,13.919,0.0,0.0,68.259,18.836,1036,1310,0,0
12/30/17,0,37,9,0.542,0.628,110.745,95.527,9.745,14.848,0.03,0.469,68.266,14.331,945,1166,1,2
12/31/17,0,41,11,0.557,0.575,107.679,104.337,7.62,13.666,0.002,0.0,73.609,19.13,1072,1335,1,0
01/01/18,0,40,10,0.584,0.573,102.707,104.732,7.983,19.316,0.011,0.0,68.493,17.452,1032,1240,1,0
01/02/18,0,36,8,0.694,0.7,86.453,85.745,7.369,19.784,0.0,0.0,51.873,11.429,956,1064,0,0
01/04/18,0,43,10,0.545,0.588,110.09,102.099,7.453,17.302,0.0,0.0,78.899,17.007,1117,1240,0,0
01/05/18,0,38,10,0.584,0.598,102.656,100.366,9.546,11.731,0.0,0.0,65.068,16.722,971,1316,0,0
01/06/18,0,31,10,0.524,0.554,114.574,108.351,10.162,16.172,0.03,0.0,59.16,18.051,820,1338,1,0
01/07/18,0,31,9,0.665,0.702,90.25,85.473,8.44,18.866,0.017,0.0,46.617,12.821,852,1072,1,0
01/08/18,0,36,7,0.719,0.777,83.454,77.178,6.461,14.638,0.017,0.0,50.07,9.009,958,1065,1,0
01/09/18,0,36,5,0.654,0.637,91.786,94.192,9.194,20.882,0.0,0.0,55.046,7.849,918,1250,0,0
01/10/18,0,38,5,0.638,0.705,93.984,85.133,7.816,9.252,0.0,1.371,59.561,7.092,981,1158,0,2
01/11/18,0,39,6,0.65,0.616,92.29,97.334,7.307,15.816,0.0,0.0,60.0,9.74,996,1334,0,0
01/12/18,0,32,5,0.8,0.769,75.002,77.976,7.99,27.852,0.0,0.0,40.0,6.502,846,990,0,0
01/13/18,0,36,5,0.712,0.636,84.24,94.303,7.492,27.258,0.023,0.0,50.562,7.862,919,1198,1,0
