date,passnum,pell25,pell100,fr_irt25,fr_irt100,fr_runrate25,fr_runrate100,prp25,prp100,propBOfr100,propBOfr25,sr_rate25,sr_rate100,resps25,resps100,uo_total25,uo_total100
12/28/17,0,26,14,0.616,0.446,97.37,134.581,19.458,17.508,0.0,0.0,42.208,31.39,670,1499,0,0
12/29/17,0,21,10,0.85,0.61,70.562,98.33,22.13,26.619,0.0,0.204,24.706,16.393,551,1049,0,1
12/30/17,0,16,9,1.115,0.597,53.834,100.454,22.353,30.848,3.756,0.2,14.35,15.075,439,1028,4,2
12/31/17,0,28,11,0.58,0.491,103.412,122.1,18.527,25.393,0.0,0.0,48.276,22.403,722,1299,0,0
01/01/18,0,26,11,0.517,0.498,116.004,120.397,21.414,23.241,0.0,0.0,50.29,22.088,696,1323,0,0
01/02/18,0,28,12,0.494,0.447,121.53,134.132,19.472,20.176,0.0,0.656,56.68,26.846,744,1407,0,2
01/04/18,0,25,9,0.52,0.667,115.363,89.982,25.193,24.646,0.0,0.598,48.077,13.493,632,987,0,2
01/05/18,0,22,4,0.574,1.085,104.553,55.302,26.885,21.493,0.073,1.997,38.328,3.687,568,610,0,6
01/06/18,0,20,5,0.682,0.971,87.956,61.769,23.68,18.228,0.165,1.558,29.326,5.149,578,738,2,5
01/07/18,0,24,7,0.569,0.625,105.526,95.951,23.778,19.144,0.076,1.502,42.179,11.2,620,872,2,6
01/08/18,0,19,5,0.961,0.706,62.453,84.978,21.592,21.444,0.108,1.179,19.771,7.082,521,922,1,3
01/09/18,0,20,3,0.601,1.229,99.797,48.801,25.232,16.13,0.111,1.113,33.278,2.441,535,641,1,1
01/10/18,0,29,3,0.473,0.95,126.911,63.158,21.305,25.533,0.0,0.581,61.311,3.158,725,825,0,1
01/11/18,0,28,5,0.392,0.866,152.981,69.265,20.589,27.68,0.078,2.801,71.429,5.774,745,832,1,9
01/12/18,0,21,2,0.801,1.31,74.948,45.81,21.487,21.275,0.15,2.627,26.217,1.527,577,550,2,6
01/13/18,0,26,2,0.466,1.603,128.881,37.421,24.562,21.215,0.05,4.817,55.794,1.248,652,507,2,4
