date,passnum,pell25,pell100,fr_irt25,fr_irt100,fr_runrate25,fr_runrate100,prp25,prp100,propBOfr100,propBOfr25,sr_rate25,sr_rate100,resps25,resps100,uo_total25,uo_total100
12/28/17,0,49,14,0.388,0.476,154.797,125.931,8.914,13.007,0.0,0.212,126.289,29.412,1268,1532,0,2
12/29/17,0,48,12,0.401,0.566,149.463,105.932,8.722,13.007,0.0,0.0,119.701,21.201,1245,1367,0,0
12/30/17,0,49,11,0.382,0.643,156.969,93.287,8.659,14.155,0.0,0.044,128.272,17.107,1267,1202,0,1
12/31/17,0,55,11,0.372,0.543,161.407,110.414,7.376,13.583,0.0,0.0,147.849,20.258,1412,1389,0,0
01/01/18,0,62,13,0.331,0.54,181.14,111.203,6.195,9.243,0.0,0.0,187.311,24.074,1610,1488,0,0
01/02/18,0,58,11,0.352,0.623,170.381,96.278,6.914,13.391,0.0,0.163,164.773,17.657,1474,1188,0,1
01/04/18,0,57,10,0.338,0.632,177.427,94.952,7.456,12.946,0.0,0.237,168.639,15.823,1466,1175,0,1
01/05/18,0,57,13,0.343,0.508,175.045,118.2,7.037,10.612,0.089,0.133,166.181,25.591,1511,1455,0,2
01/06/18,0,52,16,0.372,0.479,161.352,125.276,7.997,7.172,0.0,0.0,139.785,33.403,1350,1696,0,0
01/07/18,0,56,15,0.36,0.461,166.824,130.198,7.598,11.847,0.0,0.0,155.556,32.538,1406,1604,0,0
01/08/18,0,60,10,0.337,0.573,177.825,104.705,6.684,6.746,0.0,1.161,178.042,17.452,1523,1458,0,1
01/09/18,0,56,7,0.354,0.607,169.665,98.927,7.417,7.175,0.0,0.173,158.192,11.532,1430,1386,0,1
01/10/18,0,59,6,0.35,0.698,171.213,85.994,6.621,6.417,0.0,0.377,168.571,8.596,1513,1193,0,2
01/11/18,0,60,6,0.347,0.571,173.15,105.098,6.518,7.737,0.0,1.753,172.911,10.508,1545,1444,0,3
01/12/18,0,60,5,0.346,0.685,173.464,87.579,6.434,7.57,0.0,1.418,173.41,7.299,1556,1221,0,1
01/13/18,0,60,5,0.354,0.651,169.404,92.182,6.41,10.586,0.0,6.089,169.492,7.68,1534,1154,0,5
