Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - 	A2 - 	A3 - 	A4 - 	A[1] 	A[2] 	A[3] 	A[4] 
A	BL	10	47	1	1	BA1650	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	51	2	3	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	280	3	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	290	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	322	4	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	325	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	329	5	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	331	5	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	335	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	349	4	5	1	1	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	354	5	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	359	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	414	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	424	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	466	4	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	471	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	473	5	0	0	1	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	475	5	0	0	1	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	478	5	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	481	5	9	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	483	9	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	487	9	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	491	9	10	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	566	10	2	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	567	2	6	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	628	6	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	638	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	648	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	657	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	667	8	7	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	670	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	680	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	683	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	685	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	687	8	0	0	0	1	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	695	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	714	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	717	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	727	8	9	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	737	9	10	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	742	10	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	812	10	2	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	813	2	6	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	822	6	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	832	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	848	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	852	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	861	8	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	862	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	867	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	873	8	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	876	8	0	0	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	877	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	879	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	883	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	888	8	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	893	8	7	0	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	928	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	930	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	933	8	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	938	8	0	0	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	940	8	9	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	950	9	10	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	953	10	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	957	10	0	0	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	976	10	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	1025	10	2	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1026	2	6	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1055	6	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1065	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1067	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	1071	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1081	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1084	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	1100	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1107	8	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	1110	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1111	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1121	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1135	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	1138	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1148	8	9	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1149	9	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	1158	9	10	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1179	10	0	0	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1183	10	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	1187	10	0	0	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1199	10	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	1233	10	2	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1234	2	3	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1399	3	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1409	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1416	4	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	1424	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1432	5	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	1434	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1447	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1450	5	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	1454	5	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1457	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1466	4	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	1532	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1542	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1546	4	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	1551	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1561	5	9	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1571	9	10	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1573	10	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	1646	10	2	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1647	2	3	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1675	3	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1685	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1697	4	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	1700	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1710	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1750	4	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	1794	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1797	5	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	1804	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1805	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1811	5	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	1813	5	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1815	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1817	4	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	1824	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1834	5	9	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1836	9	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	1844	9	10	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1919	10	2	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1920	2	6	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1964	6	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1974	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	1994	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2010	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2017	8	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2020	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2021	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2031	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2045	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2076	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2082	8	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2086	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2087	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2097	8	9	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2107	9	10	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2108	10	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2182	10	2	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2183	2	6	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2249	6	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2315	6	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	2333	6	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2362	6	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	2427	6	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2437	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2443	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2463	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2470	8	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2473	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2474	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2484	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2524	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2525	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2533	8	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2535	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2537	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2547	8	9	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2557	9	10	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2568	10	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2632	10	2	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2633	2	6	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2685	6	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2695	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2707	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2731	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2739	8	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2741	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2742	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2752	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2757	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2762	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2766	8	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2769	8	0	0	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2772	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2783	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2788	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2798	8	9	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2808	9	10	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2816	10	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	2883	10	2	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2884	2	3	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2919	3	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2929	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2933	4	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	2966	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2976	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	2996	4	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3000	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3005	5	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3010	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3022	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3032	5	4	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3035	4	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3039	4	5	1	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3049	5	9	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3057	9	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3058	9	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3059	9	10	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3062	10	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3134	10	2	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3135	2	6	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3170	6	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3206	6	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3209	6	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3213	6	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3239	6	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3243	6	0	0	1	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3245	6	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3248	6	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3253	6	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3259	6	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3261	6	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3277	6	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3353	6	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3356	6	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3371	6	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3376	6	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3396	6	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3403	6	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3431	6	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3435	6	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3468	6	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3500	6	0	0	1	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3529	6	0	0	0	0	0	0	1	0	0	0
A	BL	10	47	1	1	BA1650	3636	6	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3646	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3652	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	3661	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3671	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3693	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	3711	7	8	2	0	1	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3721	8	7	0	0	0	0	0	0	0	0	0
A	BL	10	47	1	1	BA1650	3723	7	0	0	0	0	0	0	0	1	0	0
A	BL	10	47	1	1	BA1650	3727	7	8	2	0	1	0	0	0	0	0	0
