date,subject,frval,runnum,trial,trial2,frpointer,frpointerB,borpointer,borpointer2,bolpointer,time,fr_irt,prp,fr_prp,uo_prp,event
12/11/17,BA1657,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,300
12/11/17,BA1657,25,1,1,1,1,1,0,0,0,42.27,42.27,40.22,40.22,0.0,120
12/11/17,BA1657,25,1,1,1,2,2,0,0,0,67.53,25.26,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,3,3,0,0,0,68.92,1.39,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,4,4,0,0,0,69.44,0.52,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,5,5,0,0,0,70.0,0.56,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,6,6,0,0,0,71.17,1.17,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,7,7,0,0,0,72.41,1.24,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,8,8,0,0,0,72.88,0.47,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,9,9,0,0,0,74.23,1.35,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,10,10,0,0,0,74.72,0.49,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,11,11,0,0,0,75.45,0.73,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,12,12,0,0,0,77.08,1.63,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,13,13,0,0,0,77.87,0.79,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,14,14,0,0,0,78.12,0.25,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,15,15,0,0,0,78.7,0.58,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,16,16,0,0,0,79.39,0.69,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,17,17,0,0,0,80.28,0.89,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,18,18,0,0,0,80.62,0.34,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,19,19,0,0,0,81.06,0.44,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,20,20,0,0,0,81.49,0.43,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,21,21,0,0,0,82.44,0.95,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,22,22,0,0,0,83.05,0.61,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,23,23,0,0,0,85.06,2.01,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,24,24,0,0,0,85.34,0.28,0.0,0.0,0.0,120
12/11/17,BA1657,25,1,1,1,25,25,0,0,0,85.57,0.23,0.0,0.0,0.0,120
12/11/17,BA1657,0,1,0,0,-1,-1,0,0,0,85.58,0.0,0.0,0.0,0.0,200
12/11/17,BA1657,0,1,0,0,0,0,0,0,0,87.63,2.05,0.0,0.0,0.0,300
12/11/17,BA1657,50,1,2,2,1,1,0,0,0,102.99,15.36,13.31,13.31,0.0,120
12/11/17,BA1657,50,1,2,2,2,2,0,0,0,103.43,0.44,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,3,3,0,0,0,103.77,0.34,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,4,4,0,0,0,104.19,0.42,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,5,5,0,0,0,104.68,0.49,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,6,6,0,0,0,105.19,0.51,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,7,7,0,0,0,105.47,0.28,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,8,8,0,0,0,105.64,0.17,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,9,9,0,0,0,105.79,0.15,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,10,10,0,0,0,105.96,0.17,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,11,11,0,0,0,106.25,0.29,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,12,12,0,0,0,106.42,0.17,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,13,13,0,0,0,106.71,0.29,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,14,14,0,0,0,107.15,0.44,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,15,15,0,0,0,107.25,0.1,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,16,16,0,0,0,107.69,0.44,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,17,17,0,0,0,107.87,0.18,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,18,18,0,0,0,108.02,0.15,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,19,19,0,0,0,108.18,0.16,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,20,20,0,0,0,108.46,0.28,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,21,21,0,0,0,109.63,1.17,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,22,22,0,0,0,110.35,0.72,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,23,23,0,0,0,110.93,0.58,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,24,24,0,0,0,111.56,0.63,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,25,25,0,0,0,111.69,0.13,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,26,26,0,0,0,111.79,0.1,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,27,27,0,0,0,111.97,0.18,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,28,28,0,0,0,112.07,0.1,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,29,29,0,0,0,112.16,0.09,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,30,30,0,0,0,112.24,0.08,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,31,31,0,0,0,112.32,0.08,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,32,32,0,0,0,112.52,0.2,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,33,33,0,0,0,112.85,0.33,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,34,34,0,0,0,113.27,0.42,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,35,35,0,0,0,114.87,1.6,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,36,36,0,0,0,115.26,0.39,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,37,37,0,0,0,115.36,0.1,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,38,38,0,0,0,115.56,0.2,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,39,39,0,0,0,115.62,0.06,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,40,40,0,0,0,115.82,0.2,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,41,41,0,0,0,116.04,0.22,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,42,42,0,0,0,117.04,1.0,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,43,43,0,0,0,117.34,0.3,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,44,44,0,0,0,118.79,1.45,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,45,45,0,0,0,118.98,0.19,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,46,46,0,0,0,119.1,0.12,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,47,47,0,0,0,119.25,0.15,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,48,48,0,0,0,119.37,0.12,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,49,49,0,0,0,119.44,0.07,0.0,0.0,0.0,120
12/11/17,BA1657,50,1,2,2,50,50,0,0,0,119.61,0.17,0.0,0.0,0.0,120
12/11/17,BA1657,0,1,0,0,-1,-1,0,0,0,119.62,0.0,0.0,0.0,0.0,200
12/11/17,BA1657,0,1,0,0,0,0,0,0,0,121.67,2.05,0.0,0.0,0.0,300
12/11/17,BA1657,75,1,3,3,1,1,0,0,0,137.14,15.47,13.42,13.42,0.0,120
