date,Subject,UID,Protocol,run,time,totalResps,rightResps,leftResps,totalRate,leftRate,rightRate,total_incorrect,left_incorrect,right_incorrect,prop_lc,prop_rc,RR_prp,RL_prp,LR_prp,LL_prp
,,,,,,,,,,,,,,,,,,,,
92317,BA1652,EF,4,1,363.94,507,263,244,83.585,40.226,43.359,5,1,4,0.002,0.008,147.428,99.419,181.124,132.738
92417,BA1652,EF,4,2,317.46,572,276,296,108.108,55.944,52.164,35,19,16,0.033,0.028,100.811,-1.556,118.694,16.534
092317,BA1652,AB,4,1,363.94,507,263,244,83.585,40.226,43.359,5,1,4,0.002,0.008,145.928333333,97.9191304348,179.624166667,131.23826087
092417,BA1652,AB,4,2,317.46,572,276,296,108.108,55.944,52.164,35,19,16,0.033,0.028,99.3113207547,-3.05551724138,117.193962264,15.0337931034
092517,BA1652,AB,4,3,331.66,590,300,290,106.736,52.463,54.272,37,18,19,0.031,0.032,148.817446809,40.2917857143,153.97787234,42.3107142857
092617,BA1652,AB,4,4,271.16,614,332,282,135.861,62.399,73.462,33,5,28,0.008,0.046,94.0092105263,99.5573333333,112.314210526,109.724666667

092317,BA1652,BL,2,1,363.94,507,263,244,83.585,40.226,43.359,5,1,4,0.002,0.008,145.928333333,97.9191304348,179.624166667,131.23826087
092417,BA1652,BL,2,2,317.46,572,276,296,108.108,55.944,52.164,35,19,16,0.033,0.028,99.3113207547,-3.05551724138,117.193962264,15.0337931034
092517,BA1652,BL,2,3,331.66,590,300,290,106.736,52.463,54.272,37,18,19,0.031,0.032,148.817446809,40.2917857143,153.97787234,42.3107142857
092617,BA1652,BL,2,4,271.16,614,332,282,135.861,62.399,73.462,33,5,28,0.008,0.046,94.0092105263,99.5573333333,112.314210526,109.724666667
092817,BA1652,BL,2,5,469.88,852,510,342,108.794,43.671,65.123,34,34,0,0.04,0.0,198.065,153.575348837,256.803,260.26372093

092317,BA1652,BL,2,1,363.94,507,263,244,83.585,40.226,43.359,5,1,4,0.002,0.008,145.928333333,97.9191304348,179.624166667,131.23826087
092417,BA1652,BL,2,2,317.46,572,276,296,108.108,55.944,52.164,35,19,16,0.033,0.028,99.3113207547,-3.05551724138,117.193962264,15.0337931034
092517,BA1652,BL,2,3,331.66,590,300,290,106.736,52.463,54.272,37,18,19,0.031,0.032,148.817446809,40.2917857143,153.97787234,42.3107142857
092617,BA1652,BL,2,4,271.16,614,332,282,135.861,62.399,73.462,33,5,28,0.008,0.046,94.0092105263,99.5573333333,112.314210526,109.724666667
092817,BA1652,BL,2,5,469.88,852,510,342,108.794,43.671,65.123,34,34,0,0.04,0.0,198.065,153.575348837,256.803,260.26372093
092917,BA1652,BL,2,6,599.8,860,470,390,86.029,39.013,47.016,69,69,0,0.08,0.0,225.482,12.9008403361,306.865,275.189243697
093017,BA1652,BL,2,7,456.58,836,486,350,109.86,45.994,63.866,48,48,0,0.057,0.0,166.0,-62.9507826087,235.335,130.326434783

092317,BA1652,AC,4,1,363.94,507,263,244,83.585,40.226,43.359,5,1,4,0.002,0.008,145.928333333,97.9191304348,179.624166667,131.23826087
092417,BA1652,AC,4,2,317.46,572,276,296,108.108,55.944,52.164,35,19,16,0.033,0.028,99.3113207547,-3.05551724138,117.193962264,15.0337931034
092517,BA1652,AC,4,3,331.66,590,300,290,106.736,52.463,54.272,37,18,19,0.031,0.032,148.817446809,40.2917857143,153.97787234,42.3107142857
092617,BA1652,AC,4,4,271.16,614,332,282,135.861,62.399,73.462,33,5,28,0.008,0.046,94.0092105263,99.5573333333,112.314210526,109.724666667
092817,BA1652,AC,4,5,469.88,852,510,342,108.794,43.671,65.123,34,34,0,0.04,0.0,198.065,153.575348837,256.803,260.26372093
092917,BA1652,AC,4,6,599.8,860,470,390,86.029,39.013,47.016,69,69,0,0.08,0.0,225.482,12.9008403361,306.865,275.189243697
093017,BA1652,AC,4,7,456.58,836,486,350,109.86,45.994,63.866,48,48,0,0.057,0.0,166.0,-62.9507826087,235.335,130.326434783
100117,BA1652,AC,4,8,897.8,1353,906,447,90.421,29.873,60.548,85,85,0,0.063,0.0,415.032380952,142.78,466.811428571,442.431485149
100217,BA1652,AC,4,9,681.18,1446,954,492,127.367,43.337,84.031,113,113,0,0.078,0.0,304.723809524,-248.250359712,369.096190476,160.303644444
100317,BA1652,AC,4,10,673.04,1341,972,369,119.547,32.896,86.652,54,54,0,0.04,0.0,283.684761905,-118.497258065,345.262857143,174.447580645

092317,BA1652,AG,6,1,363.94,507,263,244,83.585,40.226,43.359,5,1,4,0.002,0.008,145.928333333,97.9191304348,179.624166667,131.23826087
092417,BA1652,AG,6,2,317.46,572,276,296,108.108,55.944,52.164,35,19,16,0.033,0.028,99.3113207547,-3.05551724138,117.193962264,15.0337931034
092517,BA1652,AG,6,3,331.66,590,300,290,106.736,52.463,54.272,37,18,19,0.031,0.032,148.817446809,40.2917857143,153.97787234,42.3107142857
092617,BA1652,AG,6,4,271.16,614,332,282,135.861,62.399,73.462,33,5,28,0.008,0.046,94.0092105263,99.5573333333,112.314210526,109.724666667
092817,BA1652,AG,6,5,469.88,852,510,342,108.794,43.671,65.123,34,34,0,0.04,0.0,198.065,153.575348837,256.803,260.26372093
092917,BA1652,AG,6,6,599.8,860,470,390,86.029,39.013,47.016,69,69,0,0.08,0.0,225.482,12.9008403361,306.865,275.189243697
093017,BA1652,AG,6,7,456.58,836,486,350,109.86,45.994,63.866,48,48,0,0.057,0.0,166.0,-62.9507826087,235.335,130.326434783
100117,BA1652,AG,6,8,897.8,1353,906,447,90.421,29.873,60.548,85,85,0,0.063,0.0,415.032380952,142.78,466.811428571,442.431485149
100217,BA1652,AG,6,9,681.18,1446,954,492,127.367,43.337,84.031,113,113,0,0.078,0.0,304.723809524,-248.250359712,369.096190476,160.303644444
100317,BA1652,AG,6,10,673.04,1341,972,369,119.547,32.896,86.652,54,54,0,0.04,0.0,283.684761905,-118.497258065,345.262857143,174.447580645
100417,BA1652,AG,6,11,1937.72,2166,1884,282,67.069,8.732,58.337,42,41,1,0.019,0.0,697.824545455,880.537209302,780.098181818,1163.89162791
