date,Subject,UID,Protocol,run,time,totalResps,rightResps,leftResps,totalRate,leftRate,rightRate,total_incorrect,left_incorrect,right_incorrect,prop_lc,prop_rc,RR_prp,RL_prp,LR_prp,LL_prp
,,,,,,,,,,,,,,,,,,,,
92317,BA1651,ef,3,1,483.08,571,354,217,70.92,26.952,43.968,65,1,64,0.002,0.112,101.784,153.212,109.907,159.097
92417,BA1651,ef,3,2,481.16,491,264,227,61.227,28.307,32.92,21,3,18,0.006,0.037,125.351,131.055,142.992,142.056
092317,BA1651,AB,3,1,483.08,571,354,217,70.92,26.952,43.968,65,1,64,0.002,0.112,100.28358209,151.712173913,108.406716418,157.597391304
092417,BA1651,AB,3,2,481.16,491,264,227,61.227,28.307,32.92,21,3,18,0.006,0.037,123.850689655,129.555384615,141.492068966,140.556153846
092517,BA1651,AB,3,3,493.62,591,368,223,71.837,27.106,44.731,66,4,62,0.007,0.105,62.4234722222,133.066428571,75.8133333333,139.28
092617,BA1651,AB,3,4,387.1,519,298,221,80.444,34.255,46.19,32,3,29,0.006,0.056,63.8725,138.21037037,81.5255,146.056296296

092317,BA1651,BL,1,1,483.08,571,354,217,70.92,26.952,43.968,65,1,64,0.002,0.112,100.28358209,151.712173913,108.406716418,157.597391304
092417,BA1651,BL,1,2,481.16,491,264,227,61.227,28.307,32.92,21,3,18,0.006,0.037,123.850689655,129.555384615,141.492068966,140.556153846
092517,BA1651,BL,1,3,493.62,591,368,223,71.837,27.106,44.731,66,4,62,0.007,0.105,62.4234722222,133.066428571,75.8133333333,139.28
092617,BA1651,BL,1,4,387.1,519,298,221,80.444,34.255,46.19,32,3,29,0.006,0.056,63.8725,138.21037037,81.5255,146.056296296
092817,BA1651,BL,1,5,482.6,677,464,213,84.169,26.482,57.688,9,1,8,0.001,0.012,273.372432432,157.98173913,311.685945946,175.86173913

092317,BA1651,BL,1,1,483.08,571,354,217,70.92,26.952,43.968,65,1,64,0.002,0.112,100.28358209,151.712173913,108.406716418,157.597391304
092417,BA1651,BL,1,2,481.16,491,264,227,61.227,28.307,32.92,21,3,18,0.006,0.037,123.850689655,129.555384615,141.492068966,140.556153846
092517,BA1651,BL,1,3,493.62,591,368,223,71.837,27.106,44.731,66,4,62,0.007,0.105,62.4234722222,133.066428571,75.8133333333,139.28
092617,BA1651,BL,1,4,387.1,519,298,221,80.444,34.255,46.19,32,3,29,0.006,0.056,63.8725,138.21037037,81.5255,146.056296296
092817,BA1651,BL,1,5,482.6,677,464,213,84.169,26.482,57.688,9,1,8,0.001,0.012,273.372432432,157.98173913,311.685945946,175.86173913
092917,BA1651,BL,1,6,549.22,691,460,231,75.489,25.236,50.253,14,9,5,0.013,0.007,212.796774194,90.4331578947,245.055483871,134.747368421
093017,BA1651,BL,1,7,676.36,877,544,333,77.799,29.54,48.258,103,60,43,0.068,0.049,310.823364486,109.603571429,434.527850467,275.559571429

092317,BA1651,BL,3,1,483.08,571,354,217,70.92,26.952,43.968,65,1,64,0.002,0.112,100.28358209,151.712173913,108.406716418,157.597391304
092417,BA1651,BL,3,2,481.16,491,264,227,61.227,28.307,32.92,21,3,18,0.006,0.037,123.850689655,129.555384615,141.492068966,140.556153846
092517,BA1651,BL,3,3,493.62,591,368,223,71.837,27.106,44.731,66,4,62,0.007,0.105,62.4234722222,133.066428571,75.8133333333,139.28
092617,BA1651,BL,3,4,387.1,519,298,221,80.444,34.255,46.19,32,3,29,0.006,0.056,63.8725,138.21037037,81.5255,146.056296296
092817,BA1651,BL,3,5,482.6,677,464,213,84.169,26.482,57.688,9,1,8,0.001,0.012,273.372432432,157.98173913,311.685945946,175.86173913
092917,BA1651,BL,3,6,549.22,691,460,231,75.489,25.236,50.253,14,9,5,0.013,0.007,212.796774194,90.4331578947,245.055483871,134.747368421
093017,BA1651,BL,3,7,676.36,877,544,333,77.799,29.54,48.258,103,60,43,0.068,0.049,310.823364486,109.603571429,434.527850467,275.559571429
100117,BA1651,BL,3,8,854.06,1369,1038,331,96.176,23.254,72.922,113,57,56,0.042,0.041,318.872631579,223.097043478,616.321954887,477.52573913
100217,BA1651,BL,3,9,928.08,1515,1118,397,97.944,25.666,72.278,186,93,93,0.061,0.061,118.030853659,-134.572317073,546.224519231,324.310194175
100317,BA1651,BL,3,10,732.84,1313,1020,293,107.5,23.989,83.511,67,40,27,0.03,0.021,252.434594595,198.282828283,390.756216216,386.60040404

092317,BA1651,AG,5,1,483.08,571,354,217,70.92,26.952,43.968,65,1,64,0.002,0.112,100.28358209,151.712173913,108.406716418,157.597391304
092417,BA1651,AG,5,2,481.16,491,264,227,61.227,28.307,32.92,21,3,18,0.006,0.037,123.850689655,129.555384615,141.492068966,140.556153846
