Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGHT	A3 - 	A4 - 	A[1] LEFT	A[2] RIGHT	A[3] 	A[4] 
A	BL	4	85	1	1	BA1652	1652	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	1656	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1668	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1671	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	1678	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1703	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1707	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	1713	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1724	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1734	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1766	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	1795	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1805	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1848	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	1891	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1901	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1930	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	1966	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1975	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	1976	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1977	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1987	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	1993	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	1997	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2007	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2018	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2049	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2059	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2089	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2129	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2139	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2160	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2162	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2165	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2172	8	9	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2180	9	0	0	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2182	9	10	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2257	10	2	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2258	2	6	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2344	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2377	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	2391	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2401	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	1	1	BA1652	2464	6	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2474	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2493	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2502	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2506	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2510	8	0	0	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2512	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2516	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2557	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2567	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2579	7	0	0	0	0	0	0	0	1	0	0
