date,Subject,UID,Protocol,run,time,totalResps,rightResps,leftResps,totalRate,leftRate,rightRate,total_incorrect,left_incorrect,right_incorrect,prop_lc,prop_rc
090717,BA1652,BL,4,1,116.46,55,34,21,28.336,10.819,17.517,17,7,10,0.127,0.182
090817,BA1652,BL,4,2,210.56,47,22,25,13.393,7.124,6.269,11,8,3,0.17,0.064
090917,BA1652,BL,4,3,45.9,33,17,16,43.137,20.915,22.222,5,4,1,0.121,0.03
091017,BA1652,BL,4,4,114.48,68,38,30,35.639,15.723,19.916,9,6,3,0.088,0.044
091117,BA1652,BL,4,5,84.2,87,43,44,61.995,31.354,30.641,13,10,3,0.115,0.034
091217,BA1652,BL,4,6,59.56,63,44,19,63.465,19.14,44.325,4,2,2,0.032,0.032
091317,BA1652,BL,4,7,51.52,65,37,28,75.699,32.609,43.09,6,4,2,0.062,0.031
