date,Subject,UID,Protocol,run,time,totalResps,rightResps,leftResps,totalRate,leftRate,rightRate,total_incorrect,left_incorrect,right_incorrect,prop_lc,prop_rc
090817,BA1653,BL,4,1,276.98,39,28,11,8.448,2.383,6.065,9,2,7,0.051,0.179
090917,BA1653,BL,4,2,134.0,26,14,12,11.642,5.373,6.269,2,2,0,0.077,0.0
091017,BA1653,BL,4,3,140.18,67,35,32,28.677,13.697,14.981,10,8,2,0.119,0.03
091117,BA1653,BL,4,4,144.28,59,35,24,24.536,9.981,14.555,6,4,2,0.068,0.034
091217,BA1653,BL,4,5,101.94,55,32,23,32.372,13.537,18.835,4,4,0,0.073,0.0
091317,BA1653,BL,4,6,63.6,60,34,26,56.604,24.528,32.075,5,5,0,0.083,0.0
