date,Subject,UID,Protocol,run,time,totalResps,rightResps,leftResps,totalRate,leftRate,rightRate,total_incorrect,left_incorrect,right_incorrect,prop_lc,prop_rc
090617,BA1651,BL,3,1,8072.06,245,112,133,1.821,0.989,0.833,108,61,47,0.249,0.192
090717,BA1651,BL,3,2,104.36,49,28,21,28.172,12.074,16.098,11,5,6,0.102,0.122
090817,BA1651,BL,3,3,97.58,49,34,15,30.129,9.223,20.906,14,4,10,0.082,0.204
090917,BA1651,BL,3,4,67.64,31,15,16,27.499,14.193,13.306,5,4,1,0.129,0.032
091017,BA1651,BL,3,5,91.86,69,45,24,45.069,15.676,29.393,12,3,9,0.043,0.13
091117,BA1651,BL,3,6,68.98,59,39,20,51.319,17.396,33.923,8,2,6,0.034,0.102
091217,BA1651,BL,3,7,48.92,76,54,22,93.213,26.983,66.231,11,1,10,0.013,0.132
091317,BA1651,BL,3,8,47.28,67,47,20,85.025,25.381,59.645,9,2,7,0.03,0.104
