runnum,date,subject,eventnum,time,event
1,092117,BA1658,0,0,300
1,092117,BA1658,1,3000,310
1,092117,BA1658,2,3246,120
1,092117,BA1658,3,3294,120
1,092117,BA1658,4,3367,120
1,092117,BA1658,5,3414,120
1,092117,BA1658,6,3462,120
1,092117,BA1658,7,3468,300
1,092117,BA1658,8,3708,100
1,092117,BA1658,9,3906,100
1,092117,BA1658,10,3939,100
1,092117,BA1658,11,6468,310
1,092117,BA1658,12,6742,120
1,092117,BA1658,13,6765,120
1,092117,BA1658,14,6848,120
1,092117,BA1658,15,6874,120
1,092117,BA1658,16,6902,120
1,092117,BA1658,17,6908,300
1,092117,BA1658,18,9279,100
1,092117,BA1658,19,9908,310
1,092117,BA1658,20,10274,120
1,092117,BA1658,21,10298,120
1,092117,BA1658,22,10334,120
1,092117,BA1658,23,10354,120
1,092117,BA1658,24,10474,120
1,092117,BA1658,25,10480,300
1,092117,BA1658,26,10520,100
1,092117,BA1658,27,13480,310
1,092117,BA1658,28,13578,120
1,092117,BA1658,29,13600,120
1,092117,BA1658,30,13628,120
1,092117,BA1658,31,13649,120
1,092117,BA1658,32,13676,120
1,092117,BA1658,33,13682,300
1,092117,BA1658,34,16083,110
1,092117,BA1658,35,16301,100
1,092117,BA1658,36,16802,310
1,092117,BA1658,37,16877,120
1,092117,BA1658,38,16895,120
1,092117,BA1658,39,16938,120
1,092117,BA1658,40,16956,120
1,092117,BA1658,41,16978,120
1,092117,BA1658,42,16984,300
1,092117,BA1658,43,19984,310
1,092117,BA1658,44,20132,120
1,092117,BA1658,45,20152,120
1,092117,BA1658,46,20209,120
1,092117,BA1658,47,20228,120
1,092117,BA1658,48,20267,120
1,092117,BA1658,49,20273,300
1,092117,BA1658,50,21787,100
1,092117,BA1658,51,23273,310
1,092117,BA1658,52,23344,120
1,092117,BA1658,53,23367,120
1,092117,BA1658,54,23389,120
1,092117,BA1658,55,23446,120
1,092117,BA1658,56,23472,120
1,092117,BA1658,57,23478,300
1,092117,BA1658,58,25997,100
1,092117,BA1658,59,26498,310
1,092117,BA1658,60,26680,120
1,092117,BA1658,61,26699,120
1,092117,BA1658,62,26718,120
1,092117,BA1658,63,26746,120
1,092117,BA1658,64,26759,120
1,092117,BA1658,65,26765,300
1,092117,BA1658,66,26788,100
1,092117,BA1658,67,29765,310
1,092117,BA1658,68,29849,120
1,092117,BA1658,69,29879,120
1,092117,BA1658,70,29902,120
1,092117,BA1658,71,29926,120
1,092117,BA1658,72,29967,120
1,092117,BA1658,73,29973,300
1,092117,BA1658,74,31806,100
1,092117,BA1658,75,32973,310
1,092117,BA1658,76,33363,120
1,092117,BA1658,77,33383,120
1,092117,BA1658,78,33410,120
1,092117,BA1658,79,33440,120
1,092117,BA1658,80,33487,120
1,092117,BA1658,81,33493,300
1,092117,BA1658,82,36493,310
1,092117,BA1658,83,36840,120
1,092117,BA1658,84,36876,120
1,092117,BA1658,85,36892,120
1,092117,BA1658,86,36920,120
1,092117,BA1658,87,37096,120
1,092117,BA1658,88,37102,300
1,092117,BA1658,89,39017,100
1,092117,BA1658,90,40102,310
1,092117,BA1658,91,40204,120
1,092117,BA1658,92,40259,120
1,092117,BA1658,93,40281,120
1,092117,BA1658,94,40305,120
1,092117,BA1658,95,40334,120
1,092117,BA1658,96,40340,300
1,092117,BA1658,97,43340,310
1,092117,BA1658,98,43647,120
1,092117,BA1658,99,43666,120
1,092117,BA1658,100,43729,120
1,092117,BA1658,101,43756,120
1,092117,BA1658,102,43912,120
1,092117,BA1658,103,43918,300
1,092117,BA1658,104,44266,100
1,092117,BA1658,105,44515,100
1,092117,BA1658,106,44658,100
1,092117,BA1658,107,45069,100
1,092117,BA1658,108,46918,310
1,092117,BA1658,109,47118,120
1,092117,BA1658,110,47161,120
1,092117,BA1658,111,47194,120
1,092117,BA1658,112,47238,120
1,092117,BA1658,113,47262,120
1,092117,BA1658,114,47268,300
1,092117,BA1658,115,50268,310
1,092117,BA1658,116,50559,120
1,092117,BA1658,117,50661,120
1,092117,BA1658,118,50698,120
1,092117,BA1658,119,50719,120
1,092117,BA1658,120,50819,120
1,092117,BA1658,121,50825,300
1,092117,BA1658,122,51133,100
1,092117,BA1658,123,51153,100
1,092117,BA1658,124,53825,310
1,092117,BA1658,125,54059,120
1,092117,BA1658,126,54090,120
1,092117,BA1658,127,54176,120
1,092117,BA1658,128,54207,120
1,092117,BA1658,129,54286,120
1,092117,BA1658,130,54292,300
1,092117,BA1658,131,57292,310
1,092117,BA1658,132,57330,120
1,092117,BA1658,133,57442,120
1,092117,BA1658,134,57463,120
1,092117,BA1658,135,57614,120
1,092117,BA1658,136,57639,120
1,092117,BA1658,137,57645,300
1,092117,BA1658,138,60645,310
1,092117,BA1658,139,60976,120
1,092117,BA1658,140,60989,120
1,092117,BA1658,141,61015,120
1,092117,BA1658,142,61050,120
1,092117,BA1658,143,61163,120
1,092117,BA1658,144,61169,300
1,092117,BA1658,145,61199,100
1,092117,BA1658,146,63816,100
1,092117,BA1658,147,63845,100
1,092117,BA1658,148,63976,100
1,092117,BA1658,149,64249,100
1,092117,BA1658,150,64750,310
1,092117,BA1658,151,64937,120
1,092117,BA1658,152,64953,120
1,092117,BA1658,153,64971,120
1,092117,BA1658,154,64989,120
1,092117,BA1658,155,65019,120
1,092117,BA1658,156,65025,300
1,092117,BA1658,157,68025,310
