runnum,date,subject,eventnum,time,event
4,092417,BA1656,0,0,300
4,092417,BA1656,1,3000,310
4,092417,BA1656,2,3515,120
4,092417,BA1656,3,3543,120
4,092417,BA1656,4,3568,120
4,092417,BA1656,5,3631,120
4,092417,BA1656,6,3660,120
4,092417,BA1656,7,3666,300
4,092417,BA1656,8,6666,310
4,092417,BA1656,9,6825,120
4,092417,BA1656,10,6883,120
4,092417,BA1656,11,6935,120
4,092417,BA1656,12,6980,120
4,092417,BA1656,13,7028,120
4,092417,BA1656,14,7034,300
4,092417,BA1656,15,10034,310
4,092417,BA1656,16,10210,120
4,092417,BA1656,17,10247,120
4,092417,BA1656,18,10278,120
4,092417,BA1656,19,10327,120
4,092417,BA1656,20,10376,120
4,092417,BA1656,21,10382,300
4,092417,BA1656,22,13382,310
4,092417,BA1656,23,13533,120
4,092417,BA1656,24,13575,120
4,092417,BA1656,25,13607,120
4,092417,BA1656,26,13635,120
4,092417,BA1656,27,13674,120
4,092417,BA1656,28,13680,300
4,092417,BA1656,29,16680,310
4,092417,BA1656,30,16798,120
4,092417,BA1656,31,16831,120
4,092417,BA1656,32,16877,120
4,092417,BA1656,33,16923,120
4,092417,BA1656,34,16975,120
4,092417,BA1656,35,16981,300
4,092417,BA1656,36,19981,310
4,092417,BA1656,37,20077,120
4,092417,BA1656,38,20118,120
4,092417,BA1656,39,20162,120
4,092417,BA1656,40,20196,120
4,092417,BA1656,41,20225,120
4,092417,BA1656,42,20231,300
4,092417,BA1656,43,21978,100
4,092417,BA1656,44,23231,310
4,092417,BA1656,45,23389,120
4,092417,BA1656,46,23417,120
4,092417,BA1656,47,23453,120
4,092417,BA1656,48,23490,120
4,092417,BA1656,49,23517,120
4,092417,BA1656,50,23523,300
4,092417,BA1656,51,26218,100
4,092417,BA1656,52,26719,310
4,092417,BA1656,53,26877,120
4,092417,BA1656,54,26913,120
4,092417,BA1656,55,26957,120
4,092417,BA1656,56,27009,120
4,092417,BA1656,57,27050,120
4,092417,BA1656,58,27056,300
4,092417,BA1656,59,30056,310
4,092417,BA1656,60,30205,120
4,092417,BA1656,61,30232,120
4,092417,BA1656,62,30249,120
4,092417,BA1656,63,30289,120
4,092417,BA1656,64,30405,120
4,092417,BA1656,65,30411,300
4,092417,BA1656,66,33411,310
4,092417,BA1656,67,33539,120
4,092417,BA1656,68,33580,120
4,092417,BA1656,69,33601,120
4,092417,BA1656,70,33964,120
4,092417,BA1656,71,34065,120
4,092417,BA1656,72,34071,300
4,092417,BA1656,73,37071,310
4,092417,BA1656,74,37251,120
4,092417,BA1656,75,37278,120
4,092417,BA1656,76,37299,120
4,092417,BA1656,77,37328,120
4,092417,BA1656,78,37409,120
4,092417,BA1656,79,37415,300
4,092417,BA1656,80,40415,310
4,092417,BA1656,81,40570,120
4,092417,BA1656,82,40610,120
4,092417,BA1656,83,40641,120
4,092417,BA1656,84,40661,120
4,092417,BA1656,85,40715,120
4,092417,BA1656,86,40721,300
4,092417,BA1656,87,43721,310
4,092417,BA1656,88,43873,120
4,092417,BA1656,89,43910,120
4,092417,BA1656,90,43973,120
4,092417,BA1656,91,44015,120
4,092417,BA1656,92,44032,120
4,092417,BA1656,93,44038,300
4,092417,BA1656,94,44175,100
4,092417,BA1656,95,44400,100
4,092417,BA1656,96,47038,310
4,092417,BA1656,97,47588,120
4,092417,BA1656,98,47638,120
4,092417,BA1656,99,47669,120
4,092417,BA1656,100,47721,120
4,092417,BA1656,101,47774,120
