passnum,fr,pellets,fr_irt,uor_irt,uol_irt,fr_resps,uo_resps,resps,r_SR,fr_runrate,uo_total,prp,fr_prp,uo_prp,fr_total_Rate,sr_rate,to_sr
1,25,75,0.67,1.78,0.0,1875,5,1880,25.067,96.486,3,19.609,19.84,13.983,42.212,3.68,0.038
1,50,50,0.726,0.0,211.884,2500,11,2511,50.22,84.579,5,24.109,26.428,2.304,49.6,1.685,0.091
1,75,15,1.328,0.0,0.0,1126,2,1128,75.2,46.439,2,221.601,249.873,9.56,12.931,0.611,0.118
1,100,18,0.935,0.0,0.79,1809,8,1817,100.944,66.472,5,51.006,57.212,13.767,39.951,0.645,0.217
1,125,5,6.165,0.0,0.0,640,4,644,128.8,9.833,4,50.465,91.067,9.863,9.147,0.077,0.444
1,150,4,1.12,0.0,0.95,602,7,609,152.25,56.981,5,415.93,719.183,11.593,9.967,0.359,0.556
1,175,7,3.655,0.0,0.0,1271,3,1274,182.0,16.966,3,56.3,62.989,40.693,15.075,0.091,0.3
2,25,75,0.554,0.0,0.0,1875,1,1876,25.013,112.805,1,14.53,14.64,6.43,54.07,4.452,0.013
2,50,75,0.535,0.0,0.0,3750,1,3751,50.013,114.492,1,22.98,23.277,1.0,60.964,2.258,0.013
2,75,37,0.678,683.94,0.0,2791,11,2802,75.73,91.76,7,76.01,87.23,12.43,34.585,1.19,0.159
2,100,17,2.232,700.322,97.552,1700,23,1723,101.353,38.625,12,91.643,63.953,143.561,21.632,0.272,0.414
2,125,17,0.816,2.295,85.86,2127,13,2140,125.882,81.171,9,47.274,56.976,26.484,49.477,0.593,0.346
2,150,6,4.336,52.813,0.0,904,15,919,153.167,62.023,8,337.789,173.062,502.517,10.95,0.093,0.571
2,175,13,1.874,219.31,109.43,2279,17,2296,176.615,101.067,7,194.652,53.665,416.201,28.286,0.184,0.35
3,25,75,0.443,0.0,0.475,1875,11,1886,25.147,140.949,1,12.738,12.909,0.05,64.098,5.562,0.013
3,50,56,1.219,0.0,0.0,2806,3,2809,50.161,50.25,2,22.796,23.063,8.11,36.272,1.003,0.034
3,75,33,0.65,0.0,0.0,2475,4,2479,75.121,95.674,3,36.477,38.802,11.687,52.13,1.247,0.083
3,100,34,0.741,0.0,0.0,3402,8,3410,100.294,83.507,7,69.186,74.266,28.553,41.888,0.817,0.171
3,125,16,1.908,0.0,13.613,2000,45,2045,127.813,33.664,8,49.686,61.492,27.549,25.493,0.254,0.333
3,150,12,0.805,0.0,1.36,1803,13,1816,151.333,95.315,7,75.906,88.41,50.898,43.217,0.5,0.368
3,175,7,2.76,0.0,0.315,1245,6,1251,178.714,21.931,3,44.192,55.651,4.085,19.622,0.123,0.3
4,25,75,1.216,0.0,0.0,1875,0,1875,25.0,51.405,0,12.2,12.2,,36.371,2.056,0.0
5,25,75,0.42,0.0,0.0,1875,0,1875,25.0,148.64,0,14.094,14.094,,62.348,5.946,0.0
