passnum,fr,pellets,fr_irt,uor_irt,uol_irt,fr_resps,uo_resps,resps,r_SR,fr_runrate,uo_total,prp,fr_prp,uo_prp,fr_total_Rate,sr_rate,to_sr
1,25,75,0.374,0.0,0.0,1875,0,1875,25.0,167.033,0,2.091,2.091,,134.197,6.592,0.0
1,50,75,0.355,0.0,0.434,3750,20,3770,50.267,172.488,1,2.411,2.442,0.11,151.47,3.403,0.013
1,75,75,0.371,0.0,0.0,5625,2,5627,75.027,163.691,1,3.53,3.539,2.88,145.418,2.153,0.013
1,100,75,0.363,96.48,115.596,7500,25,7525,100.333,167.03,10,5.915,6.041,4.874,144.883,1.648,0.118
1,125,47,0.415,191.22,613.838,5876,18,5894,125.404,146.314,9,12.524,13.593,6.911,117.815,1.165,0.161
1,150,19,0.425,0.0,197.77,2853,16,2869,151.0,143.011,13,11.343,12.449,8.393,121.086,0.947,0.406
1,175,16,0.434,252.13,305.93,2802,25,2827,176.688,140.589,13,14.4,15.69,12.373,119.226,0.795,0.448
1,200,6,0.944,0.0,292.377,1205,18,1223,203.833,78.753,13,31.755,29.014,33.713,56.641,0.318,0.684
1,225,11,0.506,10.078,118.262,2572,26,2598,236.182,120.056,9,16.526,28.043,1.719,98.606,0.509,0.45
2,25,75,0.365,0.0,0.0,1875,1,1876,25.013,171.079,1,2.316,1.971,27.9,140.028,6.752,0.013
2,50,75,0.406,0.0,0.0,3750,0,3750,50.0,150.896,0,3.593,3.593,,126.556,2.978,0.0
2,75,45,1.097,1402.147,382.762,3423,27,3450,76.667,58.614,13,17.235,15.905,22.421,47.26,0.729,0.224
2,100,44,0.492,349.247,431.275,4400,17,4417,100.386,125.74,9,16.436,16.986,13.296,93.187,1.232,0.17
2,125,6,0.842,119.235,0.0,751,11,762,127.0,76.857,8,29.036,44.23,10.043,52.181,0.575,0.571
2,150,21,0.46,0.0,0.0,3153,5,3158,150.381,132.375,5,138.508,28.053,558.238,95.818,0.874,0.192
2,175,10,0.482,0.0,256.07,1757,9,1766,176.6,126.539,5,21.711,22.769,18.89,102.537,0.714,0.333
2,200,6,0.604,0.0,0.755,1200,4,1204,200.667,100.266,2,57.119,79.382,1.46,64.397,0.499,0.25
2,225,5,1.036,0.0,0.78,1147,5,1152,230.4,67.512,3,38.423,20.533,56.313,55.342,0.254,0.375
