passnum,fr,pellets,fr_irt,uor_irt,uol_irt,fr_resps,uo_resps,resps,r_SR,fr_runrate,uo_total,prp,fr_prp,uo_prp,fr_total_Rate,sr_rate,to_sr
1,25,75,0.384,0.0,0.0,1875,1,1876,25.013,162.775,1,4.569,4.367,19.51,110.913,6.424,0.013
1,50,75,0.408,0.0,0.0,3750,0,3750,50.0,149.919,0,6.531,6.531,,113.383,2.958,0.0
1,75,75,0.458,0.0,0.0,5625,0,5625,75.0,132.75,0,10.384,10.384,,101.702,1.746,0.0
1,100,75,0.46,0.0,0.0,7500,0,7500,100.0,131.667,0,10.848,10.848,,106.573,1.299,0.0
1,125,48,0.492,0.0,0.0,6001,0,6001,125.021,122.913,0,27.152,27.152,,84.837,0.983,0.0
1,150,29,0.554,0.0,0.0,4351,1,4352,150.069,109.334,1,60.369,62.26,5.53,61.929,0.727,0.033
1,175,17,0.623,0.0,0.0,2979,1,2980,175.294,97.544,1,96.566,101.518,12.39,49.92,0.553,0.056
1,200,8,0.98,478.72,377.41,1634,43,1677,209.625,70.056,33,14.643,24.577,11.332,55.984,0.301,0.805
1,225,9,1.354,0.0,2.33,2029,28,2057,228.556,49.498,6,94.758,127.936,50.52,32.406,0.198,0.4
2,25,75,0.361,0.0,3.104,1875,10,1885,25.133,173.649,5,3.556,3.581,2.605,122.99,6.834,0.063
2,50,75,0.415,0.0,0.0,3750,0,3750,50.0,147.545,0,7.261,7.261,,108.887,2.912,0.0
2,75,75,0.436,0.0,0.649,5625,11,5636,75.147,139.597,2,11.421,11.252,17.5,104.206,1.836,0.026
2,100,43,0.488,1608.023,365.26,4301,24,4325,100.581,128.362,12,41.117,43.322,26.422,67.132,1.241,0.218
2,125,18,1.22,0.0,183.48,2252,18,2270,126.111,116.374,11,79.327,22.771,179.872,43.719,0.396,0.379
2,150,13,0.972,0.0,1.494,1955,10,1965,151.154,72.547,5,129.412,160.603,54.554,30.627,0.414,0.278
2,175,2,0.77,7.77,5.015,392,14,406,203.0,93.687,6,22.066,23.555,21.073,67.889,0.401,0.75
2,200,6,2.857,0.0,0.0,1211,1,1212,202.0,21.271,1,39.866,42.568,23.65,19.418,0.105,0.143
2,225,3,0.805,0.0,0.424,703,8,711,237.0,76.699,3,65.244,104.327,6.62,48.176,0.32,0.5
