fr,runnum,pellets,,fr_irt,,uor_irt,,uol_irt,,fr_resps,,uo_resps,,resps,,r_SR,,fr_runrate,,uo_total,,prp,,fr_prp,,uo_prp,,fr_total_Rate,,sr_rate,,iri,
25,1,75,75,0.384,0.361,0,0,0,3.104,1875,1875,1,10,1876,1885,25.013,25.133,162.775,173.649,1,5,4.569,3.556,4.367,3.581,19.51,2.605,110.913,122.99,6.424,6.834,9.34,8.779
50,2,75,75,0.408,0.415,0,0,0,0,3750,3750,0,0,3750,3750,50,50,149.919,147.545,0,0,6.531,7.261,6.531,7.261,,,113.383,108.887,2.958,2.912,20.281,20.608
75,3,75,75,0.458,0.436,0,0,0,0.649,5625,5625,0,11,5625,5636,75,75.147,132.75,139.597,0,2,10.384,11.421,10.384,11.252,,17.5,101.702,104.206,1.746,1.836,34.356,32.671
100,4,75,43,0.46,0.488,0,1608.023,0,365.26,7500,4301,0,24,7500,4325,100,100.581,131.667,128.362,0,12,10.848,41.117,10.848,43.322,,26.422,106.573,67.132,1.299,1.241,46.185,48.35
125,5,48,18,0.492,1.22,0,0,0,183.48,6001,2252,0,18,6001,2270,125.021,126.111,122.913,116.374,0,11,27.152,79.327,27.152,22.771,,179.872,84.837,43.719,0.983,0.396,61.029,151.364
150,6,29,13,0.554,0.972,0,0,0,1.494,4351,1955,1,10,4352,1965,150.069,151.154,109.334,72.547,1,5,60.369,129.412,62.26,160.603,5.53,54.554,61.929,30.627,0.727,0.414,82.527,145.058
175,7,17,,0.623,,0,,0,,2979,,1,,2980,,175.294,,97.544,,1,,96.566,,101.518,,12.39,,49.92,,0.553,,108.518,
200,8,8,,0.98,,478.72,,377.41,,1634,,43,,1677,,209.625,,70.056,,33,,14.643,,24.577,,11.332,,55.984,,0.301,,199.095,
225,9,9,,1.354,,0,,2.33,,2029,,28,,2057,,228.556,,49.498,,6,,94.758,,127.936,,50.52,,32.406,,0.198,,303.687,
