ycol,frmain,frr25,frr100,pellets25,pellets100,toi25,toi100,tor25,tor100
1,0.0,0.0,,,,,,,
2,6.28,6.28,,,,,,,
3,8.5,8.5,,,,,,,
4,9.69,9.69,,,,,,,
5,10.0,10.0,,,,,,,
6,10.54,10.54,,,,,,,
7,10.81,10.81,,,,,,,
8,11.62,11.62,,,,,,,
9,12.92,12.92,,,,,,,
10,14.52,14.52,,,,,,,
11,14.96,14.96,,,,,,,
12,15.47,15.47,,,,,,,
13,16.84,16.84,,,,,,,
14,17.12,17.12,,,,,,,
15,17.26,17.26,,,,,,,
16,17.55,17.55,,,,,,,
17,18.16,18.16,,,,,,,
18,18.32,18.32,,,,,,,
19,20.51,20.51,,,,,,,
20,21.37,21.37,,,,,,,
21,21.76,21.76,,,,,,,
22,22.46,22.46,,,,,,,
23,24.21,24.21,,,,,,,
24,25.01,25.01,,,,,,,
25,29.04,29.04,,,,,,,
26,30.5,30.5,,,,,,,
27,30.5,,,30.5,,,,,
28,45.26,45.26,,,,,,,
29,46.23,46.23,,,,,,,
30,47.14,47.14,,,,,,,
31,47.6,47.6,,,,,,,
32,47.9,47.9,,,,,,,
33,48.39,48.39,,,,,,,
34,48.7,48.7,,,,,,,
35,50.39,50.39,,,,,,,
36,51.07,51.07,,,,,,,
37,51.14,51.14,,,,,,,
38,51.48,51.48,,,,,,,
39,52.15,52.15,,,,,,,
40,54.17,54.17,,,,,,,
41,55.02,55.02,,,,,,,
42,55.81,55.81,,,,,,,
43,58.14,58.14,,,,,,,
44,58.38,58.38,,,,,,,
45,58.63,58.63,,,,,,,
46,58.75,58.75,,,,,,,
47,59.05,59.05,,,,,,,
48,59.32,59.32,,,,,,,
49,59.56,59.56,,,,,,,
50,59.74,59.74,,,,,,,
51,60.07,60.07,,,,,,,
52,60.24,60.24,,,,,,,
53,60.24,,,60.24,,,,,
54,99.58,99.58,,,,,,,
55,100.01,100.01,,,,,,,
56,101.56,101.56,,,,,,,
57,102.9,102.9,,,,,,,
58,103.38,103.38,,,,,,,
59,105.18,105.18,,,,,,,
60,106.03,106.03,,,,,,,
61,107.46,107.46,,,,,,,
62,109.11,109.11,,,,,,,
63,109.63,109.63,,,,,,,
64,110.01,110.01,,,,,,,
65,111.1,111.1,,,,,,,
66,111.63,111.63,,,,,,,
67,113.22,113.22,,,,,,,
68,114.18,114.18,,,,,,,
69,114.34,114.34,,,,,,,
70,115.13,115.13,,,,,,,
71,115.37,115.37,,,,,,,
72,115.73,115.73,,,,,,,
73,117.17,117.17,,,,,,,
74,119.85,119.85,,,,,,,
75,120.03,120.03,,,,,,,
76,120.27,120.27,,,,,,,
