ycol,frmain,frr25,frr100,pellets25,pellets100,toi25,toi100,tor25,tor100
1,0.0,0.0,,,,,,,
2,1.87,1.87,,,,,,,
3,2.76,2.76,,,,,,,
4,3.16,3.16,,,,,,,
5,3.38,3.38,,,,,,,
6,4.82,4.82,,,,,,,
7,5.44,5.44,,,,,,,
8,5.75,5.75,,,,,,,
9,7.0,7.0,,,,,,,
10,7.36,7.36,,,,,,,
11,7.91,7.91,,,,,,,
12,9.13,9.13,,,,,,,
13,9.71,9.71,,,,,,,
14,9.89,9.89,,,,,,,
15,10.21,10.21,,,,,,,
16,11.54,11.54,,,,,,,
17,11.97,11.97,,,,,,,
18,12.28,12.28,,,,,,,
19,12.59,12.59,,,,,,,
20,12.79,12.79,,,,,,,
21,13.22,13.22,,,,,,,
22,13.45,13.45,,,,,,,
23,14.47,14.47,,,,,,,
24,14.72,14.72,,,,,,,
25,14.8,14.8,,,,,,,
26,14.9,14.9,,,,,,,
27,14.9,,,14.9,,,,,
28,31.55,31.55,,,,,,,
29,47.2,47.2,,,,,,,
30,48.03,48.03,,,,,,,
31,48.79,48.79,,,,,,,
32,49.4,49.4,,,,,,,
33,50.0,50.0,,,,,,,
34,51.11,51.11,,,,,,,
35,51.59,51.59,,,,,,,
36,51.74,51.74,,,,,,,
37,51.99,51.99,,,,,,,
38,52.14,52.14,,,,,,,
39,52.27,52.27,,,,,,,
40,53.54,53.54,,,,,,,
41,54.29,54.29,,,,,,,
42,54.56,54.56,,,,,,,
43,54.95,54.95,,,,,,,
44,55.38,55.38,,,,,,,
45,56.55,56.55,,,,,,,
46,57.08,57.08,,,,,,,
47,57.31,57.31,,,,,,,
48,57.49,57.49,,,,,,,
49,57.87,57.87,,,,,,,
50,58.3,58.3,,,,,,,
51,58.51,58.51,,,,,,,
52,59.66,59.66,,,,,,,
53,59.66,,,59.66,,,,,
54,85.68,85.68,,,,,,,
55,86.34,86.34,,,,,,,
56,86.62,86.62,,,,,,,
57,86.76,86.76,,,,,,,
58,86.83,86.83,,,,,,,
59,87.3,87.3,,,,,,,
60,87.52,87.52,,,,,,,
61,87.74,87.74,,,,,,,
62,87.95,87.95,,,,,,,
63,88.88,88.88,,,,,,,
64,89.11,89.11,,,,,,,
65,89.48,89.48,,,,,,,
66,89.65,89.65,,,,,,,
67,89.73,89.73,,,,,,,
68,90.04,90.04,,,,,,,
69,90.5,90.5,,,,,,,
70,90.75,90.75,,,,,,,
71,90.91,90.91,,,,,,,
72,91.22,91.22,,,,,,,
73,91.99,91.99,,,,,,,
74,92.37,92.37,,,,,,,
75,92.95,92.95,,,,,,,
76,93.06,93.06,,,,,,,
77,93.19,93.19,,,,,,,
78,93.45,93.45,,,,,,,
79,93.45,,,93.45,,,,,
80,117.32,117.32,,,,,,,
81,130.93,130.93,,,,,,,
82,135.31,135.31,,,,,,,
83,136.41,136.41,,,,,,,
84,136.61,136.61,,,,,,,
85,136.9,136.9,,,,,,,
86,137.34,137.34,,,,,,,
87,137.83,137.83,,,,,,,
88,137.99,137.99,,,,,,,
89,138.41,138.41,,,,,,,
90,139.18,139.18,,,,,,,
91,139.59,139.59,,,,,,,
92,139.93,139.93,,,,,,,
93,140.42,140.42,,,,,,,
94,140.67,140.67,,,,,,,
95,141.82,141.82,,,,,,,
96,142.35,142.35,,,,,,,
97,142.52,142.52,,,,,,,
98,142.76,142.76,,,,,,,
99,143.89,143.89,,,,,,,
100,144.02,144.02,,,,,,,
101,144.08,144.08,,,,,,,
102,144.24,144.24,,,,,,,
103,144.3,144.3,,,,,,,
104,144.38,144.38,,,,,,,
105,144.38,,,144.38,,,,,
106,162.9,162.9,,,,,,,
107,163.77,163.77,,,,,,,
108,164.77,164.77,,,,,,,
109,164.84,164.84,,,,,,,
110,164.99,164.99,,,,,,,
111,165.1,165.1,,,,,,,
112,165.39,165.39,,,,,,,
113,167.06,167.06,,,,,,,
114,167.2,167.2,,,,,,,
115,167.45,167.45,,,,,,,
116,167.57,167.57,,,,,,,
117,167.67,167.67,,,,,,,
118,167.84,167.84,,,,,,,
119,167.99,167.99,,,,,,,
120,168.51,168.51,,,,,,,
121,168.93,168.93,,,,,,,
122,169.59,169.59,,,,,,,
123,170.48,170.48,,,,,,,
124,171.0,171.0,,,,,,,
125,171.17,171.17,,,,,,,
126,171.68,171.68,,,,,,,
127,171.82,171.82,,,,,,,
128,171.96,171.96,,,,,,,
129,172.24,172.24,,,,,,,
130,173.68,173.68,,,,,,,
131,173.68,,,173.68,,,,,
132,180.09,,180.09,,,,,,
133,187.3,,187.3,,,,,,
134,187.63,,187.63,,,,,,
135,187.92,,187.92,,,,,,
136,189.77,,189.77,,,,,,
137,190.24,,190.24,,,,,,
138,190.53,,190.53,,,,,,
139,190.78,,190.78,,,,,,
140,191.24,,191.24,,,,,,
141,192.51,,192.51,,,,,,
142,192.97,,192.97,,,,,,
143,193.04,,193.04,,,,,,
144,193.26,,193.26,,,,,,
145,193.36,,193.36,,,,,,
146,193.81,,193.81,,,,,,
147,195.04,,195.04,,,,,,
148,195.23,,195.23,,,,,,
149,195.51,,195.51,,,,,,
150,195.69,,195.69,,,,,,
151,195.84,,195.84,,,,,,
152,195.99,,195.99,,,,,,
153,196.41,,196.41,,,,,,
154,196.89,,196.89,,,,,,
155,198.09,,198.09,,,,,,
156,198.42,,198.42,,,,,,
157,198.78,,198.78,,,,,,
158,198.86,,198.86,,,,,,
159,199.25,,199.25,,,,,,
160,199.39,,199.39,,,,,,
161,199.56,,199.56,,,,,,
162,199.87,,199.87,,,,,,
163,200.33,,200.33,,,,,,
164,200.63,,200.63,,,,,,
165,201.36,,201.36,,,,,,
166,202.59,,202.59,,,,,,
167,202.72,,202.72,,,,,,
168,202.79,,202.79,,,,,,
169,202.93,,202.93,,,,,,
170,203.07,,203.07,,,,,,
171,203.16,,203.16,,,,,,
172,203.26,,203.26,,,,,,
173,203.32,,203.32,,,,,,
174,203.55,,203.55,,,,,,
175,203.65,,203.65,,,,,,
176,203.83,,203.83,,,,,,
177,204.03,,204.03,,,,,,
178,204.33,,204.33,,,,,,
179,204.63,,204.63,,,,,,
180,205.09,,205.09,,,,,,
181,206.38,,206.38,,,,,,
182,207.01,,207.01,,,,,,
183,207.42,,207.42,,,,,,
184,207.49,,207.49,,,,,,
185,207.61,,207.61,,,,,,
186,207.74,,207.74,,,,,,
187,207.93,,207.93,,,,,,
188,208.05,,208.05,,,,,,
189,208.22,,208.22,,,,,,
190,208.33,,208.33,,,,,,
191,208.63,,208.63,,,,,,
192,208.86,,208.86,,,,,,
193,209.25,,209.25,,,,,,
194,210.64,,210.64,,,,,,
195,211.01,,211.01,,,,,,
196,211.09,,211.09,,,,,,
197,211.16,,211.16,,,,,,
198,211.36,,211.36,,,,,,
199,211.44,,211.44,,,,,,
200,211.53,,211.53,,,,,,
201,211.91,,211.91,,,,,,
202,212.1,,212.1,,,,,,
203,212.4,,212.4,,,,,,
204,212.66,,212.66,,,,,,
205,214.9,,214.9,,,,,,
206,215.06,,215.06,,,,,,
207,215.12,,215.12,,,,,,
208,215.22,,215.22,,,,,,
209,215.27,,215.27,,,,,,
210,215.34,,215.34,,,,,,
211,215.43,,215.43,,,,,,
212,215.93,,215.93,,,,,,
213,216.22,,216.22,,,,,,
214,218.23,,218.23,,,,,,
215,218.5,,218.5,,,,,,
216,218.82,,218.82,,,,,,
217,219.27,,219.27,,,,,,
218,219.58,,219.58,,,,,,
219,219.77,,219.77,,,,,,
220,220.5,,220.5,,,,,,
221,221.98,,221.98,,,,,,
222,222.44,,222.44,,,,,,
223,223.42,,223.42,,,,,,
224,223.84,,223.84,,,,,,
225,223.92,,223.92,,,,,,
226,224.02,,224.02,,,,,,
227,224.06,,224.06,,,,,,
228,224.19,,224.19,,,,,,
229,224.32,,224.32,,,,,,
230,224.51,,224.51,,,,,,
231,224.65,,224.65,,,,,,
232,224.81,,224.81,,,,,,
233,224.81,,,,224.81,,,,
234,256.08,,256.08,,,,,,
235,256.55,,256.55,,,,,,
236,257.89,,,,,,257.89,,
237,267.89,,,,,,267.89,,
238,271.42,,271.42,,,,,,
239,273.25,,273.25,,,,,,
240,274.24,,274.24,,,,,,
241,274.42,,274.42,,,,,,
242,274.5,,274.5,,,,,,
243,275.88,,275.88,,,,,,
244,276.34,,276.34,,,,,,
245,276.58,,276.58,,,,,,
246,277.03,,277.03,,,,,,
247,278.23,,278.23,,,,,,
248,278.59,,278.59,,,,,,
249,279.03,,279.03,,,,,,
250,280.3,,280.3,,,,,,
251,280.71,,280.71,,,,,,
252,280.81,,280.81,,,,,,
253,280.94,,280.94,,,,,,
254,281.7,,281.7,,,,,,
255,281.97,,281.97,,,,,,
256,283.5,,283.5,,,,,,
257,283.66,,283.66,,,,,,
258,283.9,,283.9,,,,,,
259,284.14,,284.14,,,,,,
260,284.75,,284.75,,,,,,
261,285.04,,285.04,,,,,,
262,286.84,,286.84,,,,,,
263,288.31,,288.31,,,,,,
264,288.54,,288.54,,,,,,
265,288.79,,288.79,,,,,,
266,289.39,,289.39,,,,,,
267,289.61,,289.61,,,,,,
268,289.77,,289.77,,,,,,
269,290.05,,290.05,,,,,,
270,291.65,,291.65,,,,,,
271,293.15,,293.15,,,,,,
272,293.5,,293.5,,,,,,
273,293.58,,293.58,,,,,,
274,293.68,,293.68,,,,,,
275,294.3,,294.3,,,,,,
276,294.61,,294.61,,,,,,
277,295.09,,295.09,,,,,,
278,296.99,,296.99,,,,,,
279,299.43,,299.43,,,,,,
280,299.76,,299.76,,,,,,
281,299.97,,299.97,,,,,,
282,300.54,,300.54,,,,,,
283,300.66,,300.66,,,,,,
284,301.06,,301.06,,,,,,
285,303.91,,303.91,,,,,,
286,304.63,,304.63,,,,,,
287,304.82,,304.82,,,,,,
288,307.29,,307.29,,,,,,
289,307.69,,307.69,,,,,,
290,307.78,,307.78,,,,,,
291,308.18,,308.18,,,,,,
292,308.51,,308.51,,,,,,
293,309.06,,309.06,,,,,,
294,309.3,,309.3,,,,,,
295,309.66,,309.66,,,,,,
296,310.05,,310.05,,,,,,
297,311.22,,311.22,,,,,,
298,311.57,,311.57,,,,,,
299,311.7,,311.7,,,,,,
300,311.79,,311.79,,,,,,
301,311.85,,311.85,,,,,,
302,311.92,,311.92,,,,,,
303,311.98,,311.98,,,,,,
304,312.03,,312.03,,,,,,
305,312.1,,312.1,,,,,,
306,312.2,,312.2,,,,,,
307,312.27,,312.27,,,,,,
308,312.77,,312.77,,,,,,
309,313.09,,313.09,,,,,,
310,313.34,,313.34,,,,,,
311,314.96,,314.96,,,,,,
312,315.17,,315.17,,,,,,
313,315.68,,315.68,,,,,,
314,316.11,,316.11,,,,,,
315,316.27,,316.27,,,,,,
316,316.72,,316.72,,,,,,
317,318.26,,318.26,,,,,,
318,318.4,,318.4,,,,,,
319,318.55,,318.55,,,,,,
320,318.61,,318.61,,,,,,
321,318.67,,318.67,,,,,,
322,318.73,,318.73,,,,,,
323,318.93,,318.93,,,,,,
324,319.35,,319.35,,,,,,
325,321.03,,321.03,,,,,,
326,321.38,,321.38,,,,,,
327,321.53,,321.53,,,,,,
328,321.59,,321.59,,,,,,
329,321.68,,321.68,,,,,,
330,321.74,,321.74,,,,,,
331,321.82,,321.82,,,,,,
332,321.93,,321.93,,,,,,
333,322.03,,322.03,,,,,,
334,322.11,,322.11,,,,,,
335,322.18,,322.18,,,,,,
336,322.18,,,,322.18,,,,
337,326.03,,326.03,,,,,,
338,326.29,,326.29,,,,,,
339,326.56,,326.56,,,,,,
340,326.98,,326.98,,,,,,
341,327.24,,327.24,,,,,,
342,327.36,,327.36,,,,,,
343,327.44,,327.44,,,,,,
344,327.89,,327.89,,,,,,
345,330.04,,330.04,,,,,,
346,330.39,,330.39,,,,,,
347,330.87,,330.87,,,,,,
348,331.31,,331.31,,,,,,
349,331.47,,331.47,,,,,,
350,332.64,,332.64,,,,,,
351,333.04,,333.04,,,,,,
352,333.33,,333.33,,,,,,
353,333.75,,333.75,,,,,,
354,334.19,,334.19,,,,,,
355,335.56,,335.56,,,,,,
356,335.97,,335.97,,,,,,
357,336.05,,336.05,,,,,,
358,336.36,,336.36,,,,,,
359,336.97,,336.97,,,,,,
360,337.24,,337.24,,,,,,
361,337.57,,337.57,,,,,,
362,339.05,,339.05,,,,,,
363,339.97,,339.97,,,,,,
364,340.56,,340.56,,,,,,
365,340.89,,340.89,,,,,,
366,340.98,,340.98,,,,,,
367,341.04,,341.04,,,,,,
368,341.13,,341.13,,,,,,
369,341.38,,341.38,,,,,,
370,341.57,,341.57,,,,,,
371,341.68,,341.68,,,,,,
372,343.16,,343.16,,,,,,
373,343.43,,343.43,,,,,,
374,343.81,,343.81,,,,,,
375,343.87,,343.87,,,,,,
376,343.96,,343.96,,,,,,
377,344.05,,344.05,,,,,,
378,344.26,,344.26,,,,,,
379,346.58,,346.58,,,,,,
380,346.76,,346.76,,,,,,
381,346.83,,346.83,,,,,,
382,346.98,,346.98,,,,,,
383,347.07,,347.07,,,,,,
384,347.14,,347.14,,,,,,
385,347.21,,347.21,,,,,,
386,347.38,,347.38,,,,,,
387,347.99,,347.99,,,,,,
388,348.27,,348.27,,,,,,
389,348.56,,348.56,,,,,,
390,348.83,,348.83,,,,,,
391,351.05,,351.05,,,,,,
392,351.17,,351.17,,,,,,
393,351.57,,351.57,,,,,,
394,351.65,,351.65,,,,,,
395,351.74,,351.74,,,,,,
