ycol,frmain,frr25,frr100,pellets25,pellets100,toi25,toi100,tor25,tor100
1,0.0,0.0,,,,,,,
2,4.43,4.43,,,,,,,
3,7.21,7.21,,,,,,,
4,7.99,7.99,,,,,,,
5,9.38,9.38,,,,,,,
6,9.6,9.6,,,,,,,
7,10.23,10.23,,,,,,,
8,12.21,12.21,,,,,,,
9,12.53,12.53,,,,,,,
10,13.24,13.24,,,,,,,
11,13.92,13.92,,,,,,,
12,14.27,14.27,,,,,,,
13,14.7,14.7,,,,,,,
14,15.31,15.31,,,,,,,
15,15.69,15.69,,,,,,,
16,16.46,16.46,,,,,,,
17,16.69,16.69,,,,,,,
18,16.89,16.89,,,,,,,
19,17.38,17.38,,,,,,,
20,17.99,17.99,,,,,,,
21,18.21,18.21,,,,,,,
22,18.62,18.62,,,,,,,
23,19.07,19.07,,,,,,,
24,19.3,19.3,,,,,,,
25,19.62,19.62,,,,,,,
26,20.05,20.05,,,,,,,
27,20.05,,,20.05,,,,,
28,23.32,23.32,,,,,,,
29,23.73,23.73,,,,,,,
30,24.09,24.09,,,,,,,
31,24.37,24.37,,,,,,,
32,24.55,24.55,,,,,,,
33,24.8,24.8,,,,,,,
34,25.08,25.08,,,,,,,
35,25.35,25.35,,,,,,,
36,25.43,25.43,,,,,,,
37,25.91,25.91,,,,,,,
38,26.3,26.3,,,,,,,
39,26.83,26.83,,,,,,,
40,27.21,27.21,,,,,,,
41,27.47,27.47,,,,,,,
42,28.16,28.16,,,,,,,
43,28.49,28.49,,,,,,,
44,28.9,28.9,,,,,,,
45,29.4,29.4,,,,,,,
46,29.98,29.98,,,,,,,
47,30.21,30.21,,,,,,,
48,30.46,30.46,,,,,,,
49,30.77,30.77,,,,,,,
50,31.02,31.02,,,,,,,
51,31.47,31.47,,,,,,,
52,31.81,31.81,,,,,,,
53,31.81,,,31.81,,,,,
54,34.32,34.32,,,,,,,
55,34.69,34.69,,,,,,,
56,35.27,35.27,,,,,,,
57,35.51,35.51,,,,,,,
58,35.7,35.7,,,,,,,
59,35.97,35.97,,,,,,,
60,36.29,36.29,,,,,,,
61,36.83,36.83,,,,,,,
62,37.26,37.26,,,,,,,
63,37.56,37.56,,,,,,,
64,37.93,37.93,,,,,,,
65,38.33,38.33,,,,,,,
66,38.96,38.96,,,,,,,
67,39.09,39.09,,,,,,,
68,39.34,39.34,,,,,,,
69,39.77,39.77,,,,,,,
70,40.15,40.15,,,,,,,
71,40.57,40.57,,,,,,,
72,41.33,41.33,,,,,,,
73,41.58,41.58,,,,,,,
74,41.88,41.88,,,,,,,
75,42.21,42.21,,,,,,,
76,42.42,42.42,,,,,,,
77,43.63,43.63,,,,,,,
78,44.94,44.94,,,,,,,
79,44.94,,,44.94,,,,,
80,47.07,47.07,,,,,,,
81,47.95,47.95,,,,,,,
82,48.25,48.25,,,,,,,
83,48.64,48.64,,,,,,,
84,49.1,49.1,,,,,,,
85,49.61,49.61,,,,,,,
86,50.45,50.45,,,,,,,
87,50.85,50.85,,,,,,,
88,51.7,51.7,,,,,,,
89,52.15,52.15,,,,,,,
90,52.48,52.48,,,,,,,
91,52.69,52.69,,,,,,,
92,53.01,53.01,,,,,,,
93,53.36,53.36,,,,,,,
94,54.12,54.12,,,,,,,
95,56.24,56.24,,,,,,,
96,57.29,57.29,,,,,,,
97,57.56,57.56,,,,,,,
98,57.87,57.87,,,,,,,
99,58.53,58.53,,,,,,,
100,58.64,58.64,,,,,,,
101,60.04,60.04,,,,,,,
102,60.2,60.2,,,,,,,
