ycol,frmain,frr25,frr100,pellets25,pellets100,toi25,toi100,tor25,tor100
1,0.0,0.0,,,,,,,
2,9.83,9.83,,,,,,,
3,10.4,10.4,,,,,,,
4,10.86,10.86,,,,,,,
5,11.06,11.06,,,,,,,
6,11.46,11.46,,,,,,,
7,12.3,12.3,,,,,,,
8,12.47,12.47,,,,,,,
9,13.46,13.46,,,,,,,
10,13.94,13.94,,,,,,,
11,14.32,14.32,,,,,,,
12,14.6,14.6,,,,,,,
13,15.12,15.12,,,,,,,
14,15.23,15.23,,,,,,,
15,15.48,15.48,,,,,,,
16,15.65,15.65,,,,,,,
17,16.16,16.16,,,,,,,
18,16.65,16.65,,,,,,,
19,17.01,17.01,,,,,,,
20,17.51,17.51,,,,,,,
21,17.76,17.76,,,,,,,
22,18.08,18.08,,,,,,,
23,18.79,18.79,,,,,,,
24,19.07,19.07,,,,,,,
25,19.4,19.4,,,,,,,
26,19.62,19.62,,,,,,,
27,19.62,,,19.62,,,,,
28,25.92,25.92,,,,,,,
29,26.51,26.51,,,,,,,
30,27.42,27.42,,,,,,,
31,27.74,27.74,,,,,,,
32,28.07,28.07,,,,,,,
33,28.65,28.65,,,,,,,
34,29.73,29.73,,,,,,,
35,30.05,30.05,,,,,,,
36,30.24,30.24,,,,,,,
37,30.5,30.5,,,,,,,
38,30.71,30.71,,,,,,,
39,30.98,30.98,,,,,,,
40,31.28,31.28,,,,,,,
41,31.43,31.43,,,,,,,
42,31.82,31.82,,,,,,,
43,32.06,32.06,,,,,,,
44,32.46,32.46,,,,,,,
45,33.37,33.37,,,,,,,
46,33.52,33.52,,,,,,,
47,33.89,33.89,,,,,,,
48,35.47,35.47,,,,,,,
49,36.16,36.16,,,,,,,
50,36.62,36.62,,,,,,,
51,36.81,36.81,,,,,,,
52,37.14,37.14,,,,,,,
53,37.14,,,37.14,,,,,
54,39.69,39.69,,,,,,,
55,40.12,40.12,,,,,,,
56,40.45,40.45,,,,,,,
