ycol,frmain,frr25,frr100,pellets25,pellets100,toi25,toi100,tor25,tor100
1,0.0,0.0,,,,,,,
2,30.41,30.41,,,,,,,
3,44.22,44.22,,,,,,,
4,65.21,,,,,65.21,,,
5,75.21,,,,,75.21,,,
6,114.76,114.76,,,,,,,
7,116.01,116.01,,,,,,,
8,118.97,118.97,,,,,,,
9,180.09,,180.09,,,,,,
10,293.06,,293.06,,,,,,
11,295.33,,295.33,,,,,,
12,295.66,,295.66,,,,,,
13,295.96,,295.96,,,,,,
14,296.66,,296.66,,,,,,
15,299.18,,299.18,,,,,,
16,299.5,,299.5,,,,,,
17,299.88,,299.88,,,,,,
18,300.37,,300.37,,,,,,
19,300.99,,300.99,,,,,,
20,302.68,,302.68,,,,,,
21,303.44,,303.44,,,,,,
22,303.67,,303.67,,,,,,
23,304.19,,304.19,,,,,,
24,304.68,,304.68,,,,,,
25,305.29,,305.29,,,,,,
26,305.56,,305.56,,,,,,
27,306.28,,306.28,,,,,,
28,307.39,,307.39,,,,,,
29,307.7,,307.7,,,,,,
30,309.2,,309.2,,,,,,
31,309.39,,309.39,,,,,,
32,309.68,,309.68,,,,,,
33,310.51,,310.51,,,,,,
34,311.67,,311.67,,,,,,
35,312.27,,312.27,,,,,,
36,313.01,,313.01,,,,,,
37,313.21,,313.21,,,,,,
38,313.41,,313.41,,,,,,
39,313.75,,313.75,,,,,,
40,314.3,,314.3,,,,,,
41,315.71,,315.71,,,,,,
42,315.89,,315.89,,,,,,
43,316.34,,316.34,,,,,,
44,316.73,,316.73,,,,,,
45,317.07,,317.07,,,,,,
46,317.45,,317.45,,,,,,
47,318.15,,318.15,,,,,,
48,318.65,,318.65,,,,,,
49,319.11,,319.11,,,,,,
50,319.6,,319.6,,,,,,
51,320.75,,320.75,,,,,,
52,321.13,,321.13,,,,,,
53,321.91,,321.91,,,,,,
54,322.18,,322.18,,,,,,
55,322.38,,322.38,,,,,,
56,322.67,,322.67,,,,,,
57,323.04,,323.04,,,,,,
58,323.47,,323.47,,,,,,
59,324.05,,324.05,,,,,,
60,324.65,,324.65,,,,,,
61,325.07,,325.07,,,,,,
62,325.63,,325.63,,,,,,
63,325.97,,325.97,,,,,,
64,326.81,,326.81,,,,,,
65,327.02,,327.02,,,,,,
66,327.22,,327.22,,,,,,
67,327.54,,327.54,,,,,,
68,328.13,,328.13,,,,,,
69,328.37,,328.37,,,,,,
70,329.15,,329.15,,,,,,
71,329.37,,329.37,,,,,,
72,329.56,,329.56,,,,,,
73,330.23,,330.23,,,,,,
74,330.52,,330.52,,,,,,
75,330.8,,330.8,,,,,,
76,331.07,,331.07,,,,,,
77,331.65,,331.65,,,,,,
78,332.22,,332.22,,,,,,
