ycol,frmain,frr25,frr100,pellets25,pellets100,toi25,toi100,tor25,tor100
1,0.0,0.0,,,,,,,
2,2.22,2.22,,,,,,,
3,3.24,3.24,,,,,,,
4,3.57,3.57,,,,,,,
5,4.06,4.06,,,,,,,
6,4.27,4.27,,,,,,,
7,4.51,4.51,,,,,,,
8,4.79,4.79,,,,,,,
9,5.1,5.1,,,,,,,
10,5.47,5.47,,,,,,,
11,5.85,5.85,,,,,,,
12,6.07,6.07,,,,,,,
13,6.34,6.34,,,,,,,
14,6.69,6.69,,,,,,,
15,6.94,6.94,,,,,,,
16,7.24,7.24,,,,,,,
17,7.52,7.52,,,,,,,
18,7.88,7.88,,,,,,,
19,8.34,8.34,,,,,,,
20,9.45,9.45,,,,,,,
21,9.75,9.75,,,,,,,
22,10.24,10.24,,,,,,,
23,10.5,10.5,,,,,,,
24,10.7,10.7,,,,,,,
25,10.92,10.92,,,,,,,
26,11.47,11.47,,,,,,,
27,11.47,,,11.47,,,,,
28,23.44,23.44,,,,,,,
29,26.3,26.3,,,,,,,
30,26.43,26.43,,,,,,,
31,26.77,26.77,,,,,,,
32,27.15,27.15,,,,,,,
33,27.48,27.48,,,,,,,
34,27.9,27.9,,,,,,,
35,28.32,28.32,,,,,,,
36,28.61,28.61,,,,,,,
37,28.82,28.82,,,,,,,
38,29.06,29.06,,,,,,,
39,29.39,29.39,,,,,,,
40,29.64,29.64,,,,,,,
41,29.86,29.86,,,,,,,
42,30.06,30.06,,,,,,,
43,30.29,30.29,,,,,,,
44,30.61,30.61,,,,,,,
45,30.96,30.96,,,,,,,
46,31.19,31.19,,,,,,,
47,31.46,31.46,,,,,,,
48,31.77,31.77,,,,,,,
49,32.0,32.0,,,,,,,
50,32.34,32.34,,,,,,,
51,32.55,32.55,,,,,,,
52,33.55,33.55,,,,,,,
53,33.55,,,33.55,,,,,
54,41.92,41.92,,,,,,,
55,42.06,42.06,,,,,,,
56,42.28,42.28,,,,,,,
57,42.51,42.51,,,,,,,
58,42.7,42.7,,,,,,,
59,43.07,43.07,,,,,,,
60,43.52,43.52,,,,,,,
61,43.94,43.94,,,,,,,
62,44.2,44.2,,,,,,,
63,44.46,44.46,,,,,,,
64,44.74,44.74,,,,,,,
65,44.94,44.94,,,,,,,
66,45.29,45.29,,,,,,,
67,45.63,45.63,,,,,,,
68,45.85,45.85,,,,,,,
69,46.07,46.07,,,,,,,
70,46.45,46.45,,,,,,,
71,46.77,46.77,,,,,,,
72,47.14,47.14,,,,,,,
73,47.42,47.42,,,,,,,
74,47.68,47.68,,,,,,,
75,48.0,48.0,,,,,,,
