ycol,frmain,frr25,frr100,pellets25,pellets100,toi25,toi100,tor25,tor100
1,0.0,0.0,,,,,,,
2,1.32,1.32,,,,,,,
3,3.48,3.48,,,,,,,
4,4.59,4.59,,,,,,,
5,4.99,4.99,,,,,,,
6,5.15,5.15,,,,,,,
7,5.24,5.24,,,,,,,
8,5.85,5.85,,,,,,,
9,6.12,6.12,,,,,,,
10,6.25,6.25,,,,,,,
11,6.44,6.44,,,,,,,
12,7.38,7.38,,,,,,,
13,8.02,8.02,,,,,,,
14,8.16,8.16,,,,,,,
15,8.39,8.39,,,,,,,
16,8.44,8.44,,,,,,,
17,8.99,8.99,,,,,,,
18,9.16,9.16,,,,,,,
19,10.81,10.81,,,,,,,
20,11.16,11.16,,,,,,,
21,11.31,11.31,,,,,,,
22,11.75,11.75,,,,,,,
23,11.86,11.86,,,,,,,
24,12.16,12.16,,,,,,,
25,13.28,13.28,,,,,,,
26,13.4,13.4,,,,,,,
27,13.4,,,13.4,,,,,
28,31.52,31.52,,,,,,,
29,32.33,32.33,,,,,,,
30,32.69,32.69,,,,,,,
31,33.14,33.14,,,,,,,
32,33.48,33.48,,,,,,,
33,34.02,34.02,,,,,,,
34,34.45,34.45,,,,,,,
35,35.54,35.54,,,,,,,
36,35.89,35.89,,,,,,,
37,36.17,36.17,,,,,,,
38,36.48,36.48,,,,,,,
39,36.88,36.88,,,,,,,
40,36.93,36.93,,,,,,,
41,37.14,37.14,,,,,,,
42,37.31,37.31,,,,,,,
43,37.51,37.51,,,,,,,
44,37.62,37.62,,,,,,,
45,37.97,37.97,,,,,,,
46,39.39,39.39,,,,,,,
47,39.62,39.62,,,,,,,
48,40.25,40.25,,,,,,,
49,40.33,40.33,,,,,,,
50,40.44,40.44,,,,,,,
51,41.07,41.07,,,,,,,
52,42.34,42.34,,,,,,,
53,42.34,,,42.34,,,,,
54,54.41,54.41,,,,,,,
55,85.33,85.33,,,,,,,
56,85.74,85.74,,,,,,,
57,86.59,86.59,,,,,,,
58,87.52,87.52,,,,,,,
59,88.05,88.05,,,,,,,
60,88.88,88.88,,,,,,,
61,89.37,89.37,,,,,,,
62,90.53,90.53,,,,,,,
63,91.02,91.02,,,,,,,
64,91.18,91.18,,,,,,,
65,91.22,91.22,,,,,,,
66,91.65,91.65,,,,,,,
67,93.83,93.83,,,,,,,
68,94.49,94.49,,,,,,,
69,95.85,95.85,,,,,,,
70,95.93,95.93,,,,,,,
71,96.03,96.03,,,,,,,
72,96.11,96.11,,,,,,,
73,96.44,96.44,,,,,,,
74,96.68,96.68,,,,,,,
75,96.74,96.74,,,,,,,
76,96.79,96.79,,,,,,,
77,98.1,98.1,,,,,,,
78,98.36,98.36,,,,,,,
79,98.36,,,98.36,,,,,
80,127.35,127.35,,,,,,,
81,128.32,128.32,,,,,,,
