date,fr,runnum,pellets,fr_irt,uor_irt,uol_irt,fr_resps,uo_resps,resps,r_SR,fr_rate
09/30/17,25,1,50,3.572,437.54,185.999,1225,48,1273,26.98,16.796
10/01/17,25,2,51,3.298,596.788,69.398,1250,48,1298,26.96,18.193
10/02/17,25,3,75,1.77,141.57,74.108,1875,50,1925,27.014,33.895
10/03/17,25,4,75,0.576,0.095,0.0,1875,5,1880,26.405,104.15
10/04/17,25,5,75,1.251,0.72,16.466,1875,12,1887,26.5,47.98
10/05/17,25,6,75,1.415,12.1,2.925,1875,27,1902,26.703,42.411
10/06/17,25,7,75,1.341,318.875,23.767,1875,14,1889,26.527,44.733
10/07/17,25,8,75,1.174,0.0,1.278,1875,15,1890,26.541,51.094
10/08/17,25,9,75,1.242,0.0,0.0,1875,0,1875,26.338,48.312
10/09/17,25,10,75,1.211,0.5,76.682,1875,12,1887,26.5,49.552
10/10/17,25,11,75,0.987,0.0,503.027,1875,5,1880,26.405,60.811
10/11/17,50,12,48,2.138,0.0,1.85,2396,8,2404,52.149,28.061
10/12/17,50,13,50,2.136,0.0,2.651,2450,9,2459,51.184,28.083
10/14/17,50,14,72,1.231,0.0,0.0,3556,7,3563,51.183,48.741
10/15/17,50,15,75,1.213,0.0,0.0,3750,2,3752,51.703,49.451
10/16/17,50,16,75,1.01,0.0,0.0,3750,3,3753,51.716,59.4
10/17/17,50,17,75,0.987,0.0,0.0,3750,5,3755,51.743,60.76
10/18/17,75,18,40,1.301,0.0,0.0,2940,5,2945,76.513,46.121
10/19/17,75,19,43,1.623,0.0,0.0,3150,4,3154,76.095,36.978
10/21/17,75,20,30,2.389,0.0,0.0,2191,3,2194,76.655,25.12
10/22/17,75,21,44,1.514,0.0,0.0,3226,6,3232,76.163,39.617
10/23/17,75,22,53,1.162,0.0,1.155,3900,8,3908,76.154,51.657
