date,fr,runnum,pellets,fr_irt,uor_irt,uol_irt,fr_resps,uo_resps,resps,r_SR,fr_rate
09/30/17,25,1,75,0.963,0.0,96.754,1875,23,1898,26.649,62.301
10/01/17,25,2,75,1.067,0.0,0.0,1875,2,1877,26.365,56.245
10/02/17,25,3,75,0.791,0.0,0.0,1875,0,1875,26.338,75.854
10/03/17,25,4,75,0.788,0.0,0.0,1875,0,1875,26.338,76.143
10/04/17,25,5,75,0.694,0.0,0.0,1875,0,1875,26.338,86.41
10/05/17,25,6,75,0.539,0.0,0.0,1875,1,1876,26.351,111.331
10/06/17,25,7,75,0.665,0.0,0.0,1875,0,1875,26.338,90.206
10/07/17,25,8,75,0.486,0.0,0.0,1875,0,1875,26.338,123.359
10/08/17,25,9,75,0.556,0.0,0.0,1875,0,1875,26.338,107.981
10/09/17,25,10,75,0.553,0.0,0.0,1875,0,1875,26.338,108.491
10/10/17,25,11,75,0.468,0.0,0.0,1875,0,1875,26.338,128.172
10/11/17,50,12,75,0.515,0.0,0.0,3750,0,3750,51.676,116.568
10/12/17,50,13,75,0.579,0.0,0.0,3750,0,3750,51.676,103.667
10/13/17,50,14,75,0.642,0.0,0.0,3750,2,3752,51.703,93.427
10/14/17,50,15,75,0.802,0.0,0.0,3750,0,3750,51.676,74.846
10/15/17,50,16,75,0.589,0.0,0.0,3750,0,3750,51.676,101.902
10/16/17,50,17,75,0.719,0.0,0.0,3750,0,3750,51.676,83.461
10/17/17,50,18,75,0.643,0.0,0.0,3750,0,3750,51.676,93.377
10/18/17,75,19,75,0.787,0.0,0.0,5625,0,5625,77.014,76.236
10/19/17,75,20,71,0.985,0.0,0.0,5273,1,5274,76.343,60.942
10/21/17,75,21,75,0.877,0.0,0.0,5625,0,5625,77.014,68.399
10/22/17,75,22,75,0.866,0.0,0.0,5625,0,5625,77.014,69.299
10/23/17,75,23,75,0.801,0.0,0.0,5625,0,5625,77.014,74.937
