date,time,fr25,fr50,fr75,fr100
,586.9,1,*-99,*-99,*-99
,587.39,1,*-99,*-99,*-99
,589.22,1,*-99,*-99,*-99
,589.79,1,*-99,*-99,*-99
,590.5,1,*-99,*-99,*-99
,592.24,1,*-99,*-99,*-99
,593.0,1,*-99,*-99,*-99
,594.22,1,*-99,*-99,*-99
,594.65,1,*-99,*-99,*-99
,595.45,1,*-99,*-99,*-99
,596.07,1,*-99,*-99,*-99
,596.99,1,*-99,*-99,*-99
,597.52,1,*-99,*-99,*-99
,625.36,1,*-99,*-99,*-99
,627.42,1,*-99,*-99,*-99
,628.21,1,*-99,*-99,*-99
,629.2,1,*-99,*-99,*-99
,630.14,1,*-99,*-99,*-99
,630.35,1,*-99,*-99,*-99
,630.73,1,*-99,*-99,*-99
,631.26,1,*-99,*-99,*-99
,631.33,1,*-99,*-99,*-99
,632.01,1,*-99,*-99,*-99
,632.25,1,*-99,*-99,*-99
,633.29,1,*-99,*-99,*-99
,634.45,1,*-99,*-99,*-99
,634.91,1,*-99,*-99,*-99
,636.55,1,*-99,*-99,*-99
,637.0,1,*-99,*-99,*-99
,638.92,1,*-99,*-99,*-99
,639.25,1,*-99,*-99,*-99
,639.74,1,*-99,*-99,*-99
,641.82,1,*-99,*-99,*-99
,642.42,1,*-99,*-99,*-99
,643.62,1,*-99,*-99,*-99
,643.85,1,*-99,*-99,*-99
,645.17,1,*-99,*-99,*-99
,646.18,1,*-99,*-99,*-99
,669.42,1,*-99,*-99,*-99
,669.99,1,*-99,*-99,*-99
,677.35,1,*-99,*-99,*-99
,677.66,1,*-99,*-99,*-99
,678.68,1,*-99,*-99,*-99
,679.43,1,*-99,*-99,*-99
,679.89,1,*-99,*-99,*-99
,681.39,1,*-99,*-99,*-99
,681.67,1,*-99,*-99,*-99
,682.51,1,*-99,*-99,*-99
,683.77,1,*-99,*-99,*-99
,684.05,1,*-99,*-99,*-99
,685.61,1,*-99,*-99,*-99
,686.0,1,*-99,*-99,*-99
,687.16,1,*-99,*-99,*-99
,687.54,1,*-99,*-99,*-99
,688.4,1,*-99,*-99,*-99
,689.89,1,*-99,*-99,*-99
,690.31,1,*-99,*-99,*-99
,692.88,1,*-99,*-99,*-99
,693.79,1,*-99,*-99,*-99
,695.69,1,*-99,*-99,*-99
,696.16,1,*-99,*-99,*-99
,697.75,1,*-99,*-99,*-99
,698.47,1,*-99,*-99,*-99
,702.92,1,*-99,*-99,*-99
,703.26,1,*-99,*-99,*-99
,703.57,1,*-99,*-99,*-99
,705.85,1,*-99,*-99,*-99
,706.54,1,*-99,*-99,*-99
,708.44,1,*-99,*-99,*-99
,708.77,1,*-99,*-99,*-99
,709.71,1,*-99,*-99,*-99
,710.75,1,*-99,*-99,*-99
,711.52,1,*-99,*-99,*-99
,713.8,1,*-99,*-99,*-99
,714.53,1,*-99,*-99,*-99
,715.32,1,*-99,*-99,*-99
,717.01,1,*-99,*-99,*-99
,717.53,1,*-99,*-99,*-99
,717.95,1,*-99,*-99,*-99
,719.06,1,*-99,*-99,*-99
,719.53,1,*-99,*-99,*-99
,721.0,1,*-99,*-99,*-99
,721.47,1,*-99,*-99,*-99
,722.18,1,*-99,*-99,*-99
,723.73,1,*-99,*-99,*-99
,723.89,1,*-99,*-99,*-99
,725.31,1,*-99,*-99,*-99
,725.82,1,*-99,*-99,*-99
,779.71,1,*-99,*-99,*-99
,780.79,1,*-99,*-99,*-99
,781.17,1,*-99,*-99,*-99
,781.74,1,*-99,*-99,*-99
,783.18,1,*-99,*-99,*-99
,783.84,1,*-99,*-99,*-99
,784.6,1,*-99,*-99,*-99
,784.89,1,*-99,*-99,*-99
,786.42,1,*-99,*-99,*-99
,787.01,1,*-99,*-99,*-99
,788.94,1,*-99,*-99,*-99
,789.27,1,*-99,*-99,*-99
,790.45,1,*-99,*-99,*-99
,790.84,1,*-99,*-99,*-99
,792.84,1,*-99,*-99,*-99
,793.37,1,*-99,*-99,*-99
,795.44,1,*-99,*-99,*-99
,796.35,1,*-99,*-99,*-99
,797.09,1,*-99,*-99,*-99
,798.82,1,*-99,*-99,*-99
,799.53,1,*-99,*-99,*-99
,799.57,1,*-99,*-99,*-99
,800.78,1,*-99,*-99,*-99
,801.09,1,*-99,*-99,*-99
,802.84,1,*-99,*-99,*-99
,816.74,1,*-99,*-99,*-99
,817.36,1,*-99,*-99,*-99
,817.78,1,*-99,*-99,*-99
,818.9,1,*-99,*-99,*-99
,823.68,1,*-99,*-99,*-99
,824.02,1,*-99,*-99,*-99
,825.78,1,*-99,*-99,*-99
,825.93,1,*-99,*-99,*-99
,826.13,1,*-99,*-99,*-99
,826.67,1,*-99,*-99,*-99
,830.3,1,*-99,*-99,*-99
,830.7,1,*-99,*-99,*-99
,831.76,1,*-99,*-99,*-99
,832.98,1,*-99,*-99,*-99
,833.35,1,*-99,*-99,*-99
,833.61,1,*-99,*-99,*-99
,834.7,1,*-99,*-99,*-99
,834.94,1,*-99,*-99,*-99
,835.99,1,*-99,*-99,*-99
,836.43,1,*-99,*-99,*-99
,838.31,1,*-99,*-99,*-99
,838.94,1,*-99,*-99,*-99
,840.64,1,*-99,*-99,*-99
,841.15,1,*-99,*-99,*-99
,841.37,1,*-99,*-99,*-99
,848.43,1,*-99,*-99,*-99
,848.68,1,*-99,*-99,*-99
,849.4,1,*-99,*-99,*-99
,849.62,1,*-99,*-99,*-99
,850.46,1,*-99,*-99,*-99
,851.44,1,*-99,*-99,*-99
,851.79,1,*-99,*-99,*-99
,853.26,1,*-99,*-99,*-99
,853.41,1,*-99,*-99,*-99
,853.98,1,*-99,*-99,*-99
,855.53,1,*-99,*-99,*-99
,856.11,1,*-99,*-99,*-99
,856.75,1,*-99,*-99,*-99
,857.6,1,*-99,*-99,*-99
,859.41,1,*-99,*-99,*-99
,863.32,1,*-99,*-99,*-99
,864.46,1,*-99,*-99,*-99
,866.37,1,*-99,*-99,*-99
,866.94,1,*-99,*-99,*-99
,867.46,1,*-99,*-99,*-99
,869.26,1,*-99,*-99,*-99
,873.36,1,*-99,*-99,*-99
,877.17,1,*-99,*-99,*-99
,877.86,1,*-99,*-99,*-99
,879.38,1,*-99,*-99,*-99
,888.22,0,*-99,*-99,*-99
,922.6,1,*-99,*-99,*-99
,925.01,1,*-99,*-99,*-99
,926.05,1,*-99,*-99,*-99
,941.26,1,*-99,*-99,*-99
,942.23,1,*-99,*-99,*-99
,943.63,1,*-99,*-99,*-99
,943.88,1,*-99,*-99,*-99
,945.15,1,*-99,*-99,*-99
,945.46,1,*-99,*-99,*-99
,945.84,1,*-99,*-99,*-99
,946.94,1,*-99,*-99,*-99
,947.3,1,*-99,*-99,*-99
,947.6,1,*-99,*-99,*-99
,948.15,1,*-99,*-99,*-99
,949.44,1,*-99,*-99,*-99
,950.51,1,*-99,*-99,*-99
,952.12,1,*-99,*-99,*-99
,953.11,1,*-99,*-99,*-99
,954.9,1,*-99,*-99,*-99
,955.95,1,*-99,*-99,*-99
,957.45,1,*-99,*-99,*-99
,959.48,1,*-99,*-99,*-99
,960.47,1,*-99,*-99,*-99
,962.0,1,*-99,*-99,*-99
,963.02,1,*-99,*-99,*-99
,992.53,1,*-99,*-99,*-99
,1018.34,1,*-99,*-99,*-99
,1020.68,1,*-99,*-99,*-99
,1021.55,1,*-99,*-99,*-99
,1022.79,1,*-99,*-99,*-99
,1025.57,1,*-99,*-99,*-99
,1026.58,1,*-99,*-99,*-99
,1027.25,1,*-99,*-99,*-99
,1028.69,1,*-99,*-99,*-99
,1028.98,1,*-99,*-99,*-99
,1030.05,1,*-99,*-99,*-99
,1030.86,1,*-99,*-99,*-99
,1031.15,1,*-99,*-99,*-99
,1032.57,1,*-99,*-99,*-99
,1033.03,1,*-99,*-99,*-99
,1034.58,1,*-99,*-99,*-99
,1035.04,1,*-99,*-99,*-99
,1035.82,1,*-99,*-99,*-99
,1036.96,1,*-99,*-99,*-99
,1038.48,1,*-99,*-99,*-99
,1039.02,1,*-99,*-99,*-99
,1040.64,1,*-99,*-99,*-99
,1042.19,1,*-99,*-99,*-99
,1042.82,1,*-99,*-99,*-99
,1044.09,1,*-99,*-99,*-99
,1052.24,1,*-99,*-99,*-99
,1052.62,1,*-99,*-99,*-99
,1052.83,1,*-99,*-99,*-99
,1053.36,1,*-99,*-99,*-99
,1053.95,1,*-99,*-99,*-99
,1054.83,1,*-99,*-99,*-99
,1055.58,1,*-99,*-99,*-99
,1055.87,1,*-99,*-99,*-99
,1058.26,1,*-99,*-99,*-99
,1059.57,1,*-99,*-99,*-99
,1061.13,1,*-99,*-99,*-99
,1063.67,1,*-99,*-99,*-99
,1064.76,1,*-99,*-99,*-99
,1065.78,1,*-99,*-99,*-99
,1068.28,1,*-99,*-99,*-99
,1068.74,1,*-99,*-99,*-99
,1069.82,1,*-99,*-99,*-99
,1070.19,1,*-99,*-99,*-99
,1071.62,1,*-99,*-99,*-99
,1072.0,1,*-99,*-99,*-99
,1072.97,1,*-99,*-99,*-99
,1074.45,1,*-99,*-99,*-99
,1074.84,1,*-99,*-99,*-99
,1075.53,1,*-99,*-99,*-99
,1075.96,1,*-99,*-99,*-99
,1159.5,1,*-99,*-99,*-99
,1162.59,1,*-99,*-99,*-99
,1163.31,1,*-99,*-99,*-99
,1163.69,1,*-99,*-99,*-99
,1167.73,1,*-99,*-99,*-99
,1168.45,1,*-99,*-99,*-99
,1169.32,1,*-99,*-99,*-99
,1171.32,1,*-99,*-99,*-99
,1172.61,1,*-99,*-99,*-99
,1173.41,1,*-99,*-99,*-99
,1174.71,1,*-99,*-99,*-99
,1174.87,1,*-99,*-99,*-99
,1176.03,1,*-99,*-99,*-99
,1177.46,1,*-99,*-99,*-99
,1177.91,1,*-99,*-99,*-99
,1179.34,1,*-99,*-99,*-99
,1181.32,1,*-99,*-99,*-99
,1181.87,1,*-99,*-99,*-99
,1183.25,1,*-99,*-99,*-99
,1183.59,1,*-99,*-99,*-99
,1185.12,1,*-99,*-99,*-99
,1185.4,1,*-99,*-99,*-99
,1187.14,1,*-99,*-99,*-99
,1187.54,1,*-99,*-99,*-99
,1188.24,1,*-99,*-99,*-99
,1229.63,1,*-99,*-99,*-99
,1230.72,1,*-99,*-99,*-99
,1322.86,1,*-99,*-99,*-99
,1325.98,1,*-99,*-99,*-99
,1326.24,1,*-99,*-99,*-99
,1331.6,1,*-99,*-99,*-99
,1332.07,1,*-99,*-99,*-99
,1335.48,1,*-99,*-99,*-99
,1335.79,1,*-99,*-99,*-99
,1335.92,1,*-99,*-99,*-99
,1336.88,1,*-99,*-99,*-99
,1338.45,1,*-99,*-99,*-99
,1342.65,1,*-99,*-99,*-99
,1343.83,1,*-99,*-99,*-99
,1346.19,1,*-99,*-99,*-99
,1347.39,1,*-99,*-99,*-99
,1349.38,1,*-99,*-99,*-99
,1351.08,1,*-99,*-99,*-99
,1351.51,1,*-99,*-99,*-99
,1353.1,1,*-99,*-99,*-99
,1353.4,1,*-99,*-99,*-99
,1354.73,1,*-99,*-99,*-99
,1355.96,1,*-99,*-99,*-99
,1356.3,1,*-99,*-99,*-99
,1357.72,1,*-99,*-99,*-99
,1374.67,1,*-99,*-99,*-99
,1375.77,1,*-99,*-99,*-99
,1376.11,1,*-99,*-99,*-99
,1376.54,1,*-99,*-99,*-99
,1376.8,1,*-99,*-99,*-99
,1378.02,1,*-99,*-99,*-99
,1378.79,1,*-99,*-99,*-99
,1378.96,1,*-99,*-99,*-99
,1379.92,1,*-99,*-99,*-99
,1381.53,1,*-99,*-99,*-99
,1382.61,1,*-99,*-99,*-99
,1383.96,1,*-99,*-99,*-99
,1386.43,1,*-99,*-99,*-99
,1388.33,1,*-99,*-99,*-99
,1388.88,1,*-99,*-99,*-99
,1389.38,1,*-99,*-99,*-99
,1391.11,1,*-99,*-99,*-99
,1391.91,1,*-99,*-99,*-99
,1393.41,1,*-99,*-99,*-99
,1393.78,1,*-99,*-99,*-99
,1394.7,1,*-99,*-99,*-99
