date,time,fr25,fr50,fr75,fr100
,1.22,1,*-99,*-99,*-99
,2.18,1,*-99,*-99,*-99
,2.51,1,*-99,*-99,*-99
,5.45,1,*-99,*-99,*-99
,5.57,1,*-99,*-99,*-99
,5.99,1,*-99,*-99,*-99
,6.23,1,*-99,*-99,*-99
,6.56,1,*-99,*-99,*-99
,6.93,1,*-99,*-99,*-99
,7.25,1,*-99,*-99,*-99
,7.81,1,*-99,*-99,*-99
,8.14,1,*-99,*-99,*-99
,8.24,1,*-99,*-99,*-99
,8.76,1,*-99,*-99,*-99
,9.18,1,*-99,*-99,*-99
,9.38,1,*-99,*-99,*-99
,10.21,1,*-99,*-99,*-99
,10.52,1,*-99,*-99,*-99
,10.81,1,*-99,*-99,*-99
,11.93,1,*-99,*-99,*-99
,12.26,1,*-99,*-99,*-99
,13.23,1,*-99,*-99,*-99
,13.53,1,*-99,*-99,*-99
,13.86,1,*-99,*-99,*-99
,14.18,1,*-99,*-99,*-99
,17.78,1,*-99,*-99,*-99
,18.26,1,*-99,*-99,*-99
,19.34,1,*-99,*-99,*-99
,20.76,1,*-99,*-99,*-99
,21.08,1,*-99,*-99,*-99
,21.28,1,*-99,*-99,*-99
,21.46,1,*-99,*-99,*-99
,21.68,1,*-99,*-99,*-99
,22.23,1,*-99,*-99,*-99
,22.52,1,*-99,*-99,*-99
,22.68,1,*-99,*-99,*-99
,23.43,1,*-99,*-99,*-99
,24.04,1,*-99,*-99,*-99
,24.26,1,*-99,*-99,*-99
,24.82,1,*-99,*-99,*-99
,25.12,1,*-99,*-99,*-99
,25.32,1,*-99,*-99,*-99
,25.59,1,*-99,*-99,*-99
,26.17,1,*-99,*-99,*-99
,27.62,1,*-99,*-99,*-99
,27.92,1,*-99,*-99,*-99
,28.24,1,*-99,*-99,*-99
,31.6,1,*-99,*-99,*-99
,32.36,1,*-99,*-99,*-99
,32.71,1,*-99,*-99,*-99
,39.13,0,*-99,*-99,*-99
,70.18,1,*-99,*-99,*-99
,70.58,1,*-99,*-99,*-99
,70.87,1,*-99,*-99,*-99
,71.4,1,*-99,*-99,*-99
,71.69,1,*-99,*-99,*-99
,72.0,1,*-99,*-99,*-99
,72.47,1,*-99,*-99,*-99
,73.41,1,*-99,*-99,*-99
,73.71,1,*-99,*-99,*-99
,73.99,1,*-99,*-99,*-99
,74.59,1,*-99,*-99,*-99
,75.52,1,*-99,*-99,*-99
,76.21,1,*-99,*-99,*-99
,76.83,1,*-99,*-99,*-99
,76.98,1,*-99,*-99,*-99
,77.49,1,*-99,*-99,*-99
,77.9,1,*-99,*-99,*-99
,78.23,1,*-99,*-99,*-99
,78.51,1,*-99,*-99,*-99
,79.16,1,*-99,*-99,*-99
,79.66,1,*-99,*-99,*-99
,80.01,1,*-99,*-99,*-99
,80.44,1,*-99,*-99,*-99
,80.82,1,*-99,*-99,*-99
,81.53,1,*-99,*-99,*-99
,85.95,0,*-99,*-99,*-99
,117.33,1,*-99,*-99,*-99
,117.45,1,*-99,*-99,*-99
,118.91,1,*-99,*-99,*-99
,119.3,1,*-99,*-99,*-99
,119.55,1,*-99,*-99,*-99
,120.22,1,*-99,*-99,*-99
,123.91,1,*-99,*-99,*-99
,124.14,1,*-99,*-99,*-99
,124.41,1,*-99,*-99,*-99
,125.66,1,*-99,*-99,*-99
,126.49,1,*-99,*-99,*-99
,126.66,1,*-99,*-99,*-99
,127.05,1,*-99,*-99,*-99
,127.56,1,*-99,*-99,*-99
,127.85,1,*-99,*-99,*-99
,128.09,1,*-99,*-99,*-99
,129.07,1,*-99,*-99,*-99
,129.23,1,*-99,*-99,*-99
,130.07,1,*-99,*-99,*-99
,130.25,1,*-99,*-99,*-99
,130.53,1,*-99,*-99,*-99
,130.95,1,*-99,*-99,*-99
,131.32,1,*-99,*-99,*-99
,131.66,1,*-99,*-99,*-99
,131.98,1,*-99,*-99,*-99
,135.29,1,*-99,*-99,*-99
,135.45,1,*-99,*-99,*-99
,136.52,1,*-99,*-99,*-99
,137.04,1,*-99,*-99,*-99
,137.29,1,*-99,*-99,*-99
,137.8,1,*-99,*-99,*-99
,138.24,1,*-99,*-99,*-99
