date,time,fr25,fr50,fr75,fr100
,6.54,1,*-99,*-99,*-99
,7.49,1,*-99,*-99,*-99
,8.45,1,*-99,*-99,*-99
,9.16,1,*-99,*-99,*-99
,9.47,1,*-99,*-99,*-99
,9.77,1,*-99,*-99,*-99
,10.76,1,*-99,*-99,*-99
,10.98,1,*-99,*-99,*-99
,11.21,1,*-99,*-99,*-99
,11.49,1,*-99,*-99,*-99
,12.57,1,*-99,*-99,*-99
,12.77,1,*-99,*-99,*-99
,12.99,1,*-99,*-99,*-99
,13.79,1,*-99,*-99,*-99
,14.34,1,*-99,*-99,*-99
,14.63,1,*-99,*-99,*-99
,16.16,1,*-99,*-99,*-99
,16.37,1,*-99,*-99,*-99
,16.53,1,*-99,*-99,*-99
,17.06,1,*-99,*-99,*-99
,17.36,1,*-99,*-99,*-99
,17.54,1,*-99,*-99,*-99
,17.98,1,*-99,*-99,*-99
,18.68,1,*-99,*-99,*-99
,18.89,1,*-99,*-99,*-99
,23.25,0,*-99,*-99,*-99
,54.55,1,*-99,*-99,*-99
,57.19,1,*-99,*-99,*-99
,58.54,1,*-99,*-99,*-99
,58.78,1,*-99,*-99,*-99
,59.04,1,*-99,*-99,*-99
,60.06,1,*-99,*-99,*-99
,61.58,1,*-99,*-99,*-99
,61.83,1,*-99,*-99,*-99
,62.05,1,*-99,*-99,*-99
,62.44,1,*-99,*-99,*-99
,62.69,1,*-99,*-99,*-99
,62.83,1,*-99,*-99,*-99
,63.47,1,*-99,*-99,*-99
,63.65,1,*-99,*-99,*-99
,64.34,1,*-99,*-99,*-99
,64.46,1,*-99,*-99,*-99
,64.68,1,*-99,*-99,*-99
,64.85,1,*-99,*-99,*-99
,65.19,1,*-99,*-99,*-99
,66.6,1,*-99,*-99,*-99
,66.86,1,*-99,*-99,*-99
,67.92,1,*-99,*-99,*-99
,68.24,1,*-99,*-99,*-99
,68.66,1,*-99,*-99,*-99
,68.95,1,*-99,*-99,*-99
,74.79,0,*-99,*-99,*-99
,106.66,1,*-99,*-99,*-99
,107.86,1,*-99,*-99,*-99
,108.85,1,*-99,*-99,*-99
,108.99,1,*-99,*-99,*-99
,109.98,1,*-99,*-99,*-99
,110.23,1,*-99,*-99,*-99
,110.41,1,*-99,*-99,*-99
,110.65,1,*-99,*-99,*-99
,111.37,1,*-99,*-99,*-99
,111.72,1,*-99,*-99,*-99
