date,time,fr25,fr50,fr75,fr100
,3.75,1,*-99,*-99,*-99
,4.74,1,*-99,*-99,*-99
,5.04,1,*-99,*-99,*-99
,6.03,1,*-99,*-99,*-99
,6.45,1,*-99,*-99,*-99
,6.78,1,*-99,*-99,*-99
,7.6,1,*-99,*-99,*-99
,8.26,1,*-99,*-99,*-99
,9.19,1,*-99,*-99,*-99
,9.68,1,*-99,*-99,*-99
,10.38,1,*-99,*-99,*-99
,10.58,1,*-99,*-99,*-99
,10.86,1,*-99,*-99,*-99
,11.09,1,*-99,*-99,*-99
,11.6,1,*-99,*-99,*-99
,12.59,1,*-99,*-99,*-99
,13.39,1,*-99,*-99,*-99
,14.79,1,*-99,*-99,*-99
,15.75,1,*-99,*-99,*-99
,16.98,1,*-99,*-99,*-99
,17.44,1,*-99,*-99,*-99
,18.4,1,*-99,*-99,*-99
,18.54,1,*-99,*-99,*-99
,18.83,1,*-99,*-99,*-99
,19.07,1,*-99,*-99,*-99
,23.75,1,*-99,*-99,*-99
,23.99,1,*-99,*-99,*-99
,24.35,1,*-99,*-99,*-99
,24.62,1,*-99,*-99,*-99
,25.14,1,*-99,*-99,*-99
,25.31,1,*-99,*-99,*-99
,25.47,1,*-99,*-99,*-99
,25.8,1,*-99,*-99,*-99
,26.0,1,*-99,*-99,*-99
,26.51,1,*-99,*-99,*-99
,26.87,1,*-99,*-99,*-99
,27.18,1,*-99,*-99,*-99
,27.63,1,*-99,*-99,*-99
,28.02,1,*-99,*-99,*-99
,28.36,1,*-99,*-99,*-99
,28.74,1,*-99,*-99,*-99
,29.63,1,*-99,*-99,*-99
,29.76,1,*-99,*-99,*-99
,29.93,1,*-99,*-99,*-99
,30.16,1,*-99,*-99,*-99
,32.19,1,*-99,*-99,*-99
,32.85,1,*-99,*-99,*-99
,33.75,1,*-99,*-99,*-99
,34.15,1,*-99,*-99,*-99
,34.85,1,*-99,*-99,*-99
,39.05,1,*-99,*-99,*-99
,39.24,1,*-99,*-99,*-99
,39.51,1,*-99,*-99,*-99
,39.79,1,*-99,*-99,*-99
,40.08,1,*-99,*-99,*-99
,40.32,1,*-99,*-99,*-99
,40.55,1,*-99,*-99,*-99
,41.0,1,*-99,*-99,*-99
,41.38,1,*-99,*-99,*-99
,41.74,1,*-99,*-99,*-99
,42.4,1,*-99,*-99,*-99
,42.68,1,*-99,*-99,*-99
,43.38,1,*-99,*-99,*-99
,43.76,1,*-99,*-99,*-99
,44.18,1,*-99,*-99,*-99
,45.3,1,*-99,*-99,*-99
,45.68,1,*-99,*-99,*-99
,46.75,1,*-99,*-99,*-99
,47.09,1,*-99,*-99,*-99
,47.64,1,*-99,*-99,*-99
,47.89,1,*-99,*-99,*-99
,49.08,1,*-99,*-99,*-99
,49.34,1,*-99,*-99,*-99
,49.97,1,*-99,*-99,*-99
,50.33,1,*-99,*-99,*-99
,54.55,1,*-99,*-99,*-99
,54.69,1,*-99,*-99,*-99
,55.02,1,*-99,*-99,*-99
,55.25,1,*-99,*-99,*-99
,56.1,1,*-99,*-99,*-99
,56.49,1,*-99,*-99,*-99
,56.87,1,*-99,*-99,*-99
,57.14,1,*-99,*-99,*-99
,57.52,1,*-99,*-99,*-99
,57.99,1,*-99,*-99,*-99
,58.26,1,*-99,*-99,*-99
,58.84,1,*-99,*-99,*-99
,59.22,1,*-99,*-99,*-99
,61.0,1,*-99,*-99,*-99
,61.56,1,*-99,*-99,*-99
,61.82,1,*-99,*-99,*-99
,62.41,1,*-99,*-99,*-99
,62.84,1,*-99,*-99,*-99
,63.0,1,*-99,*-99,*-99
,63.57,1,*-99,*-99,*-99
,63.94,1,*-99,*-99,*-99
,64.19,1,*-99,*-99,*-99
,64.59,1,*-99,*-99,*-99
,65.15,1,*-99,*-99,*-99
,65.62,1,*-99,*-99,*-99
,76.5,1,*-99,*-99,*-99
,76.8,1,*-99,*-99,*-99
,77.35,1,*-99,*-99,*-99
,77.59,1,*-99,*-99,*-99
,77.97,1,*-99,*-99,*-99
,78.13,1,*-99,*-99,*-99
,78.38,1,*-99,*-99,*-99
,78.82,1,*-99,*-99,*-99
,80.03,1,*-99,*-99,*-99
,80.37,1,*-99,*-99,*-99
,80.59,1,*-99,*-99,*-99
,81.0,1,*-99,*-99,*-99
,81.38,1,*-99,*-99,*-99
,81.83,1,*-99,*-99,*-99
,82.4,1,*-99,*-99,*-99
,82.66,1,*-99,*-99,*-99
,83.45,1,*-99,*-99,*-99
,83.78,1,*-99,*-99,*-99
,84.43,1,*-99,*-99,*-99
,84.8,1,*-99,*-99,*-99
,85.17,1,*-99,*-99,*-99
,86.24,1,*-99,*-99,*-99
,87.01,1,*-99,*-99,*-99
,87.44,1,*-99,*-99,*-99
,87.53,1,*-99,*-99,*-99
,90.36,1,*-99,*-99,*-99
,90.57,1,*-99,*-99,*-99
,91.05,1,*-99,*-99,*-99
,91.47,1,*-99,*-99,*-99
,91.93,1,*-99,*-99,*-99
,92.33,1,*-99,*-99,*-99
,92.88,1,*-99,*-99,*-99
,93.25,1,*-99,*-99,*-99
,94.11,1,*-99,*-99,*-99
,94.4,1,*-99,*-99,*-99
,95.0,1,*-99,*-99,*-99
,95.23,1,*-99,*-99,*-99
,95.51,1,*-99,*-99,*-99
